ds,trend,Worst Case,Best Case,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Most Likely Case
2014-02-11,-0.00811276354449895,-1.8069333771336031,1.5909514081772058,-0.00811276354449895,-0.00811276354449895,-0.04020569383240234,-0.04020569383240234,-0.04020569383240234,0.022117214917416878,0.022117214917416878,0.022117214917416878,-0.06232290874981922,-0.06232290874981922,-0.06232290874981922,0.0,0.0,0.0,-0.04831845737690129
2014-02-12,-0.008067038103179932,-1.7509348511061975,1.6837239010320384,-0.008067038103179932,-0.008067038103179932,-0.057337418948123504,-0.057337418948123504,-0.057337418948123504,0.021703529803621766,0.021703529803621766,0.021703529803621766,-0.07904094875174526,-0.07904094875174526,-0.07904094875174526,0.0,0.0,0.0,-0.06540445705130343
2014-02-13,-0.008021312661860914,-1.9665585152465082,1.5638067027379658,-0.008021312661860914,-0.008021312661860914,-0.19592309944713926,-0.19592309944713926,-0.19592309944713926,-0.10064500668881303,-0.10064500668881303,-0.10064500668881303,-0.09527809275832626,-0.09527809275832626,-0.09527809275832626,0.0,0.0,0.0,-0.20394441210900016
2014-02-14,-0.007975587220541895,-1.9549869117844711,1.4524282882707258,-0.007975587220541895,-0.007975587220541895,-0.1925780032322542,-0.1925780032322542,-0.1925780032322542,-0.08174093726628517,-0.08174093726628517,-0.08174093726628517,-0.11083706596596904,-0.11083706596596904,-0.11083706596596904,0.0,0.0,0.0,-0.2005535904527961
2014-02-18,-0.007792685455265823,-1.9719654514033835,1.4632935303340628,-0.007792685455265823,-0.007792685455265823,-0.1411583378905194,-0.1411583378905194,-0.1411583378905194,0.022117214917399507,0.022117214917399507,0.022117214917399507,-0.16327555280791892,-0.16327555280791892,-0.16327555280791892,0.0,0.0,0.0,-0.14895102334578522
2014-02-19,-0.007746960013946805,-1.8002320563063416,1.5513160252672702,-0.007746960013946805,-0.007746960013946805,-0.1517286696966765,-0.1517286696966765,-0.1517286696966765,0.0217035298035003,0.0217035298035003,0.0217035298035003,-0.17343219950017677,-0.17343219950017677,-0.17343219950017677,0.0,0.0,0.0,-0.15947562971062332
2014-02-20,-0.007701234572627787,-2.0412235089937956,1.3781979272880869,-0.007701234572627787,-0.007701234572627787,-0.2829515012903614,-0.2829515012903614,-0.2829515012903614,-0.10064500668908911,-0.10064500668908911,-0.10064500668908911,-0.18230649460127224,-0.18230649460127224,-0.18230649460127224,0.0,0.0,0.0,-0.2906527358629892
2014-02-21,-0.00765550913130877,-1.9546276491962626,1.4565216501488842,-0.00765550913130877,-0.00765550913130877,-0.2716357301332851,-0.2716357301332851,-0.2716357301332851,-0.08174093726641625,-0.08174093726641625,-0.08174093726641625,-0.1898947928668689,-0.1898947928668689,-0.1898947928668689,0.0,0.0,0.0,-0.27929123926459387
2014-02-24,-0.007518332807351715,-1.8116565806403977,1.6185769223760291,-0.007518332807351715,-0.007518332807351715,-0.07330316196955622,-0.07330316196955622,-0.07330316196955622,0.13193516789355025,0.13193516789355025,0.13193516789355025,-0.20523832986310647,-0.20523832986310647,-0.20523832986310647,0.0,0.0,0.0,-0.08082149477690793
2014-02-25,-0.007472607366032696,-1.9713289864757984,1.5420790905355757,-0.007472607366032696,-0.007472607366032696,-0.18594726643343756,-0.18594726643343756,-0.18594726643343756,0.022117214917279273,0.022117214917279273,0.022117214917279273,-0.20806448135071687,-0.20806448135071687,-0.20806448135071687,0.0,0.0,0.0,-0.19341987379947026
2014-02-26,-0.007426881924713679,-1.79531321051255,1.5064058000738485,-0.007426881924713679,-0.007426881924713679,-0.18816622191874394,-0.18816622191874394,-0.18816622191874394,0.02170352980337884,0.02170352980337884,0.02170352980337884,-0.20986975172212277,-0.20986975172212277,-0.20986975172212277,0.0,0.0,0.0,-0.19559310384345763
2014-02-27,-0.007381156483394661,-2.0524803461356838,1.450055378521931,-0.007381156483394661,-0.007381156483394661,-0.3113832516952833,-0.3113832516952833,-0.3113832516952833,-0.1006450066892928,-0.1006450066892928,-0.1006450066892928,-0.21073824500599053,-0.21073824500599053,-0.21073824500599053,0.0,0.0,0.0,-0.31876440817867796
2014-02-28,-0.007335431042075643,-2.1307057883243172,1.5619116806217326,-0.007335431042075643,-0.007335431042075643,-0.29249629922182036,-0.29249629922182036,-0.29249629922182036,-0.08174093726646527,-0.08174093726646527,-0.08174093726646527,-0.2107553619553551,-0.2107553619553551,-0.2107553619553551,0.0,0.0,0.0,-0.299831730263896
2014-03-03,-0.007198254718118588,-1.7805192919000108,1.542995473899717,-0.007198254718118588,-0.007198254718118588,-0.0745622955466892,-0.0745622955466892,-0.0745622955466892,0.13193516789348594,0.13193516789348594,0.13193516789348594,-0.20649746344017514,-0.20649746344017514,-0.20649746344017514,0.0,0.0,0.0,-0.08176055026480779
2014-03-04,-0.0071525292767995715,-1.94967705250358,1.4618907983993015,-0.0071525292767995715,-0.0071525292767995715,-0.18175127618017908,-0.18175127618017908,-0.18175127618017908,0.02211721491747708,0.02211721491747708,0.02211721491747708,-0.20386849109765617,-0.20386849109765617,-0.20386849109765617,0.0,0.0,0.0,-0.18890380545697866
2014-03-05,-0.007106803835480553,-1.8239632170769942,1.4859365554824233,-0.007106803835480553,-0.007106803835480553,-0.17901640929720888,-0.17901640929720888,-0.17901640929720888,0.021703529803680115,0.021703529803680115,0.021703529803680115,-0.200719939100889,-0.200719939100889,-0.200719939100889,0.0,0.0,0.0,-0.18612321313268942
2014-03-06,-0.007061078394161534,-1.9568218448926744,1.2472086540085843,-0.007061078394161534,-0.007061078394161534,-0.29772773724802815,-0.29772773724802815,-0.29772773724802815,-0.10064500668892204,-0.10064500668892204,-0.10064500668892204,-0.19708273055910608,-0.19708273055910608,-0.19708273055910608,0.0,0.0,0.0,-0.3047888156421897
2014-03-07,-0.007015352952842517,-1.9667899252126109,1.371282605713335,-0.007015352952842517,-0.007015352952842517,-0.2747141875079451,-0.2747141875079451,-0.2747141875079451,-0.08174093726651427,-0.08174093726651427,-0.08174093726651427,-0.1929732502414308,-0.1929732502414308,-0.1929732502414308,0.0,0.0,0.0,-0.2817295404607876
2014-03-10,-0.006878176628885462,-1.799448496913992,1.7294117354418528,-0.006878176628885462,-0.006878176628885462,-0.04582901560886037,-0.04582901560886037,-0.04582901560886037,0.13193516789342163,0.13193516789342163,0.13193516789342163,-0.177764183502282,-0.177764183502282,-0.177764183502282,0.0,0.0,0.0,-0.05270719223774584
2014-03-11,-0.006832451187566445,-1.8829406518710496,1.5007643054799755,-0.006832451187566445,-0.006832451187566445,-0.14953939252669332,-0.14953939252669332,-0.14953939252669332,0.022117214917356846,0.022117214917356846,0.022117214917356846,-0.17165660744405017,-0.17165660744405017,-0.17165660744405017,0.0,0.0,0.0,-0.15637184371425977
2014-03-12,-0.006786725746247426,-1.9177407373445585,1.6189639147411345,-0.006786725746247426,-0.006786725746247426,-0.14326348343461862,-0.14326348343461862,-0.14326348343461862,0.02170352980355866,0.02170352980355866,0.02170352980355866,-0.16496701323817728,-0.16496701323817728,-0.16496701323817728,0.0,0.0,0.0,-0.15005020918086603
2014-03-13,-0.006741000304928408,-1.9795817457851157,1.4380412146605168,-0.006741000304928408,-0.006741000304928408,-0.2582934139333124,-0.2582934139333124,-0.2582934139333124,-0.10064500668912572,-0.10064500668912572,-0.10064500668912572,-0.15764840724418663,-0.15764840724418663,-0.15764840724418663,0.0,0.0,0.0,-0.2650344142382408
2014-03-14,-0.00669527486360939,-2.0667113631806306,1.5424198537160374,-0.00669527486360939,-0.00669527486360939,-0.23139290176866747,-0.23139290176866747,-0.23139290176866747,-0.08174093726621706,-0.08174093726621706,-0.08174093726621706,-0.14965196450245039,-0.14965196450245039,-0.14965196450245039,0.0,0.0,0.0,-0.23808817663227685
2014-03-17,-0.006558098539652336,-1.7021091935909198,1.6575761478388231,-0.006558098539652336,-0.006558098539652336,0.01078440403014831,0.01078440403014831,0.01078440403014831,0.13193516789349866,0.13193516789349866,0.13193516789349866,-0.12115076386335034,-0.12115076386335034,-0.12115076386335034,0.0,0.0,0.0,0.004226305490495974
2014-03-18,-0.006512373098333317,-1.8127393132378364,1.5498398678528948,-0.006512373098333317,-0.006512373098333317,-0.08791914786032835,-0.08791914786032835,-0.08791914786032835,0.02211721491733945,0.02211721491733945,0.02211721491733945,-0.1100363627776678,-0.1100363627776678,-0.1100363627776678,0.0,0.0,0.0,-0.09443152095866167
2014-03-19,-0.0064666476570143,-1.8613480786985361,1.6251042478184956,-0.0064666476570143,-0.0064666476570143,-0.07638679796922392,-0.07638679796922392,-0.07638679796922392,0.0217035298034372,0.0217035298034372,0.0217035298034372,-0.09809032777266112,-0.09809032777266112,-0.09809032777266112,0.0,0.0,0.0,-0.08285344562623821
2014-03-20,-0.006420922215695281,-1.8878782095122937,1.476484702577768,-0.006420922215695281,-0.006420922215695281,-0.18596710727006058,-0.18596710727006058,-0.18596710727006058,-0.10064500668900603,-0.10064500668900603,-0.10064500668900603,-0.08532210058105456,-0.08532210058105456,-0.08532210058105456,0.0,0.0,0.0,-0.19238802948575587
2014-03-21,-0.006375196774376263,-1.7890650479637908,1.5110123794261283,-0.006375196774376263,-0.006375196774376263,-0.1535014427623796,-0.1535014427623796,-0.1535014427623796,-0.08174093726669436,-0.08174093726669436,-0.08174093726669436,-0.07176050549568523,-0.07176050549568523,-0.07176050549568523,0.0,0.0,0.0,-0.15987663953675585
2014-03-24,-0.006238020450419209,-1.6549529150800653,1.8871453767240567,-0.006238020450419209,-0.006238020450419209,0.10501094534188528,0.10501094534188528,0.10501094534188528,0.13193516789347318,0.13193516789347318,0.13193516789347318,-0.0269242225515879,-0.0269242225515879,-0.0269242225515879,0.0,0.0,0.0,0.09877292489146607
2014-03-25,-0.006192295009100191,-1.7029726415999418,1.8031097010184334,-0.006192295009100191,-0.006192295009100191,0.011208507772089165,0.011208507772089165,0.011208507772089165,0.02211721491732207,0.02211721491732207,0.02211721491732207,-0.010908707145232904,-0.010908707145232904,-0.010908707145232904,0.0,0.0,0.0,0.005016212762988974
2014-03-26,-0.006146569567781173,-1.7305010403573817,1.7286146484960896,-0.006146569567781173,-0.006146569567781173,0.027134220321343366,0.027134220321343366,0.027134220321343366,0.021703529803501924,0.021703529803501924,0.021703529803501924,0.005430690517841442,0.005430690517841442,0.005430690517841442,0.0,0.0,0.0,0.020987650753562192
