ds,trend,Worst Case,Best Case,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Most Likely Case
2014-02-11,-0.02040559936141377,-1.4521233106163518,1.4123915684617163,-0.02040559936141377,-0.02040559936141377,0.02524787518907283,0.02524787518907283,0.02524787518907283,-0.003927299797069681,-0.003927299797069681,-0.003927299797069681,0.029175174986142503,0.029175174986142503,0.029175174986142503,0.0,0.0,0.0,0.004842275827659059
2014-02-12,-0.020370878882751464,-1.1928832945663432,1.5819560901584933,-0.020370878882751464,-0.020370878882751464,0.14388546122301096,0.14388546122301096,0.14388546122301096,0.12217046006041932,0.12217046006041932,0.12217046006041932,0.021715001162591657,0.021715001162591657,0.021715001162591657,0.0,0.0,0.0,0.1235145823402595
2014-02-13,-0.02033615840408916,-1.4047175179080196,1.4116806369083694,-0.02033615840408916,-0.02033615840408916,0.0014033031161118305,0.0014033031161118305,0.0014033031161118305,-0.01293371546635705,-0.01293371546635705,-0.01293371546635705,0.01433701858246888,0.01433701858246888,0.01433701858246888,0.0,0.0,0.0,-0.01893285528797733
2014-02-14,-0.020301437925426862,-1.4878891951652402,1.3625185546572227,-0.020301437925426862,-0.020301437925426862,-0.007381484711228955,-0.007381484711228955,-0.007381484711228955,-0.014413476201703617,-0.014413476201703617,-0.014413476201703617,0.007031991490474661,0.007031991490474661,0.007031991490474661,0.0,0.0,0.0,-0.027682922636655817
2014-02-18,-0.020162556010777655,-1.3482655119925344,1.4075877573621174,-0.020162556010777655,-0.020162556010777655,-0.02595359347367428,-0.02595359347367428,-0.02595359347367428,-0.003927299797029215,-0.003927299797029215,-0.003927299797029215,-0.022026293676645065,-0.022026293676645065,-0.022026293676645065,0.0,0.0,0.0,-0.04611614948445193
2014-02-19,-0.020127835532115352,-1.344551453601868,1.4847490756596486,-0.020127835532115352,-0.020127835532115352,0.092716602012245,0.092716602012245,0.092716602012245,0.12217046006042022,0.12217046006042022,0.12217046006042022,-0.029453858048175217,-0.029453858048175217,-0.029453858048175217,0.0,0.0,0.0,0.07258876648012966
2014-02-20,-0.02009311505345305,-1.570856124480553,1.2337977074953523,-0.02009311505345305,-0.02009311505345305,-0.04997062695158728,-0.04997062695158728,-0.04997062695158728,-0.01293371546649908,-0.01293371546649908,-0.01293371546649908,-0.037036911485088204,-0.037036911485088204,-0.037036911485088204,0.0,0.0,0.0,-0.07006374200504033
2014-02-21,-0.02005839457479075,-1.6022452425267197,1.2866362989081244,-0.02005839457479075,-0.02005839457479075,-0.05923022462267673,-0.05923022462267673,-0.05923022462267673,-0.01441347620173113,-0.01441347620173113,-0.01441347620173113,-0.0448167484209456,-0.0448167484209456,-0.0448167484209456,0.0,0.0,0.0,-0.07928861919746748
2014-02-24,-0.01995423313880384,-1.5341655749506289,1.1994319576011554,-0.01995423313880384,-0.01995423313880384,-0.0935253595532945,-0.0935253595532945,-0.0935253595532945,-0.023894722479712884,-0.023894722479712884,-0.023894722479712884,-0.06963063707358162,-0.06963063707358162,-0.06963063707358162,0.0,0.0,0.0,-0.11347959269209834
2014-02-25,-0.019919512660141542,-1.5256144902168896,1.2402305597032135,-0.019919512660141542,-0.019919512660141542,-0.0823613251412422,-0.0823613251412422,-0.0823613251412422,-0.00392729979685175,-0.00392729979685175,-0.00392729979685175,-0.07843402534439044,-0.07843402534439044,-0.07843402534439044,0.0,0.0,0.0,-0.10228083780138374
2014-02-26,-0.01988479218147924,-1.37506978690791,1.3602589635912445,-0.01988479218147924,-0.01988479218147924,0.0346824681538262,0.0346824681538262,0.0346824681538262,0.12217046006042112,0.12217046006042112,0.12217046006042112,-0.08748799190659491,-0.08748799190659491,-0.08748799190659491,0.0,0.0,0.0,0.014797675972346963
2014-02-27,-0.019850071702816937,-1.5590286763915153,1.1804754105735156,-0.019850071702816937,-0.019850071702816937,-0.1096924024448446,-0.1096924024448446,-0.1096924024448446,-0.012933715466451204,-0.012933715466451204,-0.012933715466451204,-0.0967586869783934,-0.0967586869783934,-0.0967586869783934,0.0,0.0,0.0,-0.12954247414766154
2014-02-28,-0.019815351224154638,-1.5247143447192357,1.2913336252596028,-0.019815351224154638,-0.019815351224154638,-0.12060820844607859,-0.12060820844607859,-0.12060820844607859,-0.014413476201784773,-0.014413476201784773,-0.014413476201784773,-0.10619473224429382,-0.10619473224429382,-0.10619473224429382,0.0,0.0,0.0,-0.14042355967023323
2014-03-03,-0.01971118978816773,-1.6640832840311923,1.1299725875879072,-0.01971118978816773,-0.01971118978816773,-0.15861455377164027,-0.15861455377164027,-0.15861455377164027,-0.0238947224799171,-0.0238947224799171,-0.0238947224799171,-0.13471983129172313,-0.13471983129172313,-0.13471983129172313,0.0,0.0,0.0,-0.17832574355980801
2014-03-04,-0.019676469309505427,-1.4526667884105124,1.2304686938064766,-0.019676469309505427,-0.019676469309505427,-0.14788796714347593,-0.14788796714347593,-0.14788796714347593,-0.003927299797145586,-0.003927299797145586,-0.003927299797145586,-0.14396066734633037,-0.14396066734633037,-0.14396066734633037,0.0,0.0,0.0,-0.16756443645298136
2014-03-05,-0.019641748830843127,-1.4836608051975217,1.3598568408913434,-0.019641748830843127,-0.019641748830843127,-0.03069190851961543,-0.03069190851961543,-0.03069190851961543,0.12217046006041075,0.12217046006041075,0.12217046006041075,-0.1528623685800262,-0.1528623685800262,-0.1528623685800262,0.0,0.0,0.0,-0.050333657350458555
2014-03-06,-0.019607028352180825,-1.493771224052983,1.2450189694654663,-0.019607028352180825,-0.019607028352180825,-0.174218699012446,-0.174218699012446,-0.174218699012446,-0.012933715466404028,-0.012933715466404028,-0.012933715466404028,-0.16128498354604195,-0.16128498354604195,-0.16128498354604195,0.0,0.0,0.0,-0.19382572736462683
2014-03-07,-0.019572307873518522,-1.5351716891005251,1.2371094367693147,-0.019572307873518522,-0.019572307873518522,-0.1834946966133621,-0.1834946966133621,-0.1834946966133621,-0.01441347620183843,-0.01441347620183843,-0.01441347620183843,-0.16908122041152365,-0.16908122041152365,-0.16908122041152365,0.0,0.0,0.0,-0.20306700448688061
2014-03-10,-0.019468146437531617,-1.4985562610262195,1.0367584507948695,-0.019468146437531617,-0.019468146437531617,-0.21109167571800994,-0.21109167571800994,-0.21109167571800994,-0.023894722480121297,-0.023894722480121297,-0.023894722480121297,-0.18719695323788865,-0.18719695323788865,-0.18719695323788865,0.0,0.0,0.0,-0.23055982215554155
2014-03-11,-0.019433425958869315,-1.5569473716722688,1.253764217976802,-0.019433425958869315,-0.019433425958869315,-0.19491091473386887,-0.19491091473386887,-0.19491091473386887,-0.003927299796968126,-0.003927299796968126,-0.003927299796968126,-0.19098361493690078,-0.19098361493690078,-0.19098361493690078,0.0,0.0,0.0,-0.2143443406927382
