ds,trend,Worst Case,Best Case,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Most Likely Case
2014-02-11,0.03513862495897755,-3.203995655228234,2.87169911733689,0.03513862495897755,0.03513862495897755,-0.2228589217880581,-0.2228589217880581,-0.2228589217880581,-0.18130613632059497,-0.18130613632059497,-0.18130613632059497,-0.04155278546746313,-0.04155278546746313,-0.04155278546746313,0.0,0.0,0.0,-0.18772029682908056
2014-02-12,0.03523907851257324,-3.17154857086542,3.230190647088368,0.03523907851257324,0.03523907851257324,-0.04232540106955695,-0.04232540106955695,-0.04232540106955695,0.03755956254098336,0.03755956254098336,0.03755956254098336,-0.0798849636105403,-0.0798849636105403,-0.0798849636105403,0.0,0.0,0.0,-0.007086322556983708
2014-02-13,0.03533953206616893,-3.328569088725243,3.0168763894221495,0.03533953206616893,0.03533953206616893,-0.22105150463074524,-0.22105150463074524,-0.22105150463074524,-0.10379539128699777,-0.10379539128699777,-0.10379539128699777,-0.11725611334374746,-0.11725611334374746,-0.11725611334374746,0.0,0.0,0.0,-0.1857119725645763
2014-02-14,0.03543998561976462,-3.0207812449221567,3.138881403849322,0.03543998561976462,0.03543998561976462,-0.09703544140136167,-0.09703544140136167,-0.09703544140136167,0.05619783208080631,0.05619783208080631,0.05619783208080631,-0.153233273482168,-0.153233273482168,-0.153233273482168,0.0,0.0,0.0,-0.061595455781597044
2014-02-18,0.03584179983414737,-3.422573552286155,2.7057175508330364,0.03584179983414737,0.03584179983414737,-0.45783990330538654,-0.45783990330538654,-0.45783990330538654,-0.18130613632060133,-0.18130613632060133,-0.18130613632060133,-0.2765337669847852,-0.2765337669847852,-0.2765337669847852,0.0,0.0,0.0,-0.42199810347123917
2014-02-19,0.03594225338774306,-3.2495740887189717,2.945385030070028,0.03594225338774306,0.03594225338774306,-0.26349991195235284,-0.26349991195235284,-0.26349991195235284,0.037559562541057946,0.037559562541057946,0.037559562541057946,-0.30105947449341075,-0.30105947449341075,-0.30105947449341075,0.0,0.0,0.0,-0.22755765856460977
2014-02-20,0.03604270694133875,-3.277584033701607,2.7258954210956197,0.03604270694133875,0.03604270694133875,-0.4266048455103239,-0.4266048455103239,-0.4266048455103239,-0.1037953912870845,-0.1037953912870845,-0.1037953912870845,-0.3228094542232394,-0.3228094542232394,-0.3228094542232394,0.0,0.0,0.0,-0.39056213856898514
2014-02-21,0.03614316049493444,-3.2044894986783903,2.9346387887315637,0.03614316049493444,0.03614316049493444,-0.2855507943745654,-0.2855507943745654,-0.2855507943745654,0.05619783208056662,0.05619783208056662,0.05619783208056662,-0.341748626455132,-0.341748626455132,-0.341748626455132,0.0,0.0,0.0,-0.24940763387963094
2014-02-24,0.036444521155721506,-3.437074482348446,2.806714656483033,0.036444521155721506,0.036444521155721506,-0.4552809023313103,-0.4552809023313103,-0.4552809023313103,-0.07329067822958903,-0.07329067822958903,-0.07329067822958903,-0.3819902241017213,-0.3819902241017213,-0.3819902241017213,0.0,0.0,0.0,-0.4188363811755888
2014-02-25,0.03654497470931719,-3.5081882714314143,2.3919776746189667,0.03654497470931719,0.03654497470931719,-0.5714475832155818,-0.5714475832155818,-0.5714475832155818,-0.18130613632027828,-0.18130613632027828,-0.18130613632027828,-0.3901414468953034,-0.3901414468953034,-0.3901414468953034,0.0,0.0,0.0,-0.5349026085062646
2014-02-26,0.03664542826291288,-3.2780334118923387,2.724340938555239,0.03664542826291288,0.03664542826291288,-0.35829100104887834,-0.35829100104887834,-0.35829100104887834,0.037559562541132505,0.037559562541132505,0.037559562541132505,-0.3958505635900108,-0.3958505635900108,-0.3958505635900108,0.0,0.0,0.0,-0.32164557278596545
2014-02-27,0.03674588181650856,-3.5675485037684975,2.5675679057956144,0.03674588181650856,0.03674588181650856,-0.5030458283206,-0.5030458283206,-0.5030458283206,-0.10379539128709447,-0.10379539128709447,-0.10379539128709447,-0.39925043703350555,-0.39925043703350555,-0.39925043703350555,0.0,0.0,0.0,-0.4662999465040914
2014-02-28,0.036846335370104254,-3.332819127804319,3.0038885356689877,0.036846335370104254,0.036846335370104254,-0.34427914938806214,-0.34427914938806214,-0.34427914938806214,0.05619783208060398,0.05619783208060398,0.05619783208060398,-0.4004769814686661,-0.4004769814686661,-0.4004769814686661,0.0,0.0,0.0,-0.3074328140179579
2014-03-03,0.037147696030891325,-3.5656591220083493,2.7692571043599474,0.037147696030891325,0.037147696030891325,-0.46568450359811403,-0.46568450359811403,-0.46568450359811403,-0.0732906782297119,-0.0732906782297119,-0.0732906782297119,-0.3923938253684021,-0.3923938253684021,-0.3923938253684021,0.0,0.0,0.0,-0.4285368075672227
2014-03-04,0.03724814958448701,-3.6520182490590485,2.5187714290277627,0.03724814958448701,0.03724814958448701,-0.5674483889121705,-0.5674483889121705,-0.5674483889121705,-0.18130613632080309,-0.18130613632080309,-0.18130613632080309,-0.38614225259136753,-0.38614225259136753,-0.38614225259136753,0.0,0.0,0.0,-0.5302002393276836
2014-03-05,0.0373486031380827,-3.554181450446307,2.749217188170076,0.0373486031380827,0.0373486031380827,-0.34069081568514076,-0.34069081568514076,-0.34069081568514076,0.03755956254094928,0.03755956254094928,0.03755956254094928,-0.3782503782260901,-0.3782503782260901,-0.3782503782260901,0.0,0.0,0.0,-0.30334221254705807
2014-03-06,0.03744905669167838,-3.3486696124399775,2.760975982080834,0.03744905669167838,0.03744905669167838,-0.4725660321233395,-0.4725660321233395,-0.4725660321233395,-0.1037953912870288,-0.1037953912870288,-0.1037953912870288,-0.36877064083631067,-0.36877064083631067,-0.36877064083631067,0.0,0.0,0.0,-0.4351169754316611
2014-03-07,0.03754951024527407,-3.4453893221134475,3.0839471775778766,0.03754951024527407,0.03754951024527407,-0.301536566652139,-0.301536566652139,-0.301536566652139,0.05619783208064132,0.05619783208064132,0.05619783208064132,-0.3577343987327803,-0.3577343987327803,-0.3577343987327803,0.0,0.0,0.0,-0.26398705640686493
2014-03-10,0.037850870906061145,-3.4501478446545777,2.8086247998334875,0.037850870906061145,0.037850870906061145,-0.3886042100830663,-0.3886042100830663,-0.3886042100830663,-0.0732906782298348,-0.0732906782298348,-0.0732906782298348,-0.3153135318532315,-0.3153135318532315,-0.3153135318532315,0.0,0.0,0.0,-0.35075333917700513
2014-03-11,0.03795132445965683,-3.3596761083222506,2.7046120414060573,0.03795132445965683,0.03795132445965683,-0.47930826353405337,-0.47930826353405337,-0.47930826353405337,-0.18130613632047998,-0.18130613632047998,-0.18130613632047998,-0.29800212721357333,-0.29800212721357333,-0.29800212721357333,0.0,0.0,0.0,-0.44135693907439655
2014-03-12,0.03805177801325252,-3.279000737590438,2.9134828800121975,0.03805177801325252,0.03805177801325252,-0.2414879416159719,-0.2414879416159719,-0.2414879416159719,0.03755956254102385,0.03755956254102385,0.03755956254102385,-0.27904750415699575,-0.27904750415699575,-0.27904750415699575,0.0,0.0,0.0,-0.20343616360271938
2014-03-13,0.0381522315668482,-3.4940331554903747,2.74641528387293,0.0381522315668482,0.0381522315668482,-0.36220623350336134,-0.36220623350336134,-0.36220623350336134,-0.10379539128703875,-0.10379539128703875,-0.10379539128703875,-0.25841084221632254,-0.25841084221632254,-0.25841084221632254,0.0,0.0,0.0,-0.3240540019365131
2014-03-14,0.03825268512044389,-3.438775535810901,3.058967044546996,0.03825268512044389,0.03825268512044389,-0.1798603535385983,-0.1798603535385983,-0.1798603535385983,0.05619783208095656,0.05619783208095656,0.05619783208095656,-0.23605818561955486,-0.23605818561955486,-0.23605818561955486,0.0,0.0,0.0,-0.14160766841815442
2014-03-17,0.038554045781230964,-3.383762913639812,3.120714911059327,0.038554045781230964,0.038554045781230964,-0.23184849707197921,-0.23184849707197921,-0.23184849707197921,-0.073290678229408,-0.073290678229408,-0.073290678229408,-0.15855781884257117,-0.15855781884257117,-0.15855781884257117,0.0,0.0,0.0,-0.19329445129074824
2014-03-18,0.03865449933482665,-3.4962650348429456,2.9139736379189998,0.03865449933482665,0.03865449933482665,-0.3106036464027288,-0.3106036464027288,-0.3106036464027288,-0.18130613632048637,-0.18130613632048637,-0.18130613632048637,-0.12929751008224244,-0.12929751008224244,-0.12929751008224244,0.0,0.0,0.0,-0.2719491470679022
2014-03-19,0.03875495288842234,-3.069250568137291,3.1311926243016486,0.03875495288842234,0.03875495288842234,-0.06085973785324495,-0.06085973785324495,-0.06085973785324495,0.037559562541098435,0.037559562541098435,0.037559562541098435,-0.09841930039434339,-0.09841930039434339,-0.09841930039434339,0.0,0.0,0.0,-0.022104784964822613
2014-03-20,0.03885540644201802,-3.107137217593372,3.1001979049850967,0.03885540644201802,0.03885540644201802,-0.16982547820146415,-0.16982547820146415,-0.16982547820146415,-0.10379539128697247,-0.10379539128697247,-0.10379539128697247,-0.06603008691449168,-0.06603008691449168,-0.06603008691449168,0.0,0.0,0.0,-0.13097007175944614
2014-03-21,0.03895585999561371,-3.0174941354442937,3.19372536341671,0.03895585999561371,0.03895585999561371,0.023923985365694133,0.023923985365694133,0.023923985365694133,0.05619783208043898,0.05619783208043898,0.05619783208043898,-0.03227384671474484,-0.03227384671474484,-0.03227384671474484,0.0,0.0,0.0,0.06287984536130785
2014-03-24,0.039257220656400776,-2.958106294820233,3.162796162605418,0.039257220656400776,0.039257220656400776,0.0018865231351457672,0.0018865231351457672,0.0018865231351457672,-0.0732906782298875,-0.0732906782298875,-0.0732906782298875,0.07517720136503325,0.07517720136503325,0.07517720136503325,0.0,0.0,0.0,0.04114374379154655
2014-03-25,0.03935767420999647,-3.0867801685857454,3.1707708118688567,0.03935767420999647,0.03935767420999647,-0.0691149635776977,-0.0691149635776977,-0.0691149635776977,-0.18130613632049275,-0.18130613632049275,-0.18130613632049275,0.11219117274279507,0.11219117274279507,0.11219117274279507,0.0,0.0,0.0,-0.02975728936770123
2014-03-26,0.03945812776359216,-2.9389555898596464,3.1179880273280456,0.03945812776359216,0.03945812776359216,0.18684291188608437,0.18684291188608437,0.18684291188608437,0.037559562541055774,0.037559562541055774,0.037559562541055774,0.1492833493450286,0.1492833493450286,0.1492833493450286,0.0,0.0,0.0,0.22630103964967652
2014-03-27,0.03955858131718784,-2.750672180662914,3.0244033546532747,0.03955858131718784,0.03955858131718784,0.08230052587067181,0.08230052587067181,0.08230052587067181,-0.10379539128705924,-0.10379539128705924,-0.10379539128705924,0.18609591715773102,0.18609591715773102,0.18609591715773102,0.0,0.0,0.0,0.12185910718785965
2014-03-28,0.03965903487078353,-2.8787067447316637,3.1614570641666693,0.03965903487078353,0.03965903487078353,0.278445365793412,0.278445365793412,0.278445365793412,0.056197832080754226,0.056197832080754226,0.056197832080754226,0.2222475337126578,0.2222475337126578,0.2222475337126578,0.0,0.0,0.0,0.31810440066419554
