ds,trend,Worst Case,Best Case,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Most Likely Case
2014-02-11,-0.01922317022235222,-5.6735858791488365,5.237100916053504,-0.01922317022235222,-0.01922317022235222,-0.24245928603686198,-0.24245928603686198,-0.24245928603686198,-0.1817764941449714,-0.1817764941449714,-0.1817764941449714,-0.06068279189189056,-0.06068279189189056,-0.06068279189189056,0.0,0.0,0.0,-0.2616824562592142
2014-02-12,-0.019174198574707032,-5.6002239866844485,5.556136552577318,-0.019174198574707032,-0.019174198574707032,-0.07885083013380538,-0.07885083013380538,-0.07885083013380538,0.018436952933711795,0.018436952933711795,0.018436952933711795,-0.09728778306751718,-0.09728778306751718,-0.09728778306751718,0.0,0.0,0.0,-0.09802502870851242
2014-02-13,-0.01912522692706184,-5.646758274164011,5.045401544947274,-0.01912522692706184,-0.01912522692706184,-0.41449265732761653,-0.41449265732761653,-0.41449265732761653,-0.27231722521627383,-0.27231722521627383,-0.27231722521627383,-0.14217543211134268,-0.14217543211134268,-0.14217543211134268,0.0,0.0,0.0,-0.4336178842546784
2014-02-14,-0.019076255279416643,-5.825167864943801,4.751792212926708,-0.019076255279416643,-0.019076255279416643,-0.3768331865076159,-0.3768331865076159,-0.3768331865076159,-0.18275007125931717,-0.18275007125931717,-0.18275007125931717,-0.19408311524829872,-0.19408311524829872,-0.19408311524829872,0.0,0.0,0.0,-0.3959094417870325
2014-02-18,-0.018880368688835865,-6.121724373294975,4.827949524155455,-0.018880368688835865,-0.018880368688835865,-0.6232817135343269,-0.6232817135343269,-0.6232817135343269,-0.18177649414517102,-0.18177649414517102,-0.18177649414517102,-0.44150521938915593,-0.44150521938915593,-0.44150521938915593,0.0,0.0,0.0,-0.6421620822231628
2014-02-19,-0.018831397041190672,-6.139684513851712,4.949189635759288,-0.018831397041190672,-0.018831397041190672,-0.4866195563232992,-0.4866195563232992,-0.4866195563232992,0.0184369529333447,0.0184369529333447,0.0184369529333447,-0.5050565092566439,-0.5050565092566439,-0.5050565092566439,0.0,0.0,0.0,-0.5054509533644899
2014-02-20,-0.018782425393545483,-6.529391406959517,4.5083745597298694,-0.018782425393545483,-0.018782425393545483,-0.8383068432903881,-0.8383068432903881,-0.8383068432903881,-0.2723172252176736,-0.2723172252176736,-0.2723172252176736,-0.5659896180727144,-0.5659896180727144,-0.5659896180727144,0.0,0.0,0.0,-0.8570892686839335
2014-02-21,-0.018733453745900287,-6.492725101724797,4.526968796232277,-0.018733453745900287,-0.018733453745900287,-0.8055367911653741,-0.8055367911653741,-0.8055367911653741,-0.18275007125967516,-0.18275007125967516,-0.18275007125967516,-0.6227867199056991,-0.6227867199056991,-0.6227867199056991,0.0,0.0,0.0,-0.8242702449112744
2014-02-24,-0.018586538802964705,-5.323845303178159,5.342656556028315,-0.018586538802964705,-0.018586538802964705,-0.06957405054634465,-0.06957405054634465,-0.06957405054634465,0.6859301606606132,0.6859301606606132,0.6859301606606132,-0.7555042112069579,-0.7555042112069579,-0.7555042112069579,0.0,0.0,0.0,-0.08816058934930936
2014-02-25,-0.01853756715531951,-6.141228692272671,4.474565330695959,-0.01853756715531951,-0.01853756715531951,-0.9656659164712529,-0.9656659164712529,-0.9656659164712529,-0.181776494145887,-0.181776494145887,-0.181776494145887,-0.783889422325366,-0.783889422325366,-0.783889422325366,0.0,0.0,0.0,-0.9842034836265724
2014-02-26,-0.018488595507674316,-6.391820356181343,4.530279935863041,-0.018488595507674316,-0.018488595507674316,-0.7848357579285884,-0.7848357579285884,-0.7848357579285884,0.018436952932977646,0.018436952932977646,0.018436952932977646,-0.8032727108615659,-0.8032727108615659,-0.8032727108615659,0.0,0.0,0.0,-0.8033243534362627
2014-02-27,-0.018439623860029123,-6.627889768702209,4.527519441353328,-0.018439623860029123,-0.018439623860029123,-1.0856970697927912,-1.0856970697927912,-1.0856970697927912,-0.27231722521921864,-0.27231722521921864,-0.27231722521921864,-0.8133798445735725,-0.8133798445735725,-0.8133798445735725,0.0,0.0,0.0,-1.1041366936528203
2014-02-28,-0.01839065221238393,-6.924939051028411,4.674817774574606,-0.01839065221238393,-0.01839065221238393,-0.9969378250825669,-0.9969378250825669,-0.9969378250825669,-0.18275007126020695,-0.18275007126020695,-0.18275007126020695,-0.8141877538223599,-0.8141877538223599,-0.8141877538223599,0.0,0.0,0.0,-1.015328477294951
2014-03-03,-0.01824373726944835,-5.221452299406117,5.690520541105159,-0.01824373726944835,-0.01824373726944835,-0.07822595913909106,-0.07822595913909106,-0.07822595913909106,0.6859301606604029,0.6859301606604029,0.6859301606604029,-0.7641561197994938,-0.7641561197994938,-0.7641561197994938,0.0,0.0,0.0,-0.0964696964085394
2014-03-04,-0.018194765621803152,-6.535710897254373,4.39882588495376,-0.018194765621803152,-0.018194765621803152,-0.9139456543745749,-0.9139456543745749,-0.9139456543745749,-0.18177649414469696,-0.18177649414469696,-0.18177649414469696,-0.7321691602298779,-0.7321691602298779,-0.7321691602298779,0.0,0.0,0.0,-0.932140419996378
2014-03-05,-0.01814579397415796,-6.083910915179493,4.755025191419665,-0.01814579397415796,-0.01814579397415796,-0.675617863028352,-0.675617863028352,-0.675617863028352,0.018436952934117755,0.018436952934117755,0.018436952934117755,-0.6940548159624698,-0.6940548159624698,-0.6940548159624698,0.0,0.0,0.0,-0.69376365700251
2014-03-06,-0.018096822326512767,-6.241682623717709,4.568752765663502,-0.018096822326512767,-0.018096822326512767,-0.9232429196780656,-0.9232429196780656,-0.9232429196780656,-0.27231722521685714,-0.27231722521685714,-0.27231722521685714,-0.6509256944612084,-0.6509256944612084,-0.6509256944612084,0.0,0.0,0.0,-0.9413397420045784
2014-03-07,-0.018047850678867574,-5.831294376393064,4.206461819982031,-0.018047850678867574,-0.018047850678867574,-0.7867238921682655,-0.7867238921682655,-0.7867238921682655,-0.18275007126073858,-0.18275007126073858,-0.18275007126073858,-0.603973820907527,-0.603973820907527,-0.603973820907527,0.0,0.0,0.0,-0.8047717428471332
2014-03-10,-0.017900935735931992,-5.340041570860863,5.209586905117077,-0.017900935735931992,-0.017900935735931992,0.2334571413968593,0.2334571413968593,0.2334571413968593,0.6859301606601925,0.6859301606601925,0.6859301606601925,-0.45247301926333316,-0.45247301926333316,-0.45247301926333316,0.0,0.0,0.0,0.2155562056609273
2014-03-11,-0.017851964088286796,-5.990276200771295,5.289571840543629,-0.017851964088286796,-0.017851964088286796,-0.5841527586125088,-0.5841527586125088,-0.5841527586125088,-0.18177649414541286,-0.18177649414541286,-0.18177649414541286,-0.402376264467096,-0.402376264467096,-0.402376264467096,0.0,0.0,0.0,-0.6020047227007956
2014-03-12,-0.017802992440641603,-6.057442577390207,4.795679078944895,-0.017802992440641603,-0.017802992440641603,-0.33582255558987517,-0.33582255558987517,-0.33582255558987517,0.01843695293375066,0.01843695293375066,0.01843695293375066,-0.3542595085236258,-0.3542595085236258,-0.3542595085236258,0.0,0.0,0.0,-0.35362554803051677
2014-03-13,-0.01775402079299641,-6.240368257399373,4.807641176727504,-0.01775402079299641,-0.01775402079299641,-0.5813227391003374,-0.5813227391003374,-0.5813227391003374,-0.2723172252184021,-0.2723172252184021,-0.2723172252184021,-0.30900551388193515,-0.30900551388193515,-0.30900551388193515,0.0,0.0,0.0,-0.5990767598933338
2014-03-14,-0.017705049145351218,-5.798845361748795,4.940268843900061,-0.017705049145351218,-0.017705049145351218,-0.45008920918895956,-0.45008920918895956,-0.45008920918895956,-0.1827500712592117,-0.1827500712592117,-0.1827500712592117,-0.2673391379297479,-0.2673391379297479,-0.2673391379297479,0.0,0.0,0.0,-0.46779425833431076
