ds,trend,Worst Case,Best Case,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Most Likely Case
2014-02-11,0.004949605493572172,-0.04954327239967489,0.0639146305733633,0.004949605493572172,0.004949605493572172,0.0005351214020275222,0.0005351214020275222,0.0005351214020275222,-0.0048332502707453375,-0.0048332502707453375,-0.0048332502707453375,0.00536837167277286,0.00536837167277286,0.00536837167277286,0.0,0.0,0.0,0.005484726895599694
2014-02-12,0.004950250457382202,-0.05187332408062183,0.06549793634451133,0.004950250457382202,0.004950250457382202,0.0010939934584156062,0.0010939934584156062,0.0010939934584156062,-0.0041236688875613235,-0.0041236688875613235,-0.0041236688875613235,0.00521766234597693,0.00521766234597693,0.00521766234597693,0.0,0.0,0.0,0.006044243915797809
2014-02-13,0.004950895421192232,-0.056394456209332845,0.05718294215081665,0.004950895421192232,0.004950895421192232,-0.004626566692356985,-0.004626566692356985,-0.004626566692356985,-0.009656964911302256,-0.009656964911302256,-0.009656964911302256,0.005030398218945272,0.005030398218945272,0.005030398218945272,0.0,0.0,0.0,0.0003243287288352478
2014-02-14,0.0049515403850022635,-0.05714984047042103,0.06051619507838349,0.0049515403850022635,0.0049515403850022635,-0.004634131229164263,-0.004634131229164263,-0.004634131229164263,-0.009445319234049775,-0.009445319234049775,-0.009445319234049775,0.004811188004885512,0.004811188004885512,0.004811188004885512,0.0,0.0,0.0,0.00031740915583800076
2014-02-18,0.004954120240242384,-0.05227110157879907,0.06093104398257102,0.004954120240242384,0.004954120240242384,-0.001124836159746847,-0.001124836159746847,-0.001124836159746847,-0.004833250270737768,-0.004833250270737768,-0.004833250270737768,0.0037084141109909206,0.0037084141109909206,0.0037084141109909206,0.0,0.0,0.0,0.0038292840804955374
2014-02-19,0.004954765204052415,-0.05364010395171376,0.06271216809088116,0.004954765204052415,0.004954765204052415,-0.0007253227812169295,-0.0007253227812169295,-0.0007253227812169295,-0.004123668887564559,-0.004123668887564559,-0.004123668887564559,0.0033983461063476295,0.0033983461063476295,0.0033983461063476295,0.0,0.0,0.0,0.004229442422835485
2014-02-20,0.004955410167862446,-0.060931012847279815,0.05765148730166911,0.004955410167862446,0.004955410167862446,-0.006574659284453933,-0.006574659284453933,-0.006574659284453933,-0.009656964911306,-0.009656964911306,-0.009656964911306,0.003082305626852068,0.003082305626852068,0.003082305626852068,0.0,0.0,0.0,-0.001619249116591487
2014-02-21,0.004956055131672476,-0.060244719757489754,0.05931029927261028,0.004956055131672476,0.004956055131672476,-0.00668189202339785,-0.00668189202339785,-0.00668189202339785,-0.0094453192340719,-0.0094453192340719,-0.0094453192340719,0.0027634272106740504,0.0027634272106740504,0.0027634272106740504,0.0,0.0,0.0,-0.0017258368917253738
2014-02-24,0.004957990023102567,-0.05692428539147039,0.05851342505247515,0.004957990023102567,0.004957990023102567,-0.0031749395495413064,-0.0031749395495413064,-0.0031749395495413064,-0.004988115458740081,-0.004988115458740081,-0.004988115458740081,0.0018131759091987746,0.0018131759091987746,0.0018131759091987746,0.0,0.0,0.0,0.001783050473561261
2014-02-25,0.004958634986912598,-0.055986024996708246,0.06243365667730283,0.004958634986912598,0.004958634986912598,-0.003329653177259243,-0.003329653177259243,-0.003329653177259243,-0.004833250270739497,-0.004833250270739497,-0.004833250270739497,0.0015035970934802539,0.0015035970934802539,0.0015035970934802539,0.0,0.0,0.0,0.0016289818096533546
