horizon,mse,rmse,mae,mdape,smape,coverage
51 days,5.242200142010019,2.2895851462677728,1.5241519018542418,0.9963999649608907,1.7294639605816389,0.45838636602633737
52 days,5.262508077315261,2.2940157099103007,1.528668788350653,0.9963120683102955,1.7308418115323572,0.4572034585345208
53 days,5.282568256790845,2.2983838358270026,1.5330418150219558,0.9967180860536125,1.732176947380328,0.456215587027232
54 days,5.302273980799149,2.302666710750635,1.53725276110759,0.9967404148358442,1.733380112704743,0.4548928130923279
55 days,5.321466475817464,2.3068303959800476,1.5412766500307358,0.9970779896443885,1.7344733647587125,0.4541868648112448
56 days,5.340311311836387,2.3109113595801087,1.5452998889653875,0.9974069541362214,1.7355515252633666,0.45337951186422987
57 days,5.358772823052368,2.3149023355321856,1.5492508843521913,0.9978179287005706,1.736699661980165,0.45242700073409986
58 days,5.377474204557755,2.318938163159543,1.553241379970858,0.9982477610692794,1.7375203225285576,0.4511293697255458
59 days,5.39628112972997,2.322989696432158,1.5572206993771198,0.9982859296697884,1.738366811663103,0.4497496131656801
60 days,5.414949324243623,2.3270043670443816,1.5612384130998525,0.9983369916566947,1.7392239449592828,0.4485643745664788
61 days,5.433265186342267,2.330936547043327,1.56514006953281,0.9985932242047363,1.7399709589016976,0.447451400296206
62 days,5.451279569696014,2.3347975436204345,1.5690109056208588,0.9992045120133547,1.7406302593523248,0.44633064440659564
63 days,5.469622290684062,2.3387223628904867,1.5729509827783583,0.9992847455098701,1.7412914193290543,0.44524817699161223
64 days,5.487058898701003,2.342447202969792,1.576710784977488,0.9997320533317293,1.7420070562453522,0.443897508843512
65 days,5.503883650227128,2.346035730807851,1.5803141308307638,0.9997802294444593,1.7427385911273172,0.44277882504935473
66 days,5.52111269025839,2.3497048091746313,1.5839839848985706,0.9998121308937088,1.743452193500932,0.44180032641988004
67 days,5.538337179206271,2.353367200248672,1.587663646714712,0.9998810792808026,1.7441481443271076,0.44075819843479497
68 days,5.555773284630749,2.357068790814292,1.5914073758382532,0.9999182416564951,1.7448993166898255,0.4395710293581751
69 days,5.573483064412165,2.360822539796705,1.5952059864171348,1.0001095248819585,1.74562985715546,0.4384266475619466
70 days,5.5909356339970495,2.3645159407365073,1.598972145495695,1.000217769859905,1.746348153404196,0.437555759356654
71 days,5.6061958568697605,2.36774066503698,1.602542222139957,1.0004492131647624,1.7471183129685612,0.43654259477117074
72 days,5.620155861223125,2.370686791042445,1.605875843802424,1.0005653129357854,1.7477659209889176,0.4354569723472191
73 days,5.633833837176532,2.3735698509158167,1.6090637915264894,1.0005653129357854,1.7484269273026427,0.4341993473667042
74 days,5.6477558095352585,2.3765007489027345,1.6123143174276677,1.0008401214509095,1.7489940597615248,0.43290868811623107
75 days,5.661593060110094,2.379410233673482,1.6154918307811055,1.000974500858513,1.7494322248369778,0.4321406413397048
76 days,5.675334102434214,2.382295972887125,1.6185869635466141,1.0010781465700012,1.749760092282659,0.4310676005600874
77 days,5.688540765351666,2.3850661972682574,1.6215989728306617,1.0016355208277288,1.7500928778079374,0.43047211148336
78 days,5.701005563696922,2.387677860117843,1.6244400207406535,1.001765094242761,1.7502338015511891,0.42943789748618555
79 days,5.714187778672661,2.3904367338778623,1.6274314517692765,1.002031922506923,1.7504121399508799,0.4288668935708084
80 days,5.727422576421057,2.393203413089046,1.6304829569631363,1.0021951543257832,1.750582865328531,0.42791612598857637
81 days,5.740521291742366,2.3959384991569306,1.6334984092284754,1.002604297489399,1.7507910385592873,0.4268729656825551
82 days,5.753749207868924,2.3986973981452775,1.6364991735404544,1.0029898553792442,1.7509136542866055,0.42601304234270787
83 days,5.767190489192023,2.401497551360822,1.6395345100573366,1.003180609670863,1.7509761252617388,0.4252043474634703
84 days,5.779854796833109,2.404132857566967,1.6424104267862905,1.00313462763392,1.7510030303275268,0.4242816531180528
85 days,5.795211125076686,2.4073244744065323,1.6456772583803176,1.0038967920304798,1.751053209003379,0.42333894353177276
86 days,5.8107815135240255,2.410556266409068,1.6489326193782807,1.0038967920304798,1.7511205977774595,0.42223113459297135
87 days,5.824752395217034,2.4134523809715067,1.6519497075678657,1.004538689651582,1.75128624450553,0.42114616528903437
88 days,5.837560583796719,2.4161044231979543,1.6547902982967004,1.004623748725347,1.751457605504055,0.4204632849897439
89 days,5.848122784315302,2.418289226770715,1.6573144654211793,1.004538689651582,1.7516313076141334,0.4199747391066914
90 days,5.857816815860206,2.420292712846982,1.6596772949344478,1.0046660427858076,1.7517445848592799,0.4194014441469261
91 days,5.8668679468355815,2.422161833328975,1.661919564276534,1.004529257660123,1.751814331552261,0.4186716639527847
92 days,5.8765038830859035,2.424150136251033,1.6643517192478734,1.0046575907714834,1.7519661953056251,0.4179193778740612
93 days,5.8865034506558125,2.4262117489320283,1.6668748778583646,1.0044888001350136,1.7520596166749618,0.4171268237239739
94 days,5.895815791071895,2.4281301017597667,1.6692968568192987,1.0044431127177842,1.7521653024961876,0.41639155313717174
95 days,5.9042515779345335,2.4298665761589735,1.671502996263444,1.004428450834205,1.7522398463639375,0.41580725948728753
96 days,5.912605103579831,2.431584895408719,1.6737448002446773,1.004568178447652,1.7523324323409506,0.41516180082193394
97 days,5.921174622894282,2.433346383664743,1.6760690951608903,1.0046575907714834,1.7524876108694163,0.41448798780364615
98 days,5.930637919492604,2.435290109923786,1.678600145931204,1.0049059204444406,1.7526843355770052,0.4138212497998382
99 days,5.940030658682147,2.4372178110875007,1.6811460274833223,1.0053458597887694,1.7530203761729628,0.4130414061654164
100 days,5.949696556310491,2.439199982844886,1.6837283201051945,1.0048552107221096,1.753323788499748,0.41233943538238715
101 days,5.959149227374044,2.4411368719049826,1.6862420888947562,1.0052865055238258,1.7535263894581783,0.4117148812159915
102 days,5.968620876364094,2.4430761094088114,1.6887190626526851,1.0053458597887694,1.7536469463480748,0.41095870613023144
103 days,5.977967630406852,2.444988267948714,1.6912209628137862,1.0052977206868359,1.7538239196722154,0.41010575095670343
104 days,5.987368429867558,2.4469099758404593,1.6937981148311145,1.0055904802173303,1.7541104791758362,0.40922952756741693
105 days,5.99711661455516,2.4489011034656256,1.69650699250271,1.0052656411550633,1.7544151083745574,0.4081769471843214
106 days,6.006599310950674,2.450836451285698,1.6991736844374845,1.0058643405100196,1.7546029385833768,0.40737448411298516
107 days,6.017953322031399,2.4531517119883555,1.7021744903413387,1.005521875826545,1.754907121947988,0.4063065518312857
108 days,6.030512260046883,2.455710133555441,1.7053471558191782,1.0054424851311796,1.7551153608844186,0.40541204574007605
109 days,6.042994791744662,2.4582503517226764,1.7084987927830597,1.0058643405100196,1.7554080606618374,0.4046119970145278
110 days,6.055676614717445,2.460828440732398,1.7116104927956217,1.0058208901532302,1.7556516989833735,0.4038424017565973
111 days,6.068416902972595,2.4634156983693587,1.7146500560052191,1.0059969668825217,1.7558593310480488,0.4031624320805962
112 days,6.081142500046276,2.4659972627815865,1.7177334069319408,1.0056723232268598,1.7561422107974098,0.4024894928056133
113 days,6.092902564655154,2.468380555071514,1.720581646363916,1.005549388188351,1.7563707557138033,0.40175055804120674
114 days,6.1049518272967855,2.470820071817611,1.723468933393589,1.00533958663106,1.7564589755879425,0.40097358187492194
115 days,6.117543488554088,2.473366832589555,1.7264924172195462,1.00533958663106,1.7564424340200984,0.40027831372439715
116 days,6.130197387753078,2.475923542388391,1.7295627270114962,1.0055631589444611,1.7563246283020253,0.3993552156973663
117 days,6.142938261895572,2.4784951607569403,1.7326609879503796,1.005293315272295,1.7561845011377768,0.3980883883396973
118 days,6.155887184767407,2.4811060406132195,1.7357711529124986,1.00533958663106,1.7559876342038612,0.39705133084196886
119 days,6.168659450805982,2.483678612624021,1.7388413079546343,1.0052818967839134,1.755851204844841,0.39608943503045957
120 days,6.180714837334503,2.486104349647155,1.7417647401500096,1.005176486771174,1.75576559693974,0.3951404355936539
121 days,6.1936572511171875,2.4887059390609383,1.7448161386197543,1.0048740530083617,1.7557119529991532,0.3941762721241517
122 days,6.207959937200393,2.491577800752044,1.7481079979753449,1.0048336162227482,1.7556680832241172,0.39323139659751566
123 days,6.222692575566324,2.4945325364818003,1.7516007318108646,1.0046413210219014,1.7557873835426896,0.39228004577258857
124 days,6.237925714979919,2.497583975561166,1.75523524459032,1.0045122394946557,1.7558589141462193,0.39125979777384423
125 days,6.253564388366123,2.5007127760632812,1.7589913907842385,1.004428450834205,1.7561541731358659,0.39005268674315446
126 days,6.269456156771031,2.5038882077223477,1.7628700462345097,1.0042431945921169,1.756530751097594,0.3889922905334012
127 days,6.2848484628797685,2.5069600042441382,1.7666597529707748,1.00406484376997,1.7568379376122942,0.3878784617592194
128 days,6.300420488947118,2.5100638416078422,1.7704778707315731,1.0040957806401003,1.7571722589200032,0.38679132392912813
129 days,6.31782888938336,2.51352917018748,1.7746328980879773,1.00406484376997,1.7576603180410935,0.38556645650438537
130 days,6.336696287724475,2.5172795410372037,1.7789441331278009,1.004185098768381,1.7581067003263633,0.3842369482592585
131 days,6.35579815068759,2.5210708341273533,1.7832165100130968,1.0040057163529448,1.7586916877943732,0.3831050661179758
132 days,6.375182617279689,2.524912397941697,1.7875473409285352,1.0037771582098138,1.7592580343213036,0.3818899848396938
133 days,6.393941197000448,2.5286243685056204,1.7918046352849764,1.0036201899843793,1.7598456603724837,0.38078790487744424
134 days,6.412157795924507,2.5322238834519566,1.7959464994834615,1.0036201899843793,1.760428784445652,0.3798654912750254
135 days,6.429976227450008,2.5357397791275837,1.8001036963797061,1.0034561577329557,1.7610511050200914,0.3789440394361207
136 days,6.447100679210882,2.53911415245768,1.8042612965435345,1.002940543459407,1.7616116459336715,0.37796834148961905
137 days,6.463765036573466,2.542393564453282,1.808314810405224,1.0022627393590904,1.7621557080485115,0.37701932177207675
138 days,6.480492994664025,2.5456812437271137,1.8122711434042207,1.0018487831392093,1.7626262438525437,0.3760599415772687
139 days,6.49732699487543,2.5489854834571792,1.8161856289542022,1.0018487831392093,1.763048909748655,0.3746893592950977
140 days,6.513347690796581,2.5521261118519556,1.8199157936880146,1.0011479043131026,1.7633990205627874,0.3733247237767255
141 days,6.528994386744784,2.5551896968218983,1.8236280926885062,1.0013309191490043,1.7637905050219165,0.3723180919226138
142 days,6.544639285138294,2.5582492617292583,1.8273041614035157,1.0010090993152967,1.7641693280114263,0.3712682208418613
143 days,6.560037006576058,2.561256919283198,1.8308553056003078,1.000445091992869,1.7644658545958436,0.3700322159040578
144 days,6.575217187281794,2.564218630944287,1.834257596604863,1.0007136477700198,1.7646772684661436,0.3692707208250255
145 days,6.590504907517067,2.5671978707370937,1.8376283611543613,1.0006079227875955,1.7649421581395786,0.3683995998843741
146 days,6.605927459035415,2.5701998869806633,1.8410501718791383,1.0001722308228542,1.765156049126007,0.3673410819342804
147 days,6.6209971359091355,2.5731298326958036,1.844397549584596,1.0000949573592708,1.7653698763479042,0.3664081181206029
148 days,6.635192802624727,2.5758867992644254,1.8476069751746886,1.0000566587982747,1.7655323880824267,0.36540236632358886
149 days,6.649275814198431,2.57861897421826,1.8507731540693058,1.000076273957966,1.7656819144098583,0.3645086625864855
150 days,6.663450161834257,2.581365948840702,1.8539212265321168,0.9998403930404115,1.765769793894392,0.36373505025360764
151 days,6.677468670646541,2.5840798498975492,1.8569994827648795,0.9998403930404115,1.7657727347223626,0.36294584089788945
152 days,6.691581545499579,2.5868091436168186,1.860061326622708,0.9997839548473938,1.7657539033881011,0.36222961426577444
153 days,6.70596673009882,2.589588139086758,1.8631526910286995,0.9997648120564248,1.76570721105492,0.3615838975201868
154 days,6.721083468750456,2.5925052495126133,1.866392129513444,0.9995441859934142,1.7656819818756524,0.36083940034752443
155 days,6.735385664063752,2.5952621570977668,1.869450371939217,0.9995764870365418,1.7656941960402315,0.3601776699409071
156 days,6.749188473307336,2.5979200282740296,1.8724117702433483,0.9994295852912597,1.7657861164823365,0.3594172744306567
157 days,6.763964925421348,2.6007623738860395,1.8755797732023676,0.9992693014525738,1.7660150895921412,0.3584281632322022
158 days,6.777327020373827,2.6033299868387463,1.878481435977771,0.9991878001911441,1.7661255749760298,0.3576542909489437
159 days,6.7902571803563765,2.605812192073016,1.8813247380296276,0.9991419668575048,1.766238679028119,0.3567933352881602
160 days,6.8035184504828115,2.60835550692056,1.884262021613824,0.9989636765651675,1.7662864258108262,0.3559488122725316
161 days,6.818999336479953,2.6113213774792166,1.887524476126976,0.9988309327986837,1.7663938839541249,0.3549054048534019
162 days,6.83424478307859,2.6142388534865346,1.8908071388213685,0.9987110481239241,1.7664748455986357,0.3538292959730756
163 days,6.849860473945938,2.6172238104422667,1.894150275156456,0.9985946375385997,1.766596686023204,0.3527812611128788
164 days,6.865468772622299,2.6202039563023143,1.8974862166725612,0.9985228345506679,1.766809050184957,0.3518823526965173
165 days,6.880610278579017,2.623091740404635,1.9006967696067558,0.9983648298043354,1.7671069252515776,0.3509634281008441
166 days,6.896030702419711,2.6260294557410644,1.9039364079278789,0.9981816750581725,1.7674808488344311,0.34991816762016464
167 days,6.910727406930043,2.6288262412966823,1.9069616721367562,0.9979805845211134,1.7678922855476509,0.34922657483139624
168 days,6.9266752641832054,2.6318577591091823,1.910157117083987,0.9980700084169712,1.7683167917060383,0.348624984681902
169 days,6.943301816085125,2.635014576066919,1.913489253748368,0.9979777053223473,1.7686755271735994,0.34797167434928195
170 days,6.960119442068975,2.6382038287571667,1.916925787121257,0.9979157042177125,1.7690470814561539,0.3471542806454559
171 days,6.976653704660136,2.6413355910713308,1.920276191756562,0.9979384904646273,1.7693955671749129,0.3462401022710967
172 days,6.991974480294793,2.644234195432544,1.9233930298032553,0.9979122108929953,1.7698196039492857,0.34550307204633507
173 days,7.006804592688858,2.6470369458488596,1.926363140498986,0.9979122108929953,1.770169508501101,0.3447931749696709
174 days,7.0217658707190775,2.649861481421072,1.9292879892640695,0.9979122108929953,1.7705032008540358,0.34427490670361865
175 days,7.036143462203489,2.6525729890435605,1.9321215478829106,0.9977499674145136,1.770729503070747,0.3437436433562133
176 days,7.049967552173222,2.655177499184042,1.9348747266527384,0.9979122108929953,1.7712039708526848,0.34329611951991773
177 days,7.064001726249895,2.6578189792101896,1.9376902625607177,0.9977276852919201,1.7717843817736778,0.3428735047417785
178 days,7.079571252910836,2.6607463713986035,1.9408354415381266,0.9977101726543187,1.7724027279244343,0.3424273731720998
179 days,7.094068227607217,2.663469209059346,1.943722299415506,0.9978013052671644,1.7731697984168975,0.3421265604821352
180 days,7.1070272529471685,2.6659008332920355,1.9463313979614316,0.9977101726543187,1.773714260433066,0.3415748002021374
181 days,7.1194318810762995,2.6682263549174947,1.9489164333834406,0.9975391883756092,1.774216977317923,0.34105036590615584
182 days,7.131806515350447,2.6705442357973492,1.9515192217222055,0.9975715284790428,1.774620649075801,0.3406566934065669
183 days,7.1436568043887725,2.672762017911204,1.9540086021130523,0.9975391883756092,1.7750306066067192,0.34023167534144716
184 days,7.155923775508214,2.6750558453064515,1.9566354200306806,0.9975391883756092,1.7754680670136838,0.33958929919456976
185 days,7.168088548968788,2.6773286217737238,1.9591530068310876,0.9973728629032916,1.775895165601338,0.33893162473147126
186 days,7.179570188961945,2.6794719981671657,1.9614901757157641,0.9973732412718185,1.7762906015900721,0.33849022898509135
187 days,7.191555033092561,2.6817074846247793,1.963906489609609,0.9974693425831097,1.776828161813358,0.3381203918539712
188 days,7.203821738050525,2.6839936173639694,1.9663435308700015,0.9975480685424112,1.777299292123763,0.3378127982930618
189 days,7.215095675007893,2.686093013096883,1.9686226160158404,0.9974959009767493,1.777681992843072,0.33786378637863784
190 days,7.2262944957556945,2.688176797711731,1.9709296356702142,0.9974959009767493,1.7781221973919756,0.3379079401323875
191 days,7.237170393148489,2.690198950477174,1.973161910798355,0.9974693425831097,1.7785109038925508,0.3377077858468628
192 days,7.2479577702885685,2.692203144320385,1.975262896075813,0.9975391883756092,1.7788594561363233,0.3375391690793628
193 days,7.259097948977155,2.6942713205943374,1.9774098569439762,0.9975391883756092,1.7792461192793907,0.3374490329271508
194 days,7.268896315761235,2.6960890778609734,1.979342590633485,0.9976240858819041,1.7795953741634907,0.3371226778932798
195 days,7.278933698297767,2.697949906558268,1.9813910882895007,0.9975480685424112,1.7798295550099321,0.3368826958310198
196 days,7.288600976462854,2.6997409091360702,1.9833888039732899,0.9976431222888298,1.7799765517980823,0.33673541267170193
197 days,7.297719449432272,2.7014291494378067,1.9852005574926612,0.9975715284790428,1.7799315207519442,0.3365006065823974
