horizon,mse,rmse,mae,mdape,smape,coverage
51 days,2.9241516048998295,1.7100150890854238,1.1880588992822592,1.012072747784389,1.7157853883991931,0.7907657584154272
52 days,2.9299852659652585,1.711719972999456,1.1894834938918997,1.0123255129937645,1.7160289799535875,0.7901441297794825
53 days,2.9358733765056386,1.71343904954499,1.1909383746715692,1.012438162541982,1.7162646781854096,0.789481577258338
54 days,2.941891989578644,1.7151944465799334,1.192404433074922,1.012588239336154,1.7164539999723365,0.7886206215975545
55 days,2.9479233804808858,1.7169517699926478,1.1938729541655566,1.0127880251207007,1.716639257555973,0.788125362630781
56 days,2.9536747934114844,1.7186258445081886,1.1953214900943498,1.0133635417062339,1.7168922520896996,0.7877279901903235
57 days,2.9592612487407655,1.7202503447872828,1.1967145942096764,1.0133836368184976,1.7170108547898704,0.7869893794672472
58 days,2.964888275224325,1.7218850935019807,1.1980997581163086,1.0134036945660538,1.7169807522665859,0.7865871189222203
59 days,2.9706889814338218,1.7235686761582265,1.199524282587889,1.0134241700660844,1.7169689577409795,0.7861403233401351
60 days,2.976538003131346,1.7252646182923204,1.2010020663596954,1.0133722623609165,1.7168905509505503,0.7859186091266481
61 days,2.9825688608536685,1.7270115404517912,1.2024799523042604,1.0133891917864541,1.7167693201457968,0.7855966572956149
62 days,2.9883709704434906,1.7286905363434748,1.2038661051829322,1.0129844646684005,1.7166393028118283,0.7851624481918891
63 days,2.9939337227617737,1.730298738010802,1.2052079270539289,1.0129129552458012,1.7165672164234356,0.7847571713693108
64 days,2.9994181917027607,1.7318828458365076,1.2065498721996286,1.0125730392944283,1.7164296548764846,0.7843966343704314
65 days,3.00480813787944,1.733438241726379,1.207768453857076,1.0131149321945698,1.7162183064737309,0.7841112238676387
66 days,3.010492550242775,1.7350771021031817,1.2090029603799997,1.0127880251207007,1.715973658838476,0.7836492751558547
67 days,3.016173233316819,1.7367133422982675,1.2102374099282205,1.0127880251207007,1.7157563502792534,0.7830257533103951
68 days,3.0220498737095074,1.738404404535811,1.2115212996533598,1.0125730392944283,1.7155153783906236,0.7824399111791066
69 days,3.027984720936293,1.7401105484814157,1.212846371540257,1.012482410480786,1.715224343155614,0.7818326959049695
70 days,3.033623042404192,1.7417298993828498,1.2140866766809388,1.012396809701293,1.7149274645503645,0.7814513965574251
71 days,3.039039520244607,1.7432841191970423,1.2152313894546096,1.012001721504686,1.7143718436181832,0.7807751501880686
72 days,3.0445526534831227,1.7448646519094604,1.2163970411358271,1.0125460877383154,1.7139575540689,0.7804586292223217
73 days,3.0500037132625093,1.7464259827609383,1.2175271800129157,1.0121850714485994,1.7134404893757011,0.7797646514729671
74 days,3.055926734367113,1.7481209152593287,1.2187939426012744,1.012162367157441,1.712970537657634,0.7790660282793997
75 days,3.0620958372155402,1.749884521108619,1.2201658115206389,1.012271468132719,1.712513383535608,0.7786182590733268
76 days,3.0681588282233485,1.7516160618763885,1.2215089623588322,1.0121850714485994,1.7121278002911657,0.7781112124711136
77 days,3.0739377563879966,1.7532648848328642,1.222816080016138,1.0121120659204523,1.7116992633175732,0.7777892155945273
78 days,3.0796654122511513,1.7548975503576132,1.2241268530409335,1.0118275233588663,1.7113552950770217,0.7773940084323925
79 days,3.0854417871621798,1.7565425662824627,1.2254552580148854,1.0118129421825715,1.7110994874514822,0.7773521174450883
80 days,3.091149834037827,1.7581666115695143,1.226728289351184,1.0117640111436361,1.7107878560277228,0.7766818830772662
