horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,7.556913150895168,2.74898402157873,1.936569770132627,1.1580393736832888,1.0011899741446717,1.740037755838048,0.5627435683452193
52 days,7.600172070495236,2.7568409585058107,1.9431673017000957,1.15818169299031,1.0012747502273311,1.7408140666308696,0.5610089654390019
53 days,7.642569620953006,2.7645197812555087,1.9496221350475245,1.158426621615631,1.001584357535335,1.7415917171100752,0.5594906374957069
54 days,7.684891042611637,2.772163603146762,1.9560897368889174,1.1593505635733934,1.0021897694452893,1.7425778390529822,0.5578920158536023
55 days,7.727061767162586,2.77975930022054,1.9625181974430275,1.1603511863912384,1.0024550218162607,1.7435381665258494,0.5563567226287847
56 days,7.7687918362581945,2.7872552513643587,1.9688908444743982,1.161506058933484,1.002642575196322,1.7444551976930405,0.5549412332537602
57 days,7.809752488546347,2.7945934388648284,1.9750383138535894,1.1624712211241353,1.0026695323088533,1.7453418432471852,0.5533246613886341
58 days,7.850999427088019,2.8019634949599217,1.98122927353611,1.162978675021653,1.0027770317722413,1.7460136716558394,0.5517109551168584
59 days,7.892084594579172,2.809285424192275,1.9873518882109222,1.163226796901083,1.0028955394291197,1.7465220899981777,0.550410974231939
60 days,7.932438849496011,2.8164585652013434,1.993324114555527,1.1633961539072188,1.0029466346230196,1.7469814558083572,0.5490586729368275
61 days,7.971665821652503,2.8234138594355067,1.9990496269524078,1.1637698974073083,1.00300324068792,1.7472358434278552,0.5480156318880985
62 days,8.010241520032686,2.830237007749119,2.004669326907514,1.1641713409162786,1.0029699934341563,1.7474914408952136,0.5469335213294486
63 days,8.047922789098578,2.836886107882828,2.0101251468270958,1.164966638240537,1.00300324068792,1.7478422792217854,0.5457845784578458
64 days,8.084657528101207,2.8433532190182085,2.015420009353316,1.165905780208607,1.00315774909477,1.7482890792926389,0.5446690935634206
65 days,8.12079476891503,2.8497008209485832,2.020648774039904,1.167009553681536,1.0029699934341563,1.7487161356700833,0.5437945144381021
66 days,8.156326824390687,2.8559283647162244,2.025748753515593,1.168172775883234,1.0029699934341563,1.7491340749222133,0.5426031107959091
67 days,8.191764809042564,2.8621259247354165,2.030857170143489,1.1693959515400276,1.0031864313433805,1.749523297876546,0.5412623839800308
68 days,8.226670482686536,2.868217300464966,2.035842454622711,1.1708179690042653,1.0032150237280442,1.749880633693457,0.5400906997174538
69 days,8.26167992595219,2.87431381827945,2.040827440630221,1.1720684845100209,1.0031575321868913,1.7501738327676633,0.5388225213982708
70 days,8.295719238849394,2.880229025416103,2.0456772024096286,1.1731438340273634,1.0032150237280442,1.7504000658717045,0.5375576309993948
71 days,8.326896494882257,2.8856362374495954,2.050226421015824,1.1741089577885502,1.0032150237280442,1.750572374968251,0.5360430643598028
72 days,8.35745187602257,2.89092578182536,2.0547542800002843,1.1749287198758354,1.0032442468334666,1.750680435910346,0.534903803173561
73 days,8.387371371254657,2.8960958843337106,2.0591135080264813,1.1756166999063173,1.0029453616167017,1.7508416965818328,0.5338110914626026
74 days,8.41713309942642,2.9012295840602516,2.063429460038094,1.1765493287042703,1.00315774909477,1.7510879891386963,0.5329183919330313
75 days,8.446651288337511,2.9063123177555283,2.0676798868098727,1.177562873061689,1.0029534287883695,1.751249351144542,0.5321374411448027
76 days,8.476064101035856,2.911368080651407,2.0719086457326146,1.178510929416039,1.0029354264389783,1.7513861908178838,0.5308348524383124
77 days,8.504275554157397,2.9162091067269844,2.0758947424459655,1.1794497148100664,1.0028443898144856,1.7514602625105848,0.5298009715905428
78 days,8.53164072054152,2.920897245803337,2.0797138390739707,1.1803992927030196,1.0029453616167017,1.7515740951608747,0.529133662071277
