horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,63.18185319412553,7.9487013526818036,5.603861080029793,1.0446711131992028,1.0048006692394318,1.786052607726291,0.6158979969571279
52 days,63.228347372510264,7.9516254547425875,5.607075976943021,1.0453535746456373,1.0047000501588643,1.7866442899541324,0.6160484828894128
53 days,63.27167972726531,7.954349736293049,5.610131888953414,1.0460061001216794,1.0046581026466646,1.7871725254609159,0.6159731104173045
54 days,63.322005784192065,7.957512537482556,5.613570697788092,1.0466765405939427,1.0044818539152034,1.787687166696524,0.6158094148765056
55 days,63.36876859957734,7.960450276182708,5.616529276756573,1.0471292128923282,1.0042814146899368,1.788091463206705,0.6157813796502524
56 days,63.4214133423774,7.9637562332342515,5.619953521215987,1.0474950788819963,1.0043166067172473,1.7883544206749566,0.615666001382747
57 days,63.47003910179484,7.966808589504008,5.622974027553949,1.048018698509208,1.0043565084946233,1.7887019744805333,0.6157491458030491
58 days,63.51692125344074,7.969750388402433,5.625964924183007,1.0499793481349455,1.0044818539152034,1.7890971222475474,0.6158560370242016
59 days,63.56676374191145,7.972876754466449,5.629117794121716,1.0516376848188147,1.004498768114408,1.7895117307536625,0.6156154149397046
60 days,63.61565394161103,7.975942197735075,5.632164942875386,1.0532271815066359,1.0046531601541924,1.789889600122342,0.6155527340522469
61 days,63.664803407741104,7.9790227100655065,5.634966847428563,1.0548290382489232,1.0045614696605034,1.7901874880556397,0.615427631289263
62 days,63.711284450588664,7.981934881379869,5.6376861558198135,1.0564870586894732,1.0045614696605034,1.7904126951857455,0.6151684166526293
63 days,63.751493107808066,7.98445321282604,5.640158095135412,1.058387275609608,1.0045614696605034,1.7907415120870338,0.6151100327424047
64 days,63.78361633260845,7.986464570296951,5.642082654113665,1.0602077601053075,1.0044818539152034,1.7909296965688057,0.6151023892559389
65 days,63.81972898217969,7.9887251161984345,5.644248561185339,1.0620387231515254,1.0044514639930666,1.7912238414686787,0.615243732817796
66 days,63.864413408968616,7.991521345086217,5.646776330886968,1.0638747713111658,1.0044166724858605,1.791462456452372,0.6150790086828514
67 days,63.908038761571774,7.994250356448175,5.649179785348996,1.0657377772762207,1.0045109470293696,1.7917033079890623,0.6149969391684242
68 days,63.959137768174244,7.9974457027337325,5.652092161416481,1.067582632272522,1.0044818539152034,1.7919191917885446,0.6147445366995253
69 days,64.0126020143479,8.000787587128402,5.655143113537757,1.0693832650738404,1.0045061628067578,1.7920761945199077,0.6146109666687906
70 days,64.06088043668292,8.003804122833275,5.657958675596867,1.0711429531566976,1.0044818539152034,1.7921630048424466,0.6143355356329584
71 days,64.1047264747975,8.006542729218243,5.660391716524599,1.0727231115031037,1.0043184335259827,1.7922293474029607,0.6140025476413596
72 days,64.15458653565787,8.009655831286253,5.663145133021071,1.0744331976470016,1.0042437897735765,1.7922851903862884,0.6135862726091189
73 days,64.20510686774593,8.012808924949223,5.665837302817032,1.0760746700041457,1.004154480571906,1.7921834808172312,0.6136115644720556
74 days,64.26629390718185,8.016626092514347,5.669426458219145,1.0778065951573226,1.004065312097606,1.7921614175417377,0.6131397938042162
75 days,64.33055993042264,8.020633387109939,5.673240239578439,1.0794506999914388,1.0039813325256297,1.7920823557694427,0.6127273815902078
76 days,64.39683819029088,8.024764058231924,5.677218843143292,1.0812199901301942,1.0039267445585462,1.7921893007671776,0.6121433599960215
77 days,64.4650375180153,8.029012238003832,5.6815565366332255,1.0833452697110701,1.0037986126847498,1.7922405292873793,0.6118280542610027
78 days,64.53267497204003,8.033223199441183,5.685796558220685,1.0848474450269885,1.0036782873906516,1.7921386314910728,0.6115181051930338
79 days,64.60453838491362,8.037694842734055,5.690336733573414,1.0862320490896877,1.0036782873906516,1.7921226353946254,0.6111912880371553
80 days,64.67324980253555,8.041968030434811,5.694576526703597,1.0875200571989883,1.0035847038767913,1.7920255580199687,0.6109788880045339
81 days,64.74258663781067,8.04627781261688,5.698970713747409,1.0888488917825128,1.003658448481399,1.7920030568544696,0.6106854507784216
82 days,64.81540664369174,8.050801614975477,5.703612261171759,1.0901860685061933,1.003547985834357,1.7919097080102993,0.6102936849831371
83 days,64.89054499997378,8.055466777286949,5.708474022838894,1.0913933500026616,1.0035011845404966,1.7918385786928803,0.610020757216202
84 days,64.9614848663131,8.059868787164783,5.713436656473626,1.092658313511831,1.0035011845404966,1.7918720626341813,0.6097427323072572
85 days,65.02735293430383,8.063953926846546,5.718244118313692,1.0939558065821609,1.003357276124678,1.7918948121364038,0.6091771553548386
86 days,65.09826438112478,8.068349545051007,5.723389528159477,1.0951434895193857,1.0032296680749289,1.791799832454535,0.6085085440042284
87 days,65.15930296533246,8.072131252979752,5.727845216888175,1.096400958310114,1.0032085471561643,1.7918824051617608,0.6080365152561549
88 days,65.22158573595043,8.075988220394482,5.732373543542143,1.097655460668237,1.0031303030048369,1.7919913408624126,0.6073629258452903
89 days,65.28591599613007,8.079970049209964,5.73684927422391,1.0988307172009597,1.0030512214573495,1.792010956797875,0.6070684562982417
90 days,65.3521198593571,8.08406580003881,5.7412940546791535,1.0999209142780004,1.002874251018064,1.7919997576244175,0.6063575514669658
91 days,65.41164554942719,8.087746629898046,5.745524611965117,1.1010709447700295,1.002874251018064,1.7920120306992657,0.6059895687111244
92 days,65.46995544715294,8.091350656543872,5.7498484986469265,1.1021907919656753,1.0028550848936633,1.7921105366370882,0.6054007613914743
93 days,65.5352915126657,8.095387051442673,5.754788467876784,1.1034297579076244,1.0028664265635507,1.792193014531774,0.6048327072306856
94 days,65.59876702211272,8.099306576622022,5.759438854376633,1.1047397633502765,1.0026041950363243,1.7923230616388721,0.6042540913459504
95 days,65.65013809520242,8.102477281375272,5.7631643642544885,1.106095737244308,1.0028274409798694,1.7924630276204023,0.6039080057520922
96 days,65.70125721118549,8.105631203748755,5.766862629911181,1.1072744850064666,1.002721086482143,1.7925401529317735,0.6034948192973818
97 days,65.75466480739816,8.108925009358401,5.770880867062869,1.1081346119908277,1.0025852579513117,1.7925752777092232,0.6029528396255102
98 days,65.80127977494459,8.111798800201136,5.7745945221754145,1.1090973960765407,1.0026041950363243,1.7926340150040267,0.6024308479997338
99 days,65.84523125379972,8.114507456019727,5.7781809896991225,1.1099294922720533,1.0026307570983501,1.792691408504809,0.6016961137331752
100 days,65.88617026566497,8.11702964548393,5.781591897879728,1.1109023513298082,1.0026779447319458,1.792837333625721,0.6012650060752087
101 days,65.91903314523077,8.119053709960957,5.784519632600099,1.1117755712297326,1.002748584208132,1.7929735172233892,0.6011529992536319
102 days,65.95200491459545,8.121083974113027,5.7874891306366285,1.1125983235241,1.0025733766665348,1.7930908887556682,0.6004231483517447
103 days,65.98524144838625,8.123130027790165,5.7905034107589435,1.113372191813295,1.0025852579513117,1.7931793484900695,0.5999955094039275
104 days,66.02039229501352,8.125293366704584,5.793598687532781,1.1141605983397371,1.0027171885574866,1.7932994069141817,0.5993681144915621
105 days,66.0598626012517,8.127721858014809,5.7971561316824385,1.1151457358872368,1.0026041950363243,1.7934644556954316,0.5987850439108183
106 days,66.09637635072536,8.129967795183777,5.800542974585655,1.1160943518009467,1.0025733766665348,1.7936748393638438,0.5981738104747534
107 days,66.13276588557926,8.132205474874528,5.803772009992389,1.1169273419944719,1.0025359293177,1.79386419595942,0.5977215644617324
108 days,66.19438042893943,8.135992897547258,5.8082567039338695,1.1169021233716916,1.0023979689924187,1.793991028942894,0.59690912788495
109 days,66.25746172970247,8.139868655555965,5.812870976018331,1.1163136222842225,1.0024653680364672,1.7941713696813149,0.5964373572171106
110 days,66.32727521402569,8.14415589327867,5.818013494285471,1.1157415112805775,1.0023910637289468,1.7943585875634736,0.5958448049997368
111 days,66.39750942384295,8.148466691583328,5.823080843108266,1.1152958621543214,1.0024365821114904,1.7946080722052038,0.5953174268925873
112 days,66.45918922617449,8.152250562033437,5.827531838744887,1.1146707498513808,1.0023979689924187,1.794708167335199,0.5948135219949217
113 days,66.51464265806989,8.155650964703547,5.831606692180341,1.1137891862805984,1.0021176617091796,1.7947947684565704,0.5944005246545688
114 days,66.57502583159683,8.159352047288856,5.835784835310493,1.1129803041337192,1.002211058540043,1.7948056413868845,0.5940728261127646
115 days,66.63690218568101,8.163142911016626,5.8401195507244905,1.1121952518823748,1.0024365821114904,1.7949338589096817,0.5931901917123211
116 days,66.69893622799356,8.166941669192548,5.844475602991038,1.1114099197484668,1.0021633513920944,1.7950250384020119,0.5926819804881132
117 days,66.75982386879846,8.170668508071936,5.84868822266829,1.1106022376549567,1.0022932403971558,1.7951497233558835,0.5920523224822875
118 days,66.81394569406716,8.173979795305783,5.85249114965939,1.1099087939653267,1.0023314590428012,1.7953524711237514,0.5917294706786368
119 days,66.86380647501022,8.17702919616961,5.856087246867575,1.1091916693044606,1.0021283471364297,1.7953969762808901,0.5913309591828748
120 days,66.9219047418498,8.180580953810665,5.860221515526647,1.108599033566128,1.002211058540043,1.7954788046283334,0.590811845834867
121 days,66.97905914286835,8.184073505465866,5.864032864237618,1.108134169895662,1.0022685507626827,1.7954284569098546,0.5904114818953249
122 days,67.03914817054023,8.18774377777787,5.868239836859841,1.1076696653439215,1.0020989846848307,1.795487739382787,0.5899908465183358
123 days,67.09953793406216,8.19143076233097,5.872437145300419,1.107173731258937,1.002251777459042,1.7955775656595827,0.5896984220475101
124 days,67.15967878384592,8.195100901382846,5.876458712884587,1.1066400720701262,1.0024365821114904,1.7956570778046381,0.5892731244557512
125 days,67.21534601998053,8.198496570712251,5.879935941911859,1.1060539495487374,1.002375445753277,1.795654664923367,0.5888934120255126
126 days,67.26263912197706,8.201380318091404,5.882947348310019,1.1056026142015045,1.0023648068488553,1.7956992645416578,0.5881511629423812
127 days,67.30204538061395,8.203782382572928,5.885328192414753,1.1051118650056713,1.0023144099148815,1.795672332898604,0.5878627087661507
128 days,67.37120347295536,8.207996312922866,5.889157603467193,1.104558571646655,1.0023144099148815,1.795785491444886,0.5875051090103517
129 days,67.44743886403671,8.212638970759443,5.893684349545014,1.1044299166810048,1.0023979689924187,1.7961081864437103,0.5867311813586005
130 days,67.52091681356252,8.217111220712697,5.898052878113957,1.1044045215169853,1.0023979689924187,1.7964750099042217,0.586128978617529
131 days,67.60092938345598,8.221978434869309,5.902788375838195,1.1044909387599489,1.0023979689924187,1.7969246775088856,0.5856707865104513
132 days,67.68290384942235,8.226962006076262,5.907553499897778,1.1046903909692263,1.0023979689924187,1.797320639070898,0.5848789982968051
133 days,67.77530371695111,8.23257576442216,5.912879901494728,1.1048666588738796,1.0024730907796044,1.7977848785894393,0.5840005739704406
134 days,67.8673169890045,8.23816223371478,5.918197192433821,1.105078631110108,1.00249066509423,1.7981328639159715,0.5830572660290604
135 days,67.97226289777765,8.244529270842433,5.924244651225096,1.1053424043326805,1.002502150598359,1.7985583713231281,0.5820539438969795
136 days,68.07839160566078,8.250963071403289,5.9302420422758795,1.1056696840371487,1.002502150598359,1.7990549510161589,0.5812797572332967
137 days,68.17922634962534,8.257071293723056,5.935899729577541,1.1059999167066636,1.0025226869137407,1.799531914964964,0.5805182621542644
138 days,68.27933310831025,8.263130950693585,5.941299960825659,1.1063148362632111,1.002571713213932,1.7999112773051569,0.5800525587011691
139 days,68.37370224627468,8.268839232097495,5.946187080898465,1.1065581227120844,1.0025225037809748,1.8002953414697114,0.5798681947589844
140 days,68.46402364226941,8.274298981924053,5.951106543356078,1.1068434418611384,1.0025227890927262,1.8007664080336605,0.5791985285485071
141 days,68.54805088303121,8.279375029736919,5.955583368121265,1.1072715960110489,1.0025251504237898,1.8012171475658816,0.5785356891076632
142 days,68.63629511886202,8.284702476182353,5.960334331860914,1.107622035288731,1.002543279168365,1.8016838270100388,0.5781620306121023
143 days,68.73032309994919,8.290375329256763,5.965508572740894,1.1078469355482163,1.0025251504237898,1.8021756606766712,0.5779908237252858
144 days,68.8256125706246,8.296120332458095,5.970698067855683,1.1078888509698894,1.0026258626324531,1.8026592168933189,0.5773010749513188
145 days,68.92428887572761,8.302065337958236,5.976215885576655,1.1079660341890527,1.0026491773675574,1.8031362562437387,0.5768246957020844
146 days,69.02047598203158,8.307856280776141,5.981544410125232,1.1081039614418762,1.0026994309695192,1.8036360852848743,0.5762050118055284
147 days,69.11327841037286,8.313439625712865,5.9867106166894795,1.108302477262081,1.0028485238337803,1.804174569095451,0.5756865911916486
148 days,69.19672123853606,8.318456662057937,5.991197438013645,1.1084492119563731,1.002790451910005,1.804509387134585,0.5749725407323341
149 days,69.28950097981155,8.324031534047162,5.996459789132575,1.1085551551367885,1.002850397583241,1.8048293186602773,0.5744570676349299
150 days,69.3793855807792,8.32942888683127,6.0013277154710085,1.1086147260381916,1.0027983503439704,1.8051805472185898,0.574129530155284
151 days,69.47049325426565,8.334896115385341,6.006245080529113,1.1086426766036144,1.002954264870463,1.8055380485344918,0.5733995894863588
152 days,69.56410939667437,8.34051014007383,6.011325506709385,1.1088352722918142,1.002887289906916,1.805968741056871,0.5729756453906261
153 days,69.66011247747316,8.34626338414222,6.016532796907016,1.1092442462388983,1.003235602295009,1.8064415403406873,0.5724483752723099
154 days,69.7635965556382,8.35246050907385,6.022320291162721,1.1096732660300328,1.0033474098705701,1.8069642783299107,0.5719248852844663
155 days,69.85791955288636,8.358105021647333,6.027604978992772,1.109983024224934,1.0034965956483672,1.8075312531659478,0.5714710601494932
156 days,69.95066970206649,8.36365169660158,6.032997718188429,1.1102041082249614,1.0034897729032144,1.8082126338081281,0.5710740733808731
157 days,70.08674033119283,8.371782386755692,6.040183148122154,1.1103306240346018,1.0036885352082034,1.808846703525902,0.5703722073530605
158 days,70.22556937729294,8.380069771624395,6.047749730969866,1.1104830367738272,1.0034897729032144,1.8094881457366687,0.5695564830585138
159 days,70.35270973134413,8.387652218072953,6.054634774261137,1.1105836469958243,1.0035383112242688,1.8100801644113427,0.5688234229850206
160 days,70.48157325317418,8.395330443358032,6.061564287895751,1.1106914432746955,1.003593662153907,1.810712770614716,0.5682896985350709
161 days,70.63090432874993,8.40421943601843,6.06931029433932,1.1108220186133462,1.0036885352082034,1.8111918138123462,0.56762796241541
162 days,70.77925716296697,8.413040898686216,6.07724899942574,1.1110649387128242,1.0037124485008935,1.8117710443710813,0.567119320627715
163 days,70.9390650256211,8.422533171535813,6.085763226550325,1.1114288140719875,1.0038144400004805,1.8124796916518373,0.5662756493040608
164 days,71.1212556785129,8.433341904518807,6.095066128905049,1.1118915503542297,1.0037124485008935,1.8130846875152342,0.5653832396472162
165 days,71.30650484082413,8.444317902638682,6.104872871092296,1.1124052201841996,1.003716167916647,1.813839729428557,0.5644812118262866
166 days,71.49552515534361,8.455502655392145,6.1148325396420935,1.1129253388029894,1.0036813058684053,1.814470329465084,0.5638243172143301
167 days,71.68164576966466,8.466501388983803,6.12449049129141,1.1134102010260145,1.003716167916647,1.8151569515388823,0.563079612309057
168 days,71.92381559995506,8.480790977258847,6.1360229051841655,1.113874495746913,1.0037250757578906,1.8156888320244446,0.5621783854043926
169 days,72.19873707986339,8.496983999035386,6.148923973326365,1.114042479342514,1.003716167916647,1.8163322280540353,0.5610068782187645
170 days,72.47443191623847,8.513191640990968,6.16208140590014,1.1141820313637307,1.0038218942184305,1.817133263226423,0.5599277319036251
171 days,72.76184812516112,8.530055575736956,6.1758095403178555,1.1143260768384498,1.0038568421862817,1.8179705521065466,0.5588066632750232
