horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,15.441824788817678,3.9296087322808204,2.4507037361985997,1.2796113609760422,1.004247871580112,1.7523915890977149,0.6890743068970215
52 days,15.458155118194036,3.931686040135203,2.451998266730614,1.2792489271359984,1.0040158093514564,1.7523724334790056,0.6887676367699554
53 days,15.474121709622132,3.93371601791768,2.4532286580877583,1.2788164900306385,1.0039894619338616,1.7523129408187623,0.6885539519263495
54 days,15.491021392336423,3.9358634875128002,2.4545928916568482,1.2786400277840775,1.0039630015096257,1.7521879941658767,0.6884620026906159
55 days,15.507654867242984,3.9379759861181207,2.4559578113401077,1.277628688095076,1.0037309553487408,1.7520955108508702,0.6881578044382889
56 days,15.525918128554338,3.9402941677689927,2.4576435795151275,1.2761296460305718,1.0036849335292848,1.751840935363979,0.68788818012236
57 days,15.543639394494395,3.942542250185075,2.459159651111634,1.2744768475114912,1.0037309553487408,1.7516180491449738,0.6876509011959797
58 days,15.562230372331763,3.944899285448459,2.4608689749534265,1.273264049874357,1.0036176508806913,1.7514718849810051,0.6873725985061228
59 days,15.581688704313692,3.947364779737704,2.4625398976121455,1.2724173165684647,1.0036849335292848,1.7513109477670796,0.6871076293000514
60 days,15.60135718884416,3.9498553377110106,2.464440495492361,1.272451809635598,1.0036849335292848,1.7512660372940094,0.6868242702468331
61 days,15.622705416430001,3.9525568201393386,2.4666119315971975,1.2725355400246823,1.0035707069345237,1.751143724591621,0.6865207082629469
62 days,15.643787505769232,3.955222813669191,2.46893221664886,1.272516467833548,1.0036175025038718,1.7509767371006766,0.6861564464575002
63 days,15.663426681569872,3.957704723898673,2.4711466097494754,1.2726387651298643,1.0032646584406544,1.750966823429717,0.6858531940150536
64 days,15.683075477942328,3.9601862933380203,2.4734529654615254,1.2727104952024249,1.0032985884230423,1.7509400022293886,0.6854187072771549
65 days,15.703566450656103,3.962772571149662,2.4757562737631713,1.2713820644171916,1.0032892442829713,1.7507285517636475,0.6850155899281657
66 days,15.7253735641567,3.965523113557239,2.478078437833331,1.2697087893023609,1.002997954747282,1.750298447737018,0.6848380959459724
67 days,15.747602981774797,3.9683249591956047,2.4805414630172136,1.268621047419527,1.0030918635545822,1.750006678874551,0.6844029726713678
68 days,15.77084063888268,3.971251772285746,2.4831529239553065,1.267002939458261,1.003032855006551,1.74964111675375,0.6840184331226367
69 days,15.794622563758663,3.974244904854086,2.485863547076672,1.26556163945513,1.002630842733068,1.7494161669922716,0.683414119154813
70 days,15.817139655701833,3.9770767726688194,2.488494533007951,1.2640551756788672,1.0026980887313914,1.7492535115082093,0.6828875704205581
71 days,15.838685326143567,3.979784582881788,2.4910595814329457,1.2642176915284866,1.0025105513487602,1.7491684357496862,0.6826593583860034
72 days,15.860721671592595,3.9825521555395347,2.4935822822489624,1.263707932088282,1.0025209181048367,1.7490496420821322,0.6821749660108332
73 days,15.88285008895337,3.985329357650804,2.496136311286832,1.2632748921268782,1.002483711463797,1.74906482860429,0.6819037236848489
74 days,15.905451426837011,3.9881639167462777,2.498769046428979,1.263104716734427,1.0025106091317166,1.7491562067647926,0.6815230553396284
75 days,15.929431076813762,3.9911691365831343,2.501648674082035,1.2624490156268795,1.0025780902380386,1.749122672511118,0.6814195651657753
76 days,15.953256900678133,3.9941528389231844,2.5044353394453553,1.2615352997269427,1.0023150440538018,1.7492890381966737,0.6812138127955002
77 days,15.975069921095567,3.9968825253058875,2.5070913856011194,1.26067003901326,1.0024849120671115,1.7495083116925356,0.6808487795849528
78 days,15.99596319737051,3.9994953678396117,2.509687648637775,1.2598385150223996,1.0023150440538018,1.749737519249188,0.6803528571347167
79 days,16.017359383755256,4.002169334717768,2.5122329779746244,1.2586872201506376,1.002335708212307,1.7499828005205298,0.6800295450251937
80 days,16.038787048662787,4.0048454462891305,2.5147747701491396,1.257611810856038,1.0024849120671115,1.750200664786588,0.6799146993210425
81 days,16.060780048950136,4.007590304528413,2.517360109656786,1.25647645852796,1.002335708212307,1.750525562174185,0.6796981700046764
82 days,16.08372400427687,4.010451845400574,2.520062159328002,1.2557668163491786,1.0024849120671115,1.751014985122417,0.6794385412892244
83 days,16.106889869064354,4.013338992542787,2.5227729906221654,1.2550207259023924,1.0025780902380386,1.7514715288095561,0.6793377893746054
84 days,16.12886504530257,4.016075826637561,2.5255057851469647,1.2544227011452256,1.002562012625889,1.7520765688238562,0.6793085735794752
85 days,16.149557707747014,4.01865122992118,2.528060957545091,1.253507480375657,1.002640071647343,1.7526248757544771,0.6792437680434188
86 days,16.170915367198674,4.021307668806091,2.5306773324079126,1.2527081050714877,1.0027207380284926,1.7532791486794281,0.6793045976477535
87 days,16.190801954358914,4.023779560855554,2.533183287815718,1.251664066729661,1.0027935177179468,1.7539573488764024,0.6791608469573889
88 days,16.209996638384524,4.026164010368247,2.535598460664852,1.2506225134155318,1.003021425811223,1.754585245033726,0.678756435230636
89 days,16.230286525533494,4.028682976548724,2.5382232658082393,1.2494050158030763,1.003021425811223,1.75533617555014,0.6786152653426119
90 days,16.251231799051048,4.031281657122341,2.5410034540899447,1.2482082143140587,1.0029674764943532,1.7561591782278256,0.6784175199814754
91 days,16.26963986818634,4.03356416438196,2.543488366737859,1.247459046586616,1.0032892442829713,1.7571383303817318,0.6784338405485162
92 days,16.28766425827872,4.03579784655757,2.5459016779319166,1.2467220732029953,1.003512645158947,1.7580262979708996,0.6783222035906306
93 days,16.30693271312783,4.038184333723242,2.5484539685771823,1.2459751275342015,1.0035640553854668,1.7588599720932103,0.6782111116960929
94 days,16.32720908018517,4.04069413346088,2.5511873823413724,1.2454055096685859,1.0038232333289612,1.7596660109324083,0.6781881425552627
95 days,16.34837822610415,4.043312778663574,2.55393966278795,1.2447818106591753,1.003848281152265,1.7603714233199375,0.6779987116634717
96 days,16.370996519660576,4.046108812137975,2.5569191380813896,1.2440710591888624,1.0042164735882988,1.7611774683949064,0.6775968807390592
97 days,16.3943403526048,4.048992510811153,2.560012634767062,1.243120624005633,1.0044952192262133,1.7619735243975236,0.6773768100401314
98 days,16.416436877299432,4.05172023680059,2.5631287477188485,1.2421303253305684,1.0045096992749811,1.7628472329213762,0.6771842590686289
99 days,16.431372661114988,4.0535629588196835,2.565748672019059,1.2413795024659517,1.0051799024785977,1.7639665397819078,0.6772322813822742
100 days,16.441046399494205,4.054756022191003,2.567836581029683,1.2406491070067913,1.0052230164212173,1.764890635776567,0.6770515572045163
101 days,16.450433192381457,4.055913361054629,2.569963080864092,1.2396338816364798,1.0055127915100894,1.7657954985403856,0.6768466414986822
102 days,16.460550086239856,4.057160347612583,2.5721323524484134,1.2387228996385895,1.0056815717655565,1.7666826374521627,0.6766068849612518
103 days,16.470761100912778,4.058418546787995,2.5743363950278,1.237852076067174,1.0063261488741797,1.7675356127470485,0.6763952591693326
104 days,16.48151092405827,4.0597427164856486,2.5766035532163207,1.2368226129262783,1.006441386037789,1.7683819131387042,0.6760610294273817
105 days,16.49106265779048,4.0609189425289545,2.5788533834921163,1.2358358672077596,1.0068402488984955,1.7691981766542428,0.6759260992261796
106 days,16.498248225963383,4.061803568116432,2.5807912911169133,1.235027358421168,1.006943729095781,1.7702477649987354,0.6756978946992173
107 days,16.506201230323523,4.062782449297959,2.58289644227248,1.2338225680968038,1.006934419484346,1.7713277833190422,0.6755188186945063
108 days,16.514255717990743,4.063773581043947,2.5849632632362227,1.2325866029048114,1.0069190071431986,1.772285482094622,0.6753696483192267
109 days,16.522116295452182,4.064740618471514,2.587029556316878,1.231255479988144,1.0068675995978773,1.7731827057104008,0.6751802174274356
110 days,16.5308110156184,4.065810007319378,2.5891043247758807,1.229488585757804,1.006891409740386,1.7739366785077382,0.675149763959818
111 days,16.539019556390723,4.066819341499045,2.5909773735117883,1.2276975615167935,1.0068675995978773,1.7748407046570012,0.6749939002690098
112 days,16.545146025604343,4.067572497891629,2.59261066341573,1.2260697963459297,1.0067645341629086,1.7757043998405375,0.6748883773065397
113 days,16.54981180802101,4.068145991483222,2.5939975347169293,1.2242250449793974,1.006797023393648,1.776665683279964,0.6748071526662948
114 days,16.55492477137341,4.068774357392336,2.5953415351866975,1.222578926088117,1.0067584379246548,1.7775886865728894,0.6749887218937721
115 days,16.56024196478256,4.0694277195672806,2.59673262778557,1.2212687540186977,1.0068322721047571,1.7786991573119897,0.6749768502030059
116 days,16.565347055382087,4.070054920438063,2.5981659341659653,1.2201174244149728,1.0063261488741797,1.779833069811915,0.6750495878343131
117 days,16.5700957321608,4.070638246290231,2.599400962907102,1.2189096441798082,1.0063118348037379,1.7807840855458186,0.6750379322973893
118 days,16.57529792333754,4.071277185765855,2.6006541359800255,1.2178889776232085,1.0059522408755353,1.7818185582298107,0.6752681648127006
119 days,16.579302990023358,4.071769024640686,2.6017910120810317,1.2173780204682823,1.0056881487394325,1.7827798309384162,0.675444761867491
120 days,16.58221863645725,4.072127040805241,2.602754166170561,1.216755821690873,1.0057938547636152,1.7836559959730731,0.6755769858649382
121 days,16.58586449935083,4.0725746769520175,2.603655181662468,1.2151172782440192,1.0053690847924242,1.7841064938249294,0.6755129601800237
122 days,16.590231291090195,4.073110763420287,2.604637769462936,1.213064594641681,1.0052249027211555,1.7846120896507316,0.6754179028011105
123 days,16.594456629384087,4.073629417286762,2.6055642245412587,1.2113207028111281,1.0051488239624728,1.78509447244024,0.6755979160936028
124 days,16.599894580240093,4.074296820340916,2.606628027890842,1.209467150591865,1.0050503845508412,1.7855628586621082,0.6754888720703808
125 days,16.60576359846743,4.075017005911439,2.6077339741932706,1.2079275287169775,1.004936140507346,1.7861609659579403,0.6752720640684107
126 days,16.609509006711836,4.075476537377173,2.608607068771969,1.2069028317578303,1.004671590107574,1.7868466389927566,0.6750925527335343
127 days,16.612530045063966,4.0758471567349,2.6094324503397157,1.2052707940606662,1.0045638953250149,1.7871852076406167,0.6749284096651631
128 days,16.61778772951085,4.076492086280906,2.6105815365976923,1.2037473706901507,1.0044895263899982,1.7877393327491142,0.6748835611861297
129 days,16.62492395523591,4.077367282357074,2.6120206961822006,1.200759536306348,1.0043757977194676,1.7882020585796103,0.674920340880423
130 days,16.63207617483484,4.078244251492895,2.613626127036157,1.1977113316458723,1.0043079766264762,1.7886670317609124,0.6748384931100236
131 days,16.640757126990923,4.079308412830651,2.6154444994320105,1.1948047989308153,1.0039854894840725,1.78917491958094,0.6743194331990098
132 days,16.64993155168071,4.080432765244479,2.6173518723101243,1.1918018297765631,1.003861126797304,1.7897470585295254,0.6739723121650539
133 days,16.65726099042124,4.081330786694609,2.6190983324995365,1.1885870929807618,1.0038265799919026,1.7902751364478444,0.6735874457010919
134 days,16.663682068597087,4.082117351154555,2.6208095680822203,1.185302308877774,1.0038105152933574,1.7905679256224223,0.6729553862758677
135 days,16.67061459809108,4.082966396884878,2.6225157890463326,1.1821429260905643,1.0036462098638141,1.7908376943336701,0.6726159117245896
136 days,16.678794879481988,4.083968031153279,2.6244048817629175,1.1792512787939895,1.0035194424212932,1.7911388608871779,0.6720911535510795
137 days,16.6852163270569,4.084754132999549,2.6259885814708834,1.1763523482426506,1.0034286548395888,1.7913147543320191,0.67167207224568
138 days,16.692322695750274,4.08562390532343,2.6275102761299154,1.1737854342290042,1.0033283148251675,1.791572205064476,0.6715433433156531
139 days,16.699561380882027,4.086509681975809,2.6290116783631476,1.1713593218909633,1.0031987747265654,1.7918960581133458,0.6712074799162336
140 days,16.70516337751032,4.087195050093685,2.630362120576401,1.169094014813873,1.0030668326503496,1.7921439724623205,0.6710283202233266
141 days,16.7097549409671,4.0877567125462715,2.6316969949626112,1.16677547261092,1.0029765881501571,1.7923586406851333,0.6709126961845523
142 days,16.71546549995479,4.088455148335957,2.633127647153655,1.1643597240199182,1.002667960270599,1.7925453669706173,0.6705241313646354
143 days,16.721368312751437,4.089176972540004,2.634448049008212,1.1619119741844828,1.002667960270599,1.7925251113788183,0.670165399839309
144 days,16.72738336366512,4.0899123907077914,2.6358298688982384,1.1595606913900676,1.002473514761346,1.7925470769365555,0.6697072077322314
145 days,16.73361985121495,4.0906747427796,2.637113016428788,1.1571356079790585,1.002340445936908,1.7926829456395375,0.6692458943436876
146 days,16.739246153663117,4.09136238356652,2.638328587546231,1.1547669264489027,1.0022198875981498,1.792940378030469,0.6690708201254908
147 days,16.743881725760403,4.091928851502725,2.639437924153769,1.1523701648132614,1.0022198875981498,1.7930486077168748,0.6687823971226066
148 days,16.747285080513212,4.092344692289887,2.6404730932172726,1.1500227874922027,1.0018424017595202,1.793204379758327,0.6685772055466417
149 days,16.751389757893502,4.092846168364199,2.641446604765712,1.14782931042775,1.0019684471813015,1.7933453357937648,0.6681764584776059
150 days,16.755960968067043,4.0934045693123275,2.642486429703212,1.1455358805727736,1.0016344631391207,1.7932063796302298,0.6677147866015335
151 days,16.760552042883276,4.093965320185709,2.643587925749542,1.1435122722079984,1.0014703581832716,1.7933033746178237,0.6673997267401599
152 days,16.76548974565574,4.0945683222600815,2.6446513386364066,1.1417023105631978,1.0011879908898265,1.7933888719261577,0.6671701952803977
153 days,16.77098673698194,4.0952395213200825,2.6458278350025175,1.1398191967213371,1.0010137897091722,1.7936917041175113,0.6669314757562712
154 days,16.775452929133742,4.095784775733918,2.6469536575927406,1.1380358561152917,1.0010033686180027,1.7940033564317137,0.6666095838400088
155 days,16.77794191413539,4.096088611606857,2.6478175454732997,1.1364293066319533,1.0009227849454392,1.7943503852450238,0.6662327971927627
156 days,16.78054189630348,4.096405973082194,2.6487384672927687,1.1347397347581374,1.0008325886179215,1.7947311538807393,0.6657532010289875
157 days,16.785091969138143,4.096961309206879,2.649898080331442,1.1331769181246083,1.0008747283254593,1.7950404018964417,0.6653175241909824
158 days,16.789916317385615,4.097550038423645,2.651136739991198,1.131960915917641,1.0006512093368114,1.7954647042710092,0.6646952029796552
159 days,16.795801327508784,4.09826808877955,2.652509584050218,1.1309839812012643,1.0004302581062432,1.7958231949555865,0.6641503469817681
160 days,16.801939948905908,4.0990169490874155,2.653784390228238,1.1297540124379306,1.0005003659139389,1.7961436818094498,0.6635760967401088
161 days,16.811476604708027,4.100180069790597,2.6554563212346336,1.1285302186542028,1.0004302581062432,1.7964003873314547,0.6632076568494679
162 days,16.819973961940136,4.101216156451661,2.6570337805550444,1.1273973593749325,1.0003531514121031,1.7966901849732368,0.6628797662374933
163 days,16.828610324609727,4.102268923974845,2.6585812510476083,1.1263957329771719,1.0003358458345981,1.797007082450263,0.6625162988888681
164 days,16.84003136340285,4.103660727131673,2.660487892851453,1.1254109314981504,1.0001693171144654,1.7972393470817454,0.6619043756927678
165 days,16.855932496273056,4.10559770268265,2.6629351586675467,1.124412329333908,1.0002893958752344,1.7974112715573227,0.661159097951383
166 days,16.87210324796348,4.1075665847267135,2.6652752277725362,1.1232708499717383,1.0000338524484298,1.7975674741818923,0.6604923252249612
167 days,16.888594178692287,4.109573478926041,2.667588521161011,1.1220321329349292,1.0000306773341574,1.7978346508727578,0.659649095344317
168 days,16.905023394626195,4.111571888539247,2.670043371945914,1.121089479835511,1.0000261564477047,1.7981936131725367,0.6588714568061059
169 days,16.91960437336498,4.1133446698963825,2.67229535075103,1.1198344825735411,0.9999977253714573,1.7981699782323606,0.6581817496252957
170 days,16.936366891523136,4.115381743110004,2.674899056010383,1.118539128312406,1.0000083711255456,1.7983393057750323,0.6574440052700923
171 days,16.9538029463226,4.117499598824826,2.677645259627291,1.1174924207794539,1.0000073518725985,1.798578691287488,0.6568061153941481
