horizon,mse,rmse,mae,mdape,smape,coverage
51 days,15.28047691650922,3.9090250595908467,2.6455831272177397,1.007339977308456,1.798905871113242,0.49656653783413185
52 days,15.284862410831362,3.90958596411837,2.6466858580748003,1.0072813358391626,1.798788500968324,0.49645878887056816
53 days,15.289139860650957,3.9101329722467186,2.6477483835154247,1.0071429068635471,1.7988086468025029,0.49661782219659734
54 days,15.293520134597165,3.9106930504192174,2.648722693869328,1.0071387568208645,1.798942834533474,0.49661782219659734
55 days,15.29745862914612,3.9111965725524613,2.6495935865793467,1.0070921214450577,1.7989928989493393,0.4967308640126773
56 days,15.299943080369014,3.911514167220798,2.6503457294055774,1.0069441682355893,1.7989650870666032,0.49665009979258795
57 days,15.302252777806409,3.91180939947314,2.6510018856071063,1.0070366236692077,1.7989854055746237,0.496680433638827
58 days,15.306675401605288,3.912374649954333,2.6520153382412057,1.0070756149228504,1.798987166071361,0.4967600197470697
59 days,15.31173731310143,3.9130215068539336,2.653059306466521,1.0070921214450577,1.7989959927782915,0.49706487679061423
60 days,15.316677720068077,3.913652733709019,2.6541858542842203,1.0070366236692077,1.7991350502989714,0.4971734027899729
61 days,15.321528329213821,3.9142723882241284,2.655173397479962,1.007087785188838,1.7992645340808577,0.4973168954001035
62 days,15.324844160611246,3.9146959218579473,2.6558760168409856,1.0070302154454835,1.7993377766794993,0.4975944191772675
63 days,15.32636364174626,3.914889991014596,2.656307808817225,1.0070366236692077,1.799314740440405,0.49780247589976384
64 days,15.327212073572053,3.914998349114857,2.6568201346368756,1.0071429068635471,1.799327989108176,0.4980290562137499
65 days,15.328882407970564,3.9152116683482854,2.657339612468232,1.0070895634681993,1.7993402743330944,0.4984164010499308
66 days,15.332363825412704,3.9156562445409713,2.6579965481548253,1.0071429068635471,1.799317537920772,0.49858623647788614
67 days,15.336604094182157,3.916197657700918,2.6588688922477557,1.0071809957576614,1.7992404201783299,0.4987101149902291
68 days,15.342256786603073,3.916919297943611,2.6599538960649363,1.0071742702407314,1.79923518696053,0.49869050089244144
69 days,15.348306047379747,3.917691418090474,2.6611391891282974,1.0070921214450577,1.7992046760000475,0.4986805932202073
70 days,15.35236101763758,3.9182089042874653,2.662034655397474,1.0070532382748971,1.7992732217393521,0.4985650738986942
71 days,15.356353284115986,3.918718321609246,2.663029599141617,1.0070351544237595,1.7995233075410006,0.49855574946915504
72 days,15.362057969547077,3.919446130456072,2.664254933990605,1.0070124831566962,1.799729796422244,0.4986350136421212
73 days,15.36825246701114,3.920236276936779,2.665554350489973,1.0070351544237595,1.8000172370805028,0.49861772226643997
74 days,15.37608716791546,3.9212354134781884,2.667219935368214,1.0069238496942976,1.800405747301801,0.4985815910336733
75 days,15.384953161955009,3.922365760858491,2.6689733839454433,1.0068727684186296,1.8006949854330472,0.4986009470512269
76 days,15.3940727504273,3.9235280998646234,2.6706783749029963,1.0068629356664272,1.800930779592949,0.4984985078322618
77 days,15.401290556051372,3.9244478026916565,2.6722030677343196,1.0067627444342375,1.80118050706854,0.4984779905211693
78 days,15.407622941808617,3.9252545066286615,2.6735939709286685,1.006745645449374,1.8012725862516987,0.4983550152221312
79 days,15.415028130489251,3.926197668290435,2.6751261757188267,1.006539422297647,1.8014493601865786,0.4984520347561813
80 days,15.421929436901408,3.927076449077788,2.6765895370407744,1.0063975283565219,1.801758851179394,0.49843654994213843
81 days,15.426790479868005,3.927695314031882,2.67780012698886,1.0063518822058237,1.8020482248804988,0.498299251257625
82 days,15.431624362805941,3.928310624531357,2.6789739397517622,1.0061889998405056,1.8023618095983225,0.4981129173286425
83 days,15.436833765810084,3.928973627527943,2.6801486623398603,1.0061739506096146,1.8026245032731896,0.49807398727629787
