horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,26.78811774945262,5.175723886516032,3.349803164884827,1.2109737803481029,0.9918151408323329,1.687089490398914,0.6367155629391222
52 days,26.823306952031167,5.179122218294444,3.352646733462511,1.21070462473971,0.9912849712413109,1.6870810000025083,0.6361167273531623
53 days,26.857541333084843,5.182426201412312,3.3554012514065352,1.210430614168825,0.9911456075916083,1.6870538416040914,0.6357639531022636
54 days,26.89434976476605,5.1859762595644465,3.358381046301932,1.2103009372370335,0.9909710601799617,1.6871401302894515,0.6357437501715955
55 days,26.931766300102122,5.189582478398635,3.3615639884162336,1.210122169387782,0.9907689490638248,1.687225983473724,0.6351513223155963
56 days,26.967880752368874,5.193060826946751,3.3647332282214664,1.209966039636893,0.990575396485755,1.6873129579020385,0.6348053066176182
57 days,27.002966751480034,5.196437890659334,3.367700352270337,1.2098787133448434,0.990575396485755,1.6874478176705023,0.6342508541969509
58 days,27.040370428132185,5.200035617967648,3.370720522881557,1.209920804511112,0.9905468369111512,1.6875052980228495,0.6337625679064532
59 days,27.07880306372961,5.203729726237674,3.373795118406722,1.209997639910446,0.9905580390225307,1.6874261746767858,0.6331085627790529
60 days,27.12634501826926,5.208295788285191,3.3775964733121353,1.210192281912827,0.9902490861736224,1.6875121072137373,0.6324351317567795
61 days,27.178307503915647,5.213281836225205,3.3815023281214645,1.2103522165170584,0.9904838809249887,1.6875490922042211,0.6319678742320944
62 days,27.230188402578168,5.218255302548752,3.3855025408776425,1.210458753709078,0.9900001076181573,1.6875813316298531,0.6316557695467089
63 days,27.27856005841184,5.222888095528358,3.3891777344825025,1.2105130626083105,0.9899610728972479,1.6875500044964673,0.6312534731734043
64 days,27.324492550041434,5.227283477107535,3.392689637833179,1.2103784087410756,0.9896839967156652,1.687480365766777,0.6309346671907267
65 days,27.373884529813377,5.232005784573769,3.396506604087968,1.2103405467016306,0.9894499416954625,1.68741265347692,0.6305531510614568
66 days,27.426138170354843,5.23699705655396,3.400469499363476,1.2102987321687504,0.9893109192868129,1.6873592032257476,0.6299054600486637
67 days,27.477935122091544,5.241940015117642,3.4042903443309864,1.2103420757383663,0.9892266648445429,1.6873178829445525,0.6292171600644582
68 days,27.531487365266877,5.247045584447202,3.408282833932167,1.2102480202324408,0.9889484349678413,1.6872162802331159,0.6286643522031278
69 days,27.58549840893379,5.252189867944017,3.412284468417713,1.210099909235169,0.9891101478479162,1.6870335506368643,0.628264262621522
70 days,27.638967706674254,5.257277594599153,3.416391882899984,1.2099502003953808,0.9886922252183196,1.6868452204789712,0.6277053036116466
71 days,27.691806999577285,5.262300542498242,3.42054910024276,1.2099818622595557,0.9885707470440122,1.6867829047603204,0.6271694191864642
72 days,27.74598894234887,5.2674461499239715,3.4248274355865,1.2100501877258858,0.9886258114331766,1.6868465718305523,0.6265078337674242
73 days,27.807078509461867,5.273241745782367,3.42964972427543,1.2101943992953015,0.9885481380184779,1.6869247900071234,0.6257650788538347
74 days,27.86760221578774,5.2789773835268266,3.4342982605282324,1.2102588902374243,0.9885198060488859,1.6868804666972421,0.6250029679226915
75 days,27.930412632609787,5.284923143491283,3.439045572837909,1.2103104557583797,0.9883218311367152,1.686717768718024,0.6243977697738494
76 days,27.993934917964822,5.290929494707411,3.443867189077177,1.2104061482153279,0.9881538869333324,1.6865825053217773,0.6237864643472666
77 days,28.054049639695577,5.296607370732286,3.448354524504323,1.210585782563992,0.9881820462009427,1.6865651275526545,0.6232666508616834
78 days,28.11233970035745,5.302107100045929,3.4527033113587993,1.2106977200923847,0.9882558558383534,1.6864792524541234,0.6227410921911529
79 days,28.172475286898013,5.3077749845766835,3.4572825304600667,1.2108652230861132,0.9881109611778367,1.6864703057361787,0.6220771123092916
80 days,28.23324205749416,5.3134962178865015,3.4619816477494476,1.2111529277739643,0.9879406515933238,1.6866962276916793,0.6212115112042953
81 days,28.29422651824915,5.319231760155704,3.4667376397773464,1.211370577967867,0.9882213688715136,1.6867956749499977,0.6203546848272566
82 days,28.35628676474271,5.325062137171988,3.47146837047408,1.2115784695942762,0.9881820462009427,1.6868316499166813,0.6195505068179636
83 days,28.419600874308994,5.331003739851342,3.4763009999908157,1.211818638479366,0.9880135445579858,1.686836230573238,0.6190188317215021
84 days,28.479856622916156,5.3366521924251495,3.4808963231790933,1.2120154793181823,0.9880135445579858,1.6869434485331465,0.6183923212737154
85 days,28.538885817819317,5.342179875090253,3.48536129307158,1.2120479379682292,0.9882213688715136,1.6869760595170815,0.6177768695092708
86 days,28.599399757497924,5.347840663061861,3.489922018698305,1.2119963783902303,0.987907804648164,1.6869715064314788,0.6171673939367661
87 days,28.657248277728968,5.35324651755633,3.49418005499531,1.2118334626918699,0.9881538869333324,1.6868885786223622,0.6169031197771013
88 days,28.71388287196428,5.3585336494198,3.4983178405068434,1.2114211502483843,0.9881538869333324,1.686657584357752,0.6163714744949628
89 days,28.769929084848368,5.3637607221844235,3.502252655699931,1.210957804693679,0.9875898615192709,1.6863455468853505,0.6159624173239969
90 days,28.825643457827564,5.3689518025241725,3.5060568646203465,1.2104483069885248,0.9876518635662261,1.6860092799020174,0.6157327473447392
91 days,28.87786279817859,5.373812687299269,3.5095902898908733,1.2098808375713952,0.9875779156209377,1.6856603207766108,0.6155801780556127
92 days,28.92764369100501,5.378442496764747,3.5129335717614265,1.2093339901398552,0.9875683331761468,1.6854338278092327,0.6155887367107453
93 days,28.975863270977214,5.382923301606406,3.5159564912666497,1.2089224061859734,0.9874865447120925,1.6852373227746367,0.6153087000911539
94 days,29.022573889726456,5.387260332462731,3.518756042796616,1.2084475975556854,0.987337687458903,1.6849403562485195,0.6156145251685006
95 days,29.067973049795338,5.391472252529483,3.5213985801800067,1.2079657603781935,0.9873283394467843,1.6846667259699848,0.6156560760861823
96 days,29.113891564352727,5.395729011389724,3.524166347630919,1.2074000997736403,0.9872217975218345,1.6844784790248304,0.6154563219850293
97 days,29.16107995530431,5.400099994935678,3.5271336684368477,1.2068174429014589,0.9873250218721638,1.684317802360091,0.6152932040967399
98 days,29.20833302213351,5.40447342690604,3.530330096798454,1.2061994509664893,0.987337687458903,1.6842270796411318,0.6151569788358797
99 days,29.234900984437523,5.406930828523472,3.532607946008378,1.2058301027763982,0.9872229520999258,1.6842681117592213,0.6149072763185909
100 days,29.25164343460214,5.408478846644604,3.5345706318254475,1.205446786157808,0.9872148313885674,1.684285989195872,0.6146043991324375
101 days,29.268224775781867,5.410011531945368,3.5364874916996647,1.2050216188293537,0.9872090198333917,1.6843749664345966,0.6143233497575594
102 days,29.28579446735046,5.4116351010901,3.5384086106053076,1.2045646146869047,0.9871033859237195,1.6844145437270521,0.6144843918236053
103 days,29.303780505036283,5.4132966392981166,3.540361073436517,1.2041523366616738,0.9871821692942759,1.6844620659581317,0.6144165167220507
104 days,29.322603867828676,5.415034983066008,3.5423337870004343,1.2035727165920191,0.9870030640147809,1.68437866089407,0.6140136851544203
105 days,29.338119469927477,5.416467434585708,3.5440778261901955,1.2030277384660948,0.986929364640436,1.684307617050215,0.6140051386991251
106 days,29.35366156455749,5.417901952283512,3.5459711891486116,1.202478913622782,0.9870849614264043,1.6843898965177648,0.6138575009596392
107 days,29.373462932454892,5.419729046036793,3.548292342445963,1.2017650418173027,0.9868235889604722,1.684486280307479,0.6135460120926074
108 days,29.394326751052624,5.421653507100267,3.5507227443017655,1.2011613009757316,0.9866363135489841,1.6846727359673022,0.6133467741519225
109 days,29.415255381880215,5.423583260343683,3.553225443408109,1.2004755964138538,0.9866363135489841,1.6848798237335278,0.6132585107118782
110 days,29.43691914813415,5.425580074806209,3.555599205973325,1.1997947412815064,0.9865616107501864,1.6849448442352404,0.6132074108255368
111 days,29.459868820264617,5.4276946137623305,3.558036747135177,1.1991690904458185,0.9865616107501864,1.684933967498517,0.612963650783537
112 days,29.481979130040866,5.429731036620586,3.560583599934921,1.1986695213340675,0.9864323428468793,1.6850813971022827,0.6128857923599543
113 days,29.50190205889684,5.431565341491975,3.5629033305700766,1.1984168416309158,0.98628500127062,1.6851536669316598,0.6125129700224771
114 days,29.524215819185024,5.433619035153737,3.565538908189004,1.1980623736716456,0.9862615269515691,1.6853109097514454,0.6121482495450046
115 days,29.549061095968,5.435904809318132,3.568517953743423,1.1979149748601252,0.986396822256131,1.6855243133692623,0.6115205984158003
116 days,29.572831157838557,5.438090764030935,3.571411655565735,1.1979738505790412,0.9864085044595807,1.6858074580991549,0.6110495526086905
117 days,29.597766181728204,5.4403829076387815,3.5744234422522694,1.198137903204976,0.9865736200355832,1.686032205561316,0.6107428824816244
118 days,29.622219443378096,5.442629827884503,3.577315686124794,1.1983481782296914,0.9864783397289392,1.6862575179724724,0.6104604553082907
119 days,29.644866013513692,5.44470991086887,3.5800129553833178,1.1985826732849407,0.9863743871381322,1.686508217034932,0.6100601364484275
120 days,29.67003619616434,5.4470208551247845,3.583015260902614,1.1991325026939113,0.9863743871381322,1.6868397233745893,0.609688402677697
121 days,29.698787522532296,5.449659395093632,3.5862854973835456,1.1994591690255707,0.986520085622071,1.6870678579840728,0.6093188348814477
122 days,29.72704954096294,5.452251786277202,3.58934909873376,1.1997839874764091,0.986520085622071,1.6872166137851479,0.6089759030839516
