horizon,mse,rmse,mae,mdape,smape,coverage
51 days,32.3902371045745,5.691242140743486,3.4835958601952735,0.9979346850861419,1.7170669770494127,0.5344931369608472
52 days,32.45805834835091,5.697197411741224,3.4904986195311865,0.998318031808301,1.7177794239697515,0.5335306486228595
53 days,32.523430426630384,5.7029317396081805,3.4970808517952374,0.9985111081830894,1.7183089113588519,0.532661663592195
54 days,32.58978342972286,5.708746222221028,3.5036452199538433,0.9985484762686767,1.7187290170560252,0.5319037946802058
55 days,32.65496620734068,5.714452397854118,3.5099889760849416,0.9985111081830894,1.7190977237807192,0.5310427545590097
56 days,32.71576863175455,5.719769980668326,3.516038684142796,0.998318031808301,1.7193373696009333,0.5301660600842693
57 days,32.776248476234684,5.725054451813946,3.5221464714439996,0.9985111081830894,1.7195877253749343,0.5294123457714391
58 days,32.83732686040274,5.730386274973332,3.5283406212164734,0.9985484762686767,1.719715959723627,0.5283967731257508
59 days,32.904590932061176,5.736252342083739,3.5350769289584583,0.9985569038743662,1.7200171218646083,0.5275153555223675
60 days,32.97392159078863,5.742292363750615,3.541960956548767,0.9986146302654957,1.7202444286634004,0.5265432837429089
61 days,33.04487787509301,5.748467437073381,3.5488749781664177,0.9986110778393993,1.720361905885617,0.5255388354719949
62 days,33.11503569429728,5.75456650793935,3.555782084708024,0.9986146302654957,1.7204007192713042,0.5244379352869125
63 days,33.1819223785392,5.760375194250735,3.562361592989134,0.9989577648841846,1.7204148392788696,0.523381207685986
64 days,33.24739527419349,5.766055434540452,3.5688379857771464,0.9989512564423544,1.7204687772917748,0.5224318981992717
65 days,33.329129560130596,5.77313862297889,3.5762856485758765,0.9989512564423544,1.7203150790679216,0.521341288107778
66 days,33.40997096762518,5.780135895255853,3.583478320983259,0.9988616051771037,1.7199726476021713,0.5201689702908358
67 days,33.49022895675041,5.787074300261783,3.5906589769631783,0.9987458112607857,1.719696205047419,0.5187913380014886
68 days,33.571007154310344,5.794049288218934,3.597705882581069,0.9988616051771037,1.7194917996329693,0.5176692051438487
69 days,33.65167893684448,5.801006717531405,3.6046096786269315,0.9989224973571422,1.7193138943209687,0.5167347609034958
70 days,33.728459858455196,5.807620843207242,3.611314610141555,0.9988963400380846,1.7191332551358223,0.5158465752057247
71 days,33.80642867744298,5.814329598280698,3.618263678065542,0.9989577648841846,1.718979588028302,0.5148004597979811
72 days,33.917887632264,5.823906561086296,3.626685941950177,0.9989577648841846,1.7189137531173175,0.5137690966469184
73 days,34.02857708810867,5.833401845245077,3.6349158365774072,0.9987706486112677,1.7188064701065353,0.5129282712443907
74 days,34.13932989388002,5.842887119727713,3.6430163230584873,0.9987152307779478,1.7185967668552347,0.5120675736638413
75 days,34.25292806035168,5.852600111091794,3.651349025252765,0.9987794166295664,1.7183611750719618,0.5111599054806951
76 days,34.36681581017886,5.862321708178327,3.6595711695238435,0.9989185906814664,1.7180753247520237,0.5103156682015714
77 days,34.475350410151044,5.871571374866446,3.667486081473838,0.9987706486112677,1.7178455553723675,0.5095887896918236
78 days,34.582351493856414,5.880676108565784,3.6750845812681185,0.9989986146984322,1.717587322132316,0.5089115645201312
79 days,34.695655455748316,5.890301813638102,3.683213281240431,0.9987233076722397,1.7173277757087066,0.5081496576307615
80 days,34.809891662244894,5.8999908188271695,3.691361730166509,0.9987502632934686,1.7171039633180134,0.507267023230318
81 days,34.92233050131705,5.909511866585687,3.699202429547022,0.9987502632934686,1.7168458416214445,0.5062888991432768
82 days,35.036320229040044,5.919148606771082,3.7071315124477686,0.9987098928768781,1.7166992506364473,0.5054325889267063
83 days,35.15129648827271,5.928852881314624,3.715076826520495,0.9986146302654957,1.716681234202759,0.504395173468061
84 days,35.26286881204456,5.938254694103694,3.722760715543754,0.9985263210912116,1.7167623257444187,0.5035732779327082
85 days,35.3693990503111,5.947217757095422,3.730027550149871,0.9985569038743662,1.7168531364605943,0.5029651685934564
86 days,35.47472106814337,5.9560659052887726,3.7371239999206125,0.9985569038743662,1.7168592256758086,0.502515766121498
87 days,35.570615006891266,5.964110579700151,3.743491607807562,0.9985111081830894,1.7167940906230195,0.5019035998063366
88 days,35.66388455488832,5.971924694341709,3.7497515781719697,0.9984808661776828,1.7166793742371105,0.5011752973858536
89 days,35.75872133257368,5.97985964154458,3.756088772964276,0.9983352813868487,1.7165973750669703,0.5006555237944814
90 days,35.85407214333118,5.987826996776976,3.7623926660333025,0.9983049664887795,1.7163674311837973,0.5000971294743664
91 days,35.94588075373012,5.995488366574496,3.768483241780311,0.9981737055782192,1.7162094413509639,0.49943928702889195
92 days,36.0358170888409,6.0029840153744285,3.774701087676387,0.9980473237596673,1.716054794443888,0.4988051779593279
93 days,36.127806551993864,6.010641109897834,3.7812170943528582,0.998020868169648,1.7160028968669523,0.4980649144051096
94 days,36.21225163267607,6.017661641591032,3.787226238803814,0.9979787999344304,1.716175137569125,0.4975020414146514
95 days,36.29138629125125,6.024233253390115,3.7927792128790396,0.998020868169648,1.7164067900879962,0.4968823907727026
96 days,36.37110839125115,6.030846407532789,3.7984470931185546,0.9978886077795023,1.7166980813812807,0.49608543900996294
97 days,36.45243048802803,6.037584822429249,3.8043904552892758,0.9978677935498065,1.717154733161859,0.4953673125906218
98 days,36.52880943182888,6.043906802046908,3.80996620273087,0.9977448983610961,1.7175210843134971,0.49487897750077464
99 days,36.60157248950556,6.049923345754519,3.8154682037720216,0.9972983441076864,1.717811136034135,0.494247863022058
100 days,36.67033366237048,6.055603492829635,3.82070594701596,0.9974150978222962,1.718245470123314,0.49350695939159134
101 days,36.73558491993126,6.060988774113615,3.825668604318574,0.9974320877787528,1.7187741232298253,0.4930047352561343
102 days,36.80135540502692,6.066412070163625,3.8305438815945836,0.9973800530488617,1.719222755129194,0.49242379664929276
103 days,36.86671306238296,6.071796526760672,3.8354208800597642,0.997322387542661,1.7197168800472722,0.49185679437508967
104 days,36.93358802961058,6.077301048130707,3.840436639151431,0.9974150978222962,1.720298986773815,0.49137516168819834
105 days,36.99652201623223,6.082476635074912,3.845287082883336,0.9974236727647852,1.7209027337362732,0.4908523461041756
106 days,37.056588558420195,6.087412303961363,3.8499104996176245,0.9974529004492926,1.7215032871852922,0.49040153583714985
107 days,37.12021375223702,6.092636026568223,3.854928839213167,0.9978426782689028,1.722248947827093,0.48977176416421747
108 days,37.184089192423684,6.097875793456577,3.8598543939586856,0.998020868169648,1.7228560858115851,0.48903055773203224
109 days,37.245387729098375,6.102899944214912,3.864468809184042,0.9980363156322574,1.7233448444487043,0.4885531092990438
110 days,37.30751907881775,6.10798813676138,3.869089308506245,0.9980363156322574,1.7237786616557833,0.48798249390156406
111 days,37.370889296641295,6.113173422751991,3.8737845976971177,0.9982623190212203,1.7242590682561671,0.4875707944362165
112 days,37.4312168252746,6.118105656596215,3.8783656984988295,0.9980473237596673,1.72484589470349,0.48697804563065
113 days,37.490964950124784,6.122986603784527,3.88311348617384,0.9981359884425116,1.7255533429946948,0.48627910193310964
114 days,37.553778569368326,6.128113785608776,3.8881507170345144,0.998112503363883,1.7262583278742036,0.4855789926818769
115 days,37.611597221304784,6.132829462923683,3.8929573918136944,0.9982719093388998,1.7269007332442978,0.48482591455892543
116 days,37.66205132318207,6.136941528414791,3.897504757361656,0.9982623190212203,1.7276395731982137,0.4841976820504213
117 days,37.714416577880016,6.141206443190134,3.902250567765901,0.9983596962181025,1.7283570432151176,0.48354989320938063
118 days,37.76798656528358,6.145566415334194,3.90702743674789,0.9984444119318149,1.7290298771519597,0.4829576530431871
119 days,37.819950938870086,6.149792755765847,3.9118405924535287,0.9984444119318149,1.7298229111978483,0.4822598781617292
120 days,37.86943688953184,6.153814824117788,3.916511150931597,0.9985195664416733,1.7305930800600406,0.4814876336404907
121 days,37.92232885329559,6.1581108185299485,3.9214988747816113,0.9989420885940783,1.7312551833276701,0.4806834081618804
122 days,37.960871608013434,6.161239453877234,3.9259322931039042,0.9988617286617887,1.7318602074785985,0.4799993576504095
123 days,37.98388856773338,6.163107054703284,3.9299863689321173,0.9990130813266902,1.7324363252365942,0.4791055074743073
124 days,38.00907841151576,6.165150315403166,3.93418324512115,0.9990627266008945,1.7330418743964073,0.47812929150394246
125 days,38.03440106912176,6.167203666907861,3.938335743569685,0.9991975029270413,1.7336342117621932,0.4773541626374358
126 days,38.05459874307534,6.1688409562149795,3.9421002916635266,0.9990130813266902,1.7342054705138255,0.4767335864021185
