horizon,mse,rmse,mae,mdape,smape,coverage
51 days,7.812311040758946,2.795051169613706,1.8054225413052916,1.0084020086170529,1.7817861825453356,0.7022134641654403
52 days,7.816414888486344,2.7957852007059385,1.8059847114262435,1.0085776623539358,1.78214674868111,0.702132911454699
53 days,7.820269008929779,2.7964743891067156,1.8066117504938295,1.008805480464852,1.7824393599292538,0.7020422572786239
54 days,7.8249267044547155,2.797307045080092,1.8074064786489346,1.0089733827045941,1.7826217534550695,0.7020220543479555
55 days,7.8295637946950585,2.798135771311867,1.8082021073877073,1.0090256916865803,1.7828002409484887,0.7019736472702091
56 days,7.836196682961942,2.799320753854753,1.8093140442676543,1.0090501761865043,1.7829255004950118,0.7017031268344226
57 days,7.842781319081594,2.800496620080373,1.8103684768295516,1.009098213980848,1.7827294088290726,0.7011969155327631
58 days,7.849682504250358,2.8017284851052855,1.811533247952512,1.0090741950836761,1.782420104211257,0.7008458811663617
59 days,7.857748083282027,2.803167508958754,1.8129256826085192,1.009040685812737,1.782153869573336,0.700277349976404
60 days,7.864975977975067,2.8044564496485,1.8141654309439772,1.00929279588558,1.7818444016094974,0.6998655210050907
61 days,7.872826507347844,2.805855753125567,1.8155332565674285,1.0093488327073312,1.781579798830454,0.6995251793269109
62 days,7.880260459558939,2.80718016157833,1.8168986356218864,1.0093488327073312,1.7812843862419925,0.698964201713177
63 days,7.8889088498220294,2.808720144446938,1.8184642434246905,1.0093488327073312,1.7810178123034237,0.6984090582971341
64 days,7.898468408868029,2.810421393468963,1.820166361823577,1.0093488327073312,1.780580353310148,0.6979743106635806
65 days,7.908988656151587,2.8122924200999417,1.8220731222066686,1.009365964530518,1.7801181453096824,0.6971919998466649
66 days,7.920624895514931,2.814360477180372,1.8240965383736558,1.0093898728697441,1.7796484102121788,0.696188722719629
67 days,7.932345417000723,2.816441978276975,1.8261374429765043,1.0093573986189246,1.7791463983833133,0.6952526657107374
68 days,7.944779387084706,2.818648503642252,1.8282989231158313,1.0093573986189246,1.7786223253578546,0.6947086325773647
69 days,7.957265340765523,2.8208625171683788,1.8304364730115992,1.0093898728697441,1.7780350331162194,0.6941760649146064
70 days,7.969825477064722,2.8230879329317253,1.8326554996387097,1.009365964530518,1.777476400305111,0.6932221577545278
71 days,7.981590718801525,2.825170918511219,1.834753930385087,1.00939847450787,1.7769487394994496,0.6925258998981046
72 days,7.99481035655434,2.82750956789793,1.8371718847530238,1.009424241111056,1.7765640242875838,0.6916679312598135
73 days,8.008119690225172,2.8298621327239903,1.8395767363359756,1.00951265535649,1.7761355325678305,0.6906614183470271
74 days,8.022521370659616,2.83240558018438,1.8422345425182112,1.0095201113812597,1.7757318272211382,0.6895312850021318
75 days,8.037497672175647,2.8350480899229287,1.8450326794833485,1.0095451060254903,1.7753858887135878,0.6884661878762164
