horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,2.176716656183919,1.4753700065352824,1.0112914579308616,1.3104968331412163,0.9983155262593837,1.762461976782424,0.6153861893802
52 days,2.1824007852686065,1.477295090788772,1.0129759580534827,1.3072635554467062,0.9983559946199954,1.7630260465457377,0.6145107290512445
53 days,2.188182997927672,1.4792508231965504,1.014711371383264,1.3049685198179324,0.998354919176382,1.7635720561314614,0.6136145477677575
54 days,2.194098986006651,1.4812491302973483,1.0164671578778988,1.3028888871653423,0.998354919176382,1.7639809743571722,0.6127737950376422
55 days,2.2000029803291574,1.4832407020875464,1.0182095688932018,1.3014986751513726,0.9982598508376261,1.7643398404130088,0.611977265779508
56 days,2.2057602914090797,1.48518022186167,1.0199311465455634,1.3005651243835172,0.9983569495789072,1.7648022111972592,0.6110893698065458
57 days,2.2115135853555743,1.4871158614430735,1.0216464657423379,1.2998907179574883,0.9983603547666877,1.7653772051807617,0.6100006030848832
58 days,2.2173368484494786,1.489072479246554,1.0234398100319857,1.2999083269775644,0.9986498824611545,1.765795440832002,0.6091385625770237
59 days,2.223205394488637,1.4910417145367318,1.0252547871435258,1.2998203706626414,0.9987544748666524,1.7661770759494806,0.6083905361184369
60 days,2.229071359840544,1.4930074882064537,1.0270785501892663,1.2996744405396623,0.9987609223959376,1.7665490186953947,0.6075557406627494
61 days,2.234945622978253,1.4949734522653748,1.0288344686992932,1.2999360848634791,0.9987919454805585,1.76677294086777,0.6069082108336402
62 days,2.240763691491419,1.496918064388101,1.0305827166006059,1.3002536248290402,0.99883198840547,1.7670476354526485,0.6060423386384006
63 days,2.246341667422332,1.498780059722684,1.0322610926814408,1.3004356437707583,0.9988509752848804,1.7673487862530963,0.6052093035390496
64 days,2.2519238141616884,1.5006411343694697,1.0339535210131439,1.3006159741820036,0.998731035479622,1.7675464854897904,0.6044992731787356
65 days,2.2575383714840283,1.5025106893077427,1.0356337188116758,1.3013896595335814,0.9986508160430242,1.7677360109935798,0.6037063053346616
66 days,2.2634278981420874,1.5044693078099292,1.037403789678861,1.3022850659419365,0.9984039607411097,1.7678351149214648,0.6027360634092812
67 days,2.269333302042383,1.506430649596052,1.0391998505605675,1.3033391285444056,0.9986436457222061,1.7679863404797647,0.6021177031685027
68 days,2.2752901516736603,1.5084064941764406,1.0410112373659997,1.3043880302062623,0.9987008589020503,1.7681647737582304,0.6013460432686998
69 days,2.281394616288076,1.510428620057259,1.0429015601919776,1.305584918179843,0.9987208640164548,1.7684763535616899,0.6006204371810592
70 days,2.2874607929209487,1.5124353847093597,1.0448110064994074,1.3067117335022918,0.9987857264146218,1.76877237669184,0.5998427820097699
71 days,2.293302619656479,1.5143654181393866,1.046687156497619,1.3077040671562286,0.998665834915335,1.7689730662476402,0.5987923309675184
72 days,2.2992056579441993,1.5163131793743003,1.0485957423349714,1.3090815015012174,0.9986508160430242,1.7694002397339155,0.597892671656906
73 days,2.304978232027906,1.518215476152152,1.0504093894829252,1.3104202913907679,0.9986492553437547,1.7697499394654375,0.5971290122443585
