horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,2.1912645049798116,1.4802920336811287,1.01255120044206,1.1114262448647858,0.9984151787233256,1.7575390103507849,0.6159490223076617
52 days,2.196929861966292,1.4822043927766144,1.0142224259089618,1.1114154617526206,0.9985631784300933,1.7583755516703203,0.6156793908868207
53 days,2.2026705673084224,1.4841396724393638,1.0159285730011156,1.11155330476967,0.9985823554388347,1.7591717864868242,0.6149777275639979
54 days,2.2085529880478854,1.4861201122546877,1.0176568902909646,1.1116581567212138,0.9986482145136731,1.7597618140926035,0.6144148946365363
55 days,2.2144204760836317,1.488092899009881,1.019362080582772,1.1117047101941584,0.9986482145136731,1.7602050087548227,0.6137100950170631
56 days,2.2201639335215084,1.4900214540473933,1.021059237219912,1.1116419570929001,0.9987327235626005,1.760713856456038,0.613058610208847
57 days,2.225871140284218,1.491935367328028,1.022743853419693,1.1114930698890373,0.9987912977687066,1.761255199163566,0.6122055022137374
58 days,2.2316797822636856,1.4938807791332231,1.0245189748217471,1.1116050425842037,0.9988812233338376,1.7615428785607474,0.6115023054652036
59 days,2.237496174238075,1.4958262513534366,1.0263078623517843,1.1114296762673344,0.9989293837812336,1.7618204212248139,0.6107581641855914
60 days,2.243336907105545,1.4977773222697508,1.0281200785884579,1.1111190455515316,0.9989733844727058,1.7621895887921026,0.6097449095090014
61 days,2.2492205684741036,1.4997401669869697,1.0298771102425792,1.1107078334957179,0.9990232338161688,1.7623069734027914,0.6090973796798923
62 days,2.255051013487866,1.5016827273055604,1.0316278376124637,1.1102484472213454,0.9990372403477288,1.7622653570067333,0.6084078871025098
63 days,2.2606290525163337,1.5035388430354348,1.0333062008964942,1.1098429932460454,0.9990372403477288,1.7622446675261751,0.6074694425964335
64 days,2.2661955446328874,1.5053888350299691,1.034996715320019,1.1094323910525596,0.9990232338161688,1.762252861031213,0.6063625975073879
65 days,2.2717580983094106,1.5072352498231358,1.0366528058200997,1.1088962945402332,0.9990232338161688,1.7620885333289966,0.6054453114437169
66 days,2.2775770134033015,1.509164342741804,1.038397881200457,1.1084036855836201,0.9988896240365195,1.7619291472663197,0.6043317734963988
67 days,2.283411056673857,1.51109597864393,1.0401607767912293,1.107969120472604,0.9989962432374692,1.7617796747465018,0.6031572503512472
68 days,2.289289788067885,1.5130399162176407,1.0419335573583706,1.1075676718865395,0.9989799115368714,1.7615780680282809,0.602368557155997
69 days,2.2953126027140915,1.5150289115109623,1.0437820129569944,1.1071179647026879,0.998895125946115,1.7613435274429976,0.6013593982220385
70 days,2.3012806509690504,1.5169972481745149,1.0456528997679044,1.106719267697826,0.9988896240365195,1.76112640295756,0.6001859165122562
71 days,2.307007698216683,1.5188837013467105,1.0474863387715405,1.1063837688221168,0.9988316856100734,1.7608857022960935,0.5990262187417925
72 days,2.312802623641491,1.5207901313598438,1.0493522493748855,1.1059993305564741,0.9988150948109181,1.7607306637269207,0.5980209375332278
73 days,2.3184838127911807,1.5226568269939162,1.0511189737449722,1.1056165360816153,0.9987802441648509,1.7604755909044785,0.5975021962627917
74 days,2.3241500258404586,1.5245163252128389,1.0528547023231574,1.105113700272647,0.9987309115527035,1.7600862691252082,0.5966324658740507
75 days,2.329939392968367,1.5264138996249894,1.0546340332936257,1.1045060028576508,0.9986592672587239,1.7595291706604266,0.5955281405525601
