horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,30.021211760149818,5.4791615928123365,3.445802172117,1.3047498529995607,1.0081080054619427,1.786594514614362,0.5966684331280404
52 days,30.04417706629738,5.481256887457235,3.448724840095677,1.303196018454377,1.0080135534345362,1.787282879595456,0.59652338644632
53 days,30.06895754808789,5.483516895942593,3.4518730827274986,1.301889905287923,1.0077915614042166,1.7878436368023687,0.5964399846043308
54 days,30.096985806829462,5.486071983380228,3.455261857511534,1.300371916366189,1.0077010740350092,1.788355668268839,0.5962338111067426
55 days,30.12379597978169,5.488514915692741,3.4584766033129437,1.299341151783427,1.0077266630389787,1.7887880743958182,0.5962055562834165
56 days,30.148313531848743,5.490747993839158,3.4616588666966277,1.2984987146871088,1.0075594851230771,1.7892885235902034,0.5961830965705266
57 days,30.17622600278522,5.493289178878645,3.4651472042739644,1.2974412778419975,1.0074691692554865,1.7899204075557262,0.5959227302692462
58 days,30.20647080040035,5.496041375426531,3.469048606864929,1.297371898041411,1.0072837285244265,1.790794411889907,0.5958727484740312
59 days,30.23833565284896,5.498939502563104,3.472851659965476,1.2973991817729569,1.0074544047185254,1.7916959969024515,0.5953987566391233
60 days,30.269875559337212,5.50180657233033,3.476620250408226,1.2974547640516967,1.0073563318321146,1.7925949405343315,0.5951565804830365
61 days,30.304629897159177,5.5049641140664285,3.480683327895358,1.297439064828612,1.007443170686928,1.79340674096356,0.594566033278889
62 days,30.340135960362463,5.50818808324139,3.4849678488955185,1.2971736494243629,1.0074691692554865,1.7941519288333851,0.5939663437043137
63 days,30.37296479287585,5.511167280429424,3.4890168945846143,1.296552765121698,1.0074084377644597,1.794859606645107,0.5934246468125073
64 days,30.402779753281532,5.513871575697201,3.4927850502700912,1.2959161068404763,1.0073563318321146,1.7953770764216541,0.5927718717051289
65 days,30.43332583615008,5.5166408108694265,3.4964784686483856,1.2947551936288226,1.0071712368597048,1.7958301427605554,0.5921789793168611
66 days,30.465039754618825,5.51951444917203,3.500112212366872,1.2936340886370141,1.007122382543998,1.7962318911971409,0.5918530780197194
67 days,30.496156264858676,5.522332502200377,3.5036524263798374,1.2925784388667154,1.0070026493892756,1.7965663577813449,0.5913222069782831
68 days,30.52941030963878,5.525342551339127,3.5073220598169725,1.2917041505684859,1.006740258985669,1.796844240562303,0.590673393269887
69 days,30.56372544674747,5.5284469289980045,3.5111963711654215,1.2906064242762472,1.0065451690219243,1.797112164879474,0.5901426275102789
70 days,30.59485455158442,5.53126156962265,3.5148688732474707,1.2899236769925557,1.0064578070509786,1.7973253520930996,0.5896329708585225
71 days,30.624482195235192,5.53393912102719,3.518459835484725,1.289720911998397,1.006420926031807,1.797553334183102,0.588978886901404
72 days,30.658258037410945,5.536989979890784,3.52232887072117,1.2892624737583218,1.006175983207291,1.7977974896082838,0.5885243591609708
73 days,30.692034813357225,5.540039242943792,3.526122531693165,1.2886422035033045,1.0058796244261268,1.7980398884566995,0.5879408397517888
74 days,30.727283305270973,5.543219579384437,3.530084498992763,1.287897831054467,1.0057531392973629,1.79826406586704,0.5874432610605446
75 days,30.764298688186447,5.546557372657967,3.5341352771337955,1.2871380422545171,1.0055678136097232,1.798354304466937,0.5866878602154867
76 days,30.801685884327167,5.5499266557610625,3.5381716141638675,1.2857549544205984,1.00543701822262,1.7985006994766184,0.5860176034869222
77 days,30.83450290252979,5.552882395885023,3.541824501120425,1.284644267598579,1.0053907540629028,1.7986275800727711,0.5855891827367992
78 days,30.865442459654922,5.555667598016904,3.5453051312408235,1.2816379183799238,1.0051036198952032,1.7987827895749557,0.5852900389709352
79 days,30.898874775507288,5.558675631434819,3.5489297884741697,1.2797116133130735,1.0050149342101404,1.7989240963819797,0.5849822079486647
80 days,30.931526573924778,5.561611868327812,3.5524808494053213,1.2776896755235103,1.0044749718613812,1.7990730089227738,0.5849321403832595
81 days,30.963736949214766,5.564506891829209,3.555894889649228,1.2756819968329074,1.004289486797835,1.799296346294369,0.5847592266264475
82 days,30.997230038452724,5.567515607382949,3.5593393156136948,1.2727511272424115,1.003998112530621,1.7994845356157563,0.5846503167676793
83 days,31.032038431090253,5.570640755881701,3.5629549742755993,1.2699586423545381,1.0037770178551746,1.7995968397509852,0.5840263197564459
84 days,31.063224894311542,5.573439233930118,3.5663192670478314,1.266067840938114,1.0037218675718895,1.799617607268486,0.5836858260495237
