horizon,mse,rmse,mae,mdape,smape,coverage
51 days,6.2669831139595,2.5033943185122673,1.5905261538051796,1.0168953429970755,1.7295665172274457,0.7153142876679758
52 days,6.270862331460332,2.504168990196215,1.5916932774327488,1.017101323255464,1.7294628117513895,0.7147087177717929
53 days,6.274777922542761,2.5049506826567987,1.5928732648054842,1.017315902387349,1.7292824681734127,0.7145755856389281
54 days,6.279201581279705,2.505833510287486,1.5941872751700614,1.0174080923313285,1.7291309395033316,0.7142259195312091
55 days,6.282977994239595,2.5065869213413676,1.5953496133310967,1.017717417717701,1.7289365406001425,0.7140566608645741
56 days,6.286594505648323,2.507308219116334,1.5965706499573313,1.01784393824405,1.7288556836469016,0.7137319818938416
57 days,6.290600224636542,2.5081069005599703,1.5978529795054086,1.0180639703895302,1.728872908377827,0.7136334616448413
58 days,6.295341003447399,2.509051813623505,1.5993131919350712,1.0182374362082134,1.728965707996296,0.7130694312564203
59 days,6.299696353922385,2.5099195911268524,1.6005787649839072,1.0182888191794741,1.7290029111986829,0.7128702510809863
60 days,6.303424512906329,2.51066216622355,1.601689084753402,1.0184920698251887,1.7289609536703223,0.7124247505585591
61 days,6.307775516218826,2.511528521880416,1.6028799092435426,1.018863009092033,1.7290142556795702,0.7121027987275261
62 days,6.306832308479576,2.5113407392226916,1.6034914802594415,1.0190977206545544,1.7291974294746324,0.7118273263999367
63 days,6.305331550655614,2.5110419253082203,1.6040634363588213,1.0193502691454883,1.7294962307675403,0.7118258782399979
64 days,6.303172802458165,2.5106120374239755,1.6044521535696747,1.0193502691454883,1.7297738740075643,0.7117280253545203
65 days,6.301379468236087,2.510254861211524,1.6048698381105568,1.0198014280303325,1.7303100600864039,0.7116984811022304
66 days,6.300347425972842,2.510049287558482,1.6053474046106957,1.0204954264825377,1.7307696593635646,0.711829417223862
67 days,6.299254079030418,2.509831484189809,1.6057645607630182,1.0211341434302317,1.7312261309903192,0.7117894147875845
68 days,6.297749193345389,2.509531668129611,1.6059676338510667,1.021348769473158,1.73158844840246,0.712143500868698
69 days,6.296272485891411,2.5092374311514267,1.606134972915536,1.0221473108367687,1.7319833457928182,0.71207819259402
70 days,6.294018111482988,2.5087881758895048,1.6061649930148019,1.0223873291731471,1.7325134169671774,0.7122349285968294
71 days,6.29183722931083,2.5083534897041186,1.6062501918881733,1.0224691269500914,1.7331482111934902,0.7123307292273725
72 days,6.2893814911138275,2.507863929943933,1.6062351136651818,1.0231761183199222,1.7338764022464754,0.7125837857479835
73 days,6.286937245948795,2.5073765664432606,1.606259325223566,1.0231761183199222,1.734493823808333,0.7126539835716447
74 days,6.284009680416159,2.5067927079070897,1.606229159356145,1.0237980966395268,1.7351443711573753,0.7128818684183088
75 days,6.281659393458021,2.506323880398944,1.606294268452629,1.0240216169634724,1.735805116438963,0.71293167790348
76 days,6.2794301191256165,2.505879111035809,1.6063717841407432,1.0242511931866658,1.7364656670885112,0.7131714819574878
77 days,6.276459701159313,2.5052863511302084,1.6063312725449397,1.0244349647753592,1.736994625296658,0.713452536179894
