horizon,mse,rmse,mae,mdape,smape,coverage
51 days,9.525270794934313,3.086303743142323,2.024931195253375,1.0043580223371384,1.757122139425303,0.5836616309566917
52 days,9.541220927209224,3.0888866808624145,2.0266098433523583,1.0042934852757806,1.75751999890387,0.5834759194017032
53 days,9.556910281869095,3.0914252832421965,2.0282578200119743,1.0042882929483,1.7578734740137723,0.583413497526177
54 days,9.573049098123688,3.0940344371263366,2.029948537640244,1.0042934852757806,1.758420158549079,0.5833215482904436
55 days,9.589366083156488,3.0966701605363927,2.03158097218905,1.0042868394840763,1.7588741954493021,0.5835797662942098
56 days,9.60582963143661,3.0993272869183417,2.0333435482702393,1.0043352875523108,1.7592170724049563,0.5833848602251529
57 days,9.62249116373402,3.102014049570701,2.0350841974156832,1.0043957261092464,1.7594732541604678,0.5833094178983116
58 days,9.639426731967864,3.1047426192790706,2.0369379141755815,1.004445547995263,1.7597107982676852,0.5831508594274905
59 days,9.656176409198848,3.1074388826168162,2.038608035586312,1.0046472109759508,1.759978645876937,0.5831244402104627
60 days,9.672610862891398,3.110082131213161,2.0402979215018293,1.004831708628888,1.7602388166866196,0.5832448807586771
61 days,9.689698695642265,3.112828086425954,2.0421202286284896,1.004831708628888,1.7604904406605644,0.5831731344536117
62 days,9.706620421482338,3.115544963803658,2.0440457467021176,1.0050953631137851,1.760660935248865,0.5830752026053266
63 days,9.723040826090337,3.1181790882004092,2.0459962038027535,1.0049728314214645,1.7608371997012036,0.5829491644816656
64 days,9.740629186404416,3.1209981074016073,2.0481397233397214,1.005119799165905,1.7608644692964117,0.5825490630348479
65 days,9.758587218582987,3.123873752023757,2.0502862503862302,1.005175044087348,1.7609142435967031,0.5822471667979857
66 days,9.777789844511766,3.126945769358939,2.052542070319575,1.0052243178562466,1.760948958252279,0.5819175051693471
67 days,9.796823194259119,3.129987730688272,2.054775285156353,1.0052253763664831,1.760986298828665,0.5817288485182581
68 days,9.81665362763201,3.1331539425364996,2.0571765868315226,1.005175044087348,1.761071915560123,0.581506899516977
69 days,9.837025770049095,3.13640331750384,2.059722744549434,1.0051323778220618,1.7612040401504987,0.5811714902458697
70 days,9.857159943722205,3.1396114319645045,2.062298426026976,1.0050780377100668,1.7613060505693834,0.5808393693811725
71 days,9.87668102616097,3.1427187316336425,2.0648050327109053,1.0050953631137851,1.7612569246190042,0.5804884757821254
72 days,9.897397837022393,3.1460130064928835,2.067538626012343,1.0050953631137851,1.7613139103003586,0.5801604949359497
73 days,9.918674121443603,3.149392659139791,2.0704251628371493,1.0050780377100668,1.7613482711419948,0.5796136229200023
74 days,9.940190200369154,3.152806717889499,2.0733747342571625,1.0049656063817314,1.76144431344616,0.5788860947402216
75 days,9.962468520653701,3.1563378337329007,2.0764193055138245,1.0051040377568485,1.7615328964512984,0.5782858001158264
76 days,9.984468193197705,3.1598209115704177,2.079327476307159,1.0048986743718875,1.7615228097272186,0.5777362149964801
77 days,10.005247950451874,3.1631073251554196,2.0820777481928556,1.0049095436667812,1.7614998492176288,0.5774407781042754
78 days,10.025243091101254,3.166266427687546,2.084673101064895,1.0048344036015724,1.7614215325182685,0.5768752593356966
79 days,10.045762300437012,3.1695050560674316,2.0873672395234046,1.0048915724336303,1.7614759850130142,0.57637265134083
80 days,10.066067026288376,3.1727065774017578,2.090120884297661,1.0046365054200677,1.7616876202532143,0.5758203596399678
81 days,10.086040013579458,3.1758526435556576,2.0928073923345436,1.0047118494693899,1.7620560420881446,0.575216968052764
82 days,10.106548150246008,3.1790797646875752,2.0955798027745165,1.0046365054200677,1.7625188055665595,0.5743905951433429
83 days,10.12746300045981,3.1823675149894,2.0984379536451576,1.0046241216125793,1.7631213976342175,0.5738209906377547
84 days,10.147189461191878,3.185465344528469,2.101162354169379,1.004537245603649,1.7638167418075348,0.5732649351891711
85 days,10.166489947183138,3.1884933663382675,2.103822819531651,1.0046116484274825,1.7644926927567528,0.5726284997044674
86 days,10.185946704169922,3.191542997386988,2.106412970291631,1.0045200735775044,1.765186792021675,0.571913024896484
87 days,10.204794155409116,3.194494350505118,2.108808361458968,1.0042055317823984,1.7657918311177059,0.5712642111880879
88 days,10.223621064508775,3.197439767143202,2.111173705968409,1.004137518766948,1.7664251974095004,0.5708755423556119
89 days,10.242855775801987,3.2004461838628044,2.113671972288418,1.0040247056189489,1.7672359471401455,0.5701216899919582
90 days,10.262312992675422,3.203484507949964,2.116197240446349,1.0039546636475634,1.7680793116273672,0.5695978010923051
91 days,10.281804692765688,3.20652533013006,2.118795026844251,1.0039148739595378,1.768864954833346,0.5690620574344769
92 days,10.300965356462912,3.2095117006272016,2.121326479186423,1.0038310622632816,1.7695818768198792,0.568402202015838
93 days,10.321267372862057,3.212672932755847,2.123995112109784,1.0038275745586318,1.7703592126892678,0.5679034903803174
94 days,10.341294625887693,3.2157883366116766,2.126543197091206,1.0038032834744683,1.7711019860801793,0.5672030606251116
95 days,10.36136140956383,3.2189068656243895,2.1290166020011108,1.0038386983479957,1.7718767593862057,0.566686642076782
96 days,10.381753136391714,3.222072801224658,2.1315971046935056,1.0038348803056385,1.7727588415230235,0.5660520227812584
97 days,10.402351745562294,3.225267701379576,2.134215849445234,1.0038689385959754,1.773679698854496,0.565388080167301
98 days,10.42194963472146,3.228304451987368,2.136754111078261,1.0038386983479957,1.7746721200121465,0.56478067466482
99 days,10.43262885333596,3.2299580265594723,2.138630318961475,1.0038275745586318,1.7755141870713755,0.564116072570999
100 days,10.438775569456432,3.2309094028549348,2.14023092153096,1.0037748431375038,1.7763666837270637,0.5636090352857619
101 days,10.445583664091547,3.231962819107229,2.1419702832619425,1.0037475983694888,1.777285592980906,0.5630022886555155
102 days,10.453141340337838,3.233131816109241,2.1438316091664076,1.0038143052138995,1.7782142677524808,0.5623377320528424
103 days,10.461017110112845,3.234349565231446,2.1457831839179713,1.0038310622632816,1.7791753740846317,0.5615593620669542
