horizon,mse,rmse,mae,mdape,smape,coverage
51 days,10.790707218947322,3.2849211891531467,2.0217863067804247,1.0117920831026168,1.751723884335383,0.6492009740920724
52 days,10.826988786814761,3.290438996063407,2.026015794899919,1.011862288481114,1.752801703255063,0.6485695030027254
53 days,10.863713225863618,3.296014749036117,2.0303150590107735,1.0117411579196824,1.7537966442674737,0.6477950573271108
54 days,10.901267994253761,3.301706830452056,2.0346852181298756,1.0117920831026168,1.7548564422121788,0.6469229641532667
55 days,10.938504153344619,3.307340949062346,2.0389597670267268,1.0119157297430101,1.7558499353266521,0.6460754771129287
56 days,10.975408475680364,3.3129154042444795,2.043252887441789,1.012096645291678,1.756856496029821,0.6453274892706662
57 days,11.012195115885456,3.318462763974527,2.0473571934622914,1.012319761791983,1.7574598514626423,0.6444159538827229
58 days,11.049573665546282,3.324089900340585,2.051518301282104,1.012154185306847,1.7581777070381959,0.6435806741873371
59 days,11.08780864844078,3.3298361293674468,2.055814943243244,1.0123418490765794,1.7589279277537104,0.6427096170612195
60 days,11.124977905434223,3.335412703914498,2.0599513206695166,1.012096645291678,1.7595867011738917,0.6420877294133431
61 days,11.162798907524913,3.341077506961626,2.0641410565459015,1.0120821977276693,1.7602616580195203,0.6414420126677555
62 days,11.200760812435771,3.3467537723047047,2.068418450802013,1.0120821977276693,1.7610054396737493,0.6407717094960914
63 days,11.237747251791687,3.352274936784226,2.072629984606944,1.0120677501636608,1.7617870067917951,0.639953038782139
64 days,11.274379129540847,3.3577342255665275,2.0767920724502096,1.0119241516436799,1.762624665137001,0.6389835108274533
65 days,11.311526173432917,3.363261240735384,2.0809308048763615,1.0120414882969304,1.7635375590744102,0.6381377974557776
66 days,11.348666318441127,3.3687781640293752,2.08488727722825,1.0119717733441709,1.764397478694212,0.637525278958925
67 days,11.384383007134927,3.3740751335936383,2.088589579748935,1.0117352100548893,1.765223410826242,0.63705505677249
68 days,11.419921636231885,3.3793374552169078,2.0922040091036314,1.0117352100548893,1.7659923899891932,0.6364315349270304
69 days,11.45510873183041,3.384539663208338,2.0957126591388606,1.0116969169739949,1.7667798842208275,0.6360688101458082
70 days,11.489124235255105,3.389561068229204,2.099127231626952,1.011521034154358,1.7675951447944696,0.635793919656616
71 days,11.522180989333037,3.394433824562358,2.102355370875919,1.0115399008996548,1.7685765471489012,0.6356569811744948
72 days,11.554272821340902,3.399157663501489,2.105268668404119,1.0114005378615647,1.7694178773344693,0.6356348412445249
73 days,11.586590975553724,3.4039081914108267,2.1082008014602,1.0114005378615647,1.7702178821388144,0.6354699279749683
74 days,11.620032469123776,3.4088168723361743,2.111303591923016,1.0111825688769331,1.7709797805303278,0.6349289918044041
75 days,11.654116346992678,3.4138125822887053,2.1144341278157297,1.0109146855768296,1.7717197201107744,0.6346894933472078
76 days,11.688365101698517,3.418825105456335,2.1175111283021777,1.0108411877218328,1.7724306402498344,0.6344562018593949
77 days,11.721322512416146,3.4236417032768114,2.120456137827453,1.0107292085029478,1.7731358324475908,0.634090204861696
78 days,11.753283789185135,3.4283062566207727,2.1232759721905525,1.010688999103328,1.7738809803155482,0.6338001246365416
79 days,11.79100119850894,3.433802731449339,2.1266939210617757,1.010688999103328,1.774645153807939,0.6331977895944114
80 days,11.828908697400228,3.439318057028199,2.1301005282048378,1.0104851105751858,1.7753362160822759,0.632660982707592
81 days,11.866493294293383,3.4447776843061124,2.133412101804705,1.01030321413096,1.7760443806535353,0.63248806895078
82 days,11.904800023919142,3.4503333206980367,2.136826152511086,1.0103347426286353,1.776695335163944,0.6322630229866903
83 days,11.94357375813636,3.455947591925601,2.1403257744946838,1.0102269418558993,1.777276711618312,0.6322027980540952
84 days,11.981352028349528,3.461408965775285,2.143803021506747,1.010187011773361,1.7779096452288925,0.6317548106417448
85 days,12.024913751444922,3.4676957408984026,2.147851659289478,1.0102723912667804,1.7785431529350813,0.6312700960882465
86 days,12.065896249411455,3.473599897715834,2.151846035055612,1.0102269418558993,1.7792714842158628,0.6305839529839753
87 days,12.104956554857184,3.479217807906999,2.155750121688274,1.0104851105751858,1.7800286750353613,0.6300254673574959
88 days,12.14434972389484,3.4848744201039494,2.159766246703441,1.0106054393084347,1.7808190912764343,0.6294293020168453
89 days,12.184236972153005,3.4905926391019912,2.163807259055119,1.0106054393084347,1.7815587274648468,0.6287293884221078
90 days,12.224198461372215,3.4963121229907683,2.1677979898176107,1.0108166471343445,1.7822633268808392,0.6279065671439221
91 days,12.262970000466028,3.501852367028917,2.171675022886272,1.0108454307456147,1.7828713513214263,0.6272997810177993
92 days,12.30196814987088,3.507416164339624,2.175582629926252,1.0108454307456147,1.783338236550745,0.6268539426537223
93 days,12.341642840242859,3.513067440320903,2.179595223459784,1.0109170500653362,1.7837516784213512,0.6260959377138839
