horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,58.86259361904699,7.67219614054848,5.14656492023716,1.12135195896591,0.993337021926974,1.7238566539553033,0.5247851107509118
52 days,58.99492964277927,7.680815688634851,5.15266851191691,1.119317692129728,0.9935515366256916,1.7244285053454391,0.5245214366044987
53 days,59.12591816464999,7.689337953598475,5.15854393125714,1.1173767292169339,0.9935827619801798,1.7249427678385598,0.5242067371075516
54 days,59.26209838238479,7.698187993442664,5.164734136098442,1.1152999308513154,0.9935905781289375,1.7253825931273765,0.523879346025954
55 days,59.39845266824492,7.707039163533874,5.170985565002155,1.1133909433535996,0.9936096023282057,1.7257429957109027,0.5234797581837578
56 days,59.53172978210372,7.71568077243374,5.177089597961067,1.1114984063585582,0.9936096023282057,1.7260830426214806,0.523095266048344
57 days,59.666340751209376,7.724399054373704,5.183079162266818,1.1097035845948253,0.993824858615096,1.7264555277905484,0.5227207030721975
58 days,59.8058459391801,7.733423946686235,5.189244277865572,1.107259937994093,0.9941592942216582,1.7268146624219398,0.5223851061923018
59 days,59.94966597935627,7.742716963660513,5.195651905198962,1.1044354606734568,0.9943546444035617,1.7272609392694702,0.5221846309572097
60 days,60.100637347974306,7.7524600836105115,5.202567916139945,1.1019534299225917,0.9946583006574452,1.7275966343601257,0.521679298678573
61 days,60.257309744517435,7.762558195886034,5.209537590815122,1.099415866875719,0.994842196891758,1.7279334050325938,0.5213039903896213
62 days,60.40850885324585,7.772291094217062,5.216133366413342,1.0969532553942711,0.9949669698637038,1.7281957530975667,0.520649678389389
63 days,60.556074401279794,7.781778357244557,5.222691789899268,1.0962602780535382,0.9951399166675406,1.7284568993715672,0.5200806167573279
64 days,60.70465712672317,7.79131934441935,5.229440138808514,1.0962653464005059,0.9952716662215036,1.7287077292125788,0.5197640274424418
65 days,60.85726832401418,7.801106865311754,5.236198333624043,1.0963632797592977,0.9954527399586871,1.7290505364779696,0.5193937773937494
66 days,61.00066145203527,7.810292020919273,5.242221292268631,1.096420187908932,0.9957107406111033,1.7293367327483355,0.5192068471783056
67 days,61.143282427876954,7.8194170132994545,5.248295440625874,1.096397988765091,0.9959583563582847,1.7295974167134982,0.5188135329016167
68 days,61.28548196640454,7.828504452729431,5.254081963850609,1.0963850568235545,0.9960857258156708,1.729694803401918,0.5184935134113975
69 days,61.43016672201775,7.837739898849525,5.260201711072973,1.0964856052621295,0.9961823724745223,1.729837583338226,0.517808106348227
70 days,61.56843285108418,7.846555476837221,5.265976899949802,1.0966108065421771,0.9965554025712118,1.7299903964318506,0.5176527104506292
71 days,61.702869798509305,7.855117427416939,5.271647486260358,1.0965958453992073,0.9963213322451435,1.7301800920902697,0.5174120771047439
72 days,61.83938576675216,7.863802246162613,5.2770330673548145,1.0965463049719033,0.9965685154343045,1.730225287466105,0.517330345796544
73 days,61.9814886535591,7.872832314584065,5.28284506750251,1.0964642737427268,0.9966566377798287,1.7302268987018743,0.5169032230091949
74 days,62.1371898088417,7.882714621806481,5.289665086945396,1.0963851064883634,0.9966566377798287,1.7302680367740721,0.5164771325427819
75 days,62.298644179074735,7.892949016627102,5.297015808706754,1.0962722962459517,0.9966683217158776,1.7302688273921,0.5157516690048736
76 days,62.46298358788174,7.903352680216273,5.3046032175847335,1.0961117810648586,0.9966968285354174,1.7301750939706215,0.5151534930608114
77 days,62.62115213159241,7.913352774367664,5.31189960866752,1.0962427817140743,0.9967052629482483,1.7301376690090884,0.5144264662761172
78 days,62.77413690493538,7.923013120330888,5.318630252732221,1.0964042629452502,0.9968422848936842,1.7299499427442144,0.5138928819895018
79 days,62.93095564656726,7.932903355428406,5.325671691719758,1.0962666644700847,0.9969024490513955,1.729753018481718,0.5134686912544868
80 days,63.085764558849846,7.942654755108637,5.332719956202081,1.0961098025647793,0.9969152945586056,1.7296756068102919,0.5130247932519245
81 days,63.242648138755364,7.952524639305141,5.340209359839965,1.096063971008241,0.9969381063196955,1.729799737957242,0.5122944261895692
82 days,63.40081441469868,7.9624628360011,5.3476665006229736,1.096036191461079,0.9969381063196955,1.7298433454746875,0.5116528387277264
83 days,63.55967888810632,7.972432432332451,5.3550036825463385,1.0959635050758958,0.9970341701049572,1.7297834100023992,0.5110453048130116
84 days,63.71300222673345,7.982042484648491,5.362148965009559,1.0958277176714684,0.9970495980910381,1.729733651014129,0.5106808412410239
85 days,63.85994720648186,7.991241906392389,5.3689202491227,1.095754859868227,0.9971577745011686,1.7296615616285733,0.5099691102370322
86 days,64.00628789034084,8.00039298349405,5.375589470142429,1.0956196332112362,0.9971577745011686,1.7294461783487094,0.5091120388235257
87 days,64.1195456280195,8.007468115953975,5.3814281319317345,1.0955608201451374,0.99719323296511,1.7293173158558557,0.5083870914460855
88 days,64.21947813627033,8.013705643225881,5.387009148353061,1.0954814446881174,0.9971842048001278,1.7292269902218311,0.5079682272262259
89 days,64.3226965854536,8.020143177366199,5.392742219917615,1.0954490019780212,0.9972778164746132,1.7292094512698981,0.5073266397643831
90 days,64.42702299078236,8.026644566117424,5.398497051801955,1.0954118872769143,0.9974546186542401,1.7291459498296842,0.5068407641266403
91 days,64.52602540512977,8.032809309645646,5.404085959162493,1.0952471756810807,0.9974236997042296,1.7290545257975138,0.506064902331443
92 days,64.62471222086523,8.03894969637609,5.409806161762531,1.0951797630821603,0.9974768987423179,1.729171860862197,0.5056687351359528
93 days,64.72540842675038,8.045210278591254,5.415673971003856,1.0950269966474593,0.9974236997042296,1.7291992663984095,0.505047533217507
94 days,64.8234496222028,8.0513011136215,5.42127344825098,1.0947084737837767,0.9974714001933371,1.72922376209679,0.5045331793110497
95 days,64.91838448542693,8.057194579096803,5.426538544917377,1.0941853321055104,0.9975495872015047,1.7292240946215982,0.5038918499294408
96 days,65.01729382292417,8.06333019433808,5.432057289998079,1.0936602492416587,0.9976021737079507,1.729233266380314,0.5032399392582361
97 days,65.11894269022079,8.06963088934189,5.437824173697977,1.0931910810084824,0.9975906557241219,1.7292053296578047,0.5025419430971507
98 days,65.21895784174437,8.075825520759123,5.44377998752586,1.092559038225733,0.9975828728469749,1.7291962505011778,0.5017676625885651
99 days,65.2762232523196,8.079370226219343,5.448470816856928,1.0919603687223054,0.9975893287888782,1.7292564648936257,0.5010811158026806
100 days,65.3122939009538,8.081602186506943,5.45265503760629,1.0915092684939611,0.9976206816679016,1.7294057409872854,0.5006650727631412
101 days,65.34813249856589,8.083819177750446,5.456735981637743,1.0910182442563146,0.9978376311596872,1.729608652922807,0.5001638809486204
102 days,65.38683821261594,8.086212847348005,5.460952626556185,1.0904955973486394,0.9978845787165609,1.7297779931272417,0.49934137924271
103 days,65.42558319968859,8.08860823625972,5.465139684137134,1.0899082936881608,0.9978533443767905,1.7299417401783528,0.4983906116604779
104 days,65.46523797557023,8.091059138059135,5.469469676103652,1.0894572779105385,0.9981458605963418,1.7302331108682303,0.4977087804526803
105 days,65.49917400948054,8.093155998093732,5.473622034863207,1.0889393425324727,0.9981084435151216,1.730513151313764,0.497012650225325
106 days,65.52942950223228,8.095024984657693,5.4775866295194335,1.088315479256163,0.9983117388643332,1.730585750901375,0.49633731227462724
107 days,65.56073969405803,8.096958669405323,5.481425182697289,1.0880369178604674,0.9982565627937725,1.7305915738130389,0.4953504265033948
108 days,65.59302350621589,8.09895200048845,5.485391392445,1.0877804985199617,0.9981337940416095,1.73061917922226,0.4943485590348212
109 days,65.62546269987719,8.100954431415918,5.489492199752454,1.0873535263025587,0.9980862420669989,1.730597650468285,0.49352270228586825
110 days,65.65800501309674,8.102962730575573,5.493374036106202,1.08695253023858,0.9979539578705003,1.7305533919617153,0.492932988951069
111 days,65.6888222395082,8.104864109873045,5.49713023095211,1.0866634382213034,0.9978533443767905,1.7306167881830385,0.4922993162603028
112 days,65.71508716839645,8.106484266832105,5.50094049986009,1.0864745513520322,0.9978845787165609,1.7307725793067565,0.4916415554598938
113 days,65.73731741830116,8.107855290907773,5.504583982928176,1.0862032574398965,0.9978845787165609,1.7307485436277483,0.4910837732650993
114 days,65.75997760248039,8.109252592099988,5.5081230775529715,1.0858831561179318,0.9978527815057152,1.7307090873639628,0.49034934772801647
115 days,65.81039174126208,8.112360429693819,5.5129917544213685,1.0855728480129003,0.9978533443767905,1.7306821637342116,0.48952503946046777
116 days,65.86764933228027,8.115888696395501,5.518482667428032,1.0851768550061198,0.9978845787165609,1.7305596397948269,0.4888617099035284
117 days,65.93273014545237,8.119897175793076,5.524372825491487,1.0848513780951292,0.9978527815057152,1.7303239663123986,0.4878924872553179
118 days,66.00211080930687,8.12416831492965,5.530398557587516,1.084508241865117,0.9979206648481176,1.730111479705482,0.4872676303547179
119 days,66.06896117556653,8.128281563502,5.536399850814609,1.0843417963568696,0.9980485586721007,1.7299627638877304,0.48638359488122723
120 days,66.13090859120143,8.132091280304312,5.542048661879855,1.0840739264954546,0.9982815383479879,1.7297952199514837,0.4857279442500016
121 days,66.20228657473267,8.136478757714093,5.548429281607377,1.0837928543380475,0.9981639275730643,1.7295671332567621,0.48456211183824394
122 days,66.27668038142387,8.14104909587357,5.555019857148016,1.0836734771746004,0.9983714966964208,1.7293660280315482,0.48345405879467246
123 days,66.35357465738177,8.145770353832827,5.5620530408416675,1.083612868910119,0.998483659303684,1.7292710597401824,0.4825819656208283
124 days,66.4311105239915,8.150528235887016,5.56896604171514,1.083639974419012,0.9986319651994469,1.7291510332667892,0.4818362702696262
125 days,66.5078699558694,8.15523573882873,5.57573705724734,1.083640123550378,0.9987221664001777,1.728961186702822,0.4808078633950352
126 days,66.57590005228998,8.159405618811334,5.581888778033755,1.0837164757414013,0.9988122991574102,1.728823745774113,0.4800446131569679
127 days,66.63918598208525,8.163282794445214,5.587702332406053,1.0836485763610353,0.9987749287076616,1.72862455508665,0.4793316051832026
128 days,66.7178435576935,8.168099139805632,5.594590227174318,1.0836366854614983,0.9987749287076616,1.7284544990993314,0.4785328320934432
129 days,66.8044061611752,8.173396243984211,5.602246369037372,1.083768894396704,0.9987532414699407,1.7284881258010139,0.47752864283446084
130 days,66.89214892863484,8.178762065779566,5.610112511589591,1.0839113871300927,0.998839804971294,1.7285976513976944,0.47634495830684936
131 days,66.9856399432393,8.184475544788395,5.618224545870058,1.0840313380465634,0.998839804971294,1.7286679722847198,0.4752835274109737
