horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,30.538556974146633,5.526170190479717,3.8189120292690126,1.102209784958781,0.9971826624763436,1.7164488569469085,0.5926936360250371
52 days,30.68090367185011,5.539034543298147,3.829074025473262,1.1030108220870205,0.9971826624763436,1.7173576353128621,0.5912343628021568
53 days,30.823280613364883,5.551871811683415,3.839211355050304,1.1036234639832807,0.9971218526223208,1.718212792083812,0.5899494046092727
54 days,30.967459116554018,5.564841337949719,3.8494136959613106,1.1041651912428991,0.9971062728183039,1.7189562662493059,0.5887095144924945
55 days,31.109829114573564,5.577618588122853,3.859345037797056,1.1045105484163549,0.9972011444846423,1.7196406664022155,0.5875850817595937
56 days,31.250088900187095,5.5901778952182815,3.8693422329962583,1.10489386283499,0.9973056122000167,1.720520432187876,0.5864010748900977
57 days,31.389906979746495,5.6026696297164,3.8794345713636704,1.105208801792015,0.9976478855606856,1.721233841961313,0.5848509236556926
58 days,31.529222478363597,5.615088821947841,3.8895392836742335,1.1055916919255875,0.9978811453032008,1.7220071505286536,0.5835173613107661
59 days,31.667632633587566,5.627400166470087,3.8995073214578544,1.1058880014425703,0.9980589762450122,1.7228847992929848,0.5827183095016455
60 days,31.805640124857455,5.6396489363130975,3.9095212471608316,1.106301657535412,0.9981148599031342,1.7238166487457731,0.5816884780614304
61 days,31.944477699472372,5.651944594515446,3.919396676113513,1.1068505971744673,0.9982063956942183,1.7246471014267304,0.5806472500962229
62 days,32.08128171386864,5.664034049497641,3.9289997927524185,1.107301289993413,0.9983484753191906,1.7255207284654461,0.5797441984274041
63 days,32.21561365621151,5.675879989588531,3.938274511302753,1.1076714975359025,0.9983484753191906,1.7263524543726787,0.5786806506737631
64 days,32.34953630936814,5.687665277542987,3.9476162113869973,1.1081101186271471,0.9984277686288431,1.727198446559586,0.5780987125177546
65 days,32.48332683627469,5.699414604700618,3.956696889397616,1.108277762959085,0.9984422465720311,1.7280570036246616,0.5773650508984347
66 days,32.615516374767,5.710999595059257,3.965574209312328,1.1084783214120941,0.9986256698999157,1.7288502139709603,0.5767318990266246
67 days,32.74733878858509,5.722529055285355,3.9743382785923953,1.1087179615964629,0.9986644115135683,1.72968050956715,0.5757883576909458
68 days,32.88194795866829,5.73427832936877,3.9835204150778227,1.1088838443785662,0.99886706489272,1.7304512812583104,0.5749428868442052
