horizon,mse,rmse,mae,mdape,smape,coverage
51 days,2.0920581410918553,1.4463948773042081,1.0109483390993343,1.0034202599073923,1.8013454081157594,0.6634481844040628
52 days,2.0912467973177558,1.4461143790578102,1.010509875247068,1.00344214502385,1.8015051347083264,0.6637900801538325
53 days,2.0905280159121533,1.445865836069223,1.0101115208672478,1.00344214502385,1.801738432219732,0.6643684537971927
54 days,2.0900678261598653,1.4457066874576825,1.0098158772778374,1.0034398180091175,1.802012849648301,0.6645725551993278
55 days,2.0895507160657636,1.445527833030469,1.009519394675697,1.00344214502385,1.8021490024542728,0.6647607104755845
56 days,2.0889507561620726,1.445320295353965,1.009256893272456,1.0035187759467838,1.802522710456351,0.6650180670240937
57 days,2.088469784013758,1.4451538963078492,1.0090588688964013,1.0035603752157605,1.8028976214614205,0.6650404170851868
58 days,2.0882041294387914,1.445061981175476,1.0089530519730256,1.003702399271083,1.8031321677351013,0.6648743040996926
59 days,2.0880422970338834,1.4450059851204367,1.008850739230858,1.0036865785148659,1.803114233607341,0.6648792253263939
60 days,2.0877234036139773,1.4448956376202322,1.0086703897097813,1.0037930318986843,1.803001720221105,0.6651348701029262
61 days,2.0876438049088253,1.4448680925637556,1.008537968401121,1.0037980387765892,1.8028880407823835,0.6651716497972195
62 days,2.0875094477653593,1.4448215972103127,1.0083687962312722,1.0037952819239677,1.8027240564725502,0.6652208226493727
63 days,2.0871137857652466,1.4446846665501945,1.008091669163852,1.0040223611788104,1.8024954460269078,0.665028502850285
64 days,2.0865403027314664,1.4444861725649942,1.0077533287022036,1.0038515048485772,1.8022186262311195,0.6647947639754525
65 days,2.086085010086583,1.4443285672195862,1.007405686927753,1.0041393114189041,1.8020913153230602,0.6645712601396696
66 days,2.0852285872761773,1.4440320589502773,1.0069274309664278,1.0042787948650802,1.8018592954104977,0.6645563445928577
67 days,2.0842114661191626,1.4436798350462483,1.0063520330919715,1.0042834988009586,1.8016543770308342,0.6645865399802414
68 days,2.0833203895772447,1.4433711891184626,1.0058517373440292,1.0044081256810935,1.8015315876077487,0.664627832817689
69 days,2.082473984670814,1.4430779551607094,1.0053573392636634,1.0045399258291006,1.801448978759421,0.6647859810310022
70 days,2.081391699310262,1.4427029144318875,1.0047767264679621,1.0046283512530902,1.8013529179661476,0.6650851285506623
71 days,2.080283134838817,1.442318666189555,1.0042467356219695,1.0048103656121632,1.8012709680979468,0.6653097031567856
72 days,2.079328076307505,1.4419875437421452,1.0037704296708696,1.0048979819058337,1.801016246988496,0.6654131709698965
73 days,2.0783789382551427,1.4416583986004252,1.0032846881566293,1.0049075359367934,1.8006894240068563,0.6656606699143484
74 days,2.0776105648143943,1.441391884538828,1.002827150937456,1.0049365052217993,1.8003026812893579,0.6656033761023897
75 days,2.077026610949866,1.4411893043420305,1.0024379550921338,1.0050633579981576,1.7999192495112877,0.6656795097714339
76 days,2.076284624510008,1.4409318597733927,1.0019671575414555,1.005215491988092,1.7995432817595054,0.6657373318559292
77 days,2.0753114180912715,1.4405941198308674,1.001449391576975,1.0051846746498108,1.7992251610490293,0.6661301290809609
78 days,2.074194726341878,1.4402064873975113,1.0008706417150293,1.0054629852692711,1.7989687846715705,0.6663012008311175
79 days,2.0730933074773907,1.4398240543474021,1.000270972838499,1.0055401803571318,1.7987505550029976,0.6664173611605765
80 days,2.071921739162565,1.439417152587312,0.9996293931522899,1.0055355057452142,1.7984525308213204,0.6664953013912589
81 days,2.0707398904684515,1.4390065637336236,0.998956153501993,1.0056558989087274,1.79811964260117,0.6667368644903277
82 days,2.0696702379996332,1.4386348522122052,0.9983007984516032,1.0055401803571318,1.7976451487162064,0.6671900533813157
83 days,2.0686708089452064,1.4382874569936313,0.9976724097373384,1.005811071702134,1.7972208395036704,0.6673659988821046
84 days,2.067854997197288,1.4380038237770052,0.9971415946293675,1.005811071702134,1.7967910373841658,0.6673092640076862
85 days,2.0669612343596744,1.4376930250786064,0.9965666732018674,1.005828168477202,1.7963331082824499,0.6677568478869548
86 days,2.066217354434586,1.437434295693054,0.9960278746298705,1.0058657928982084,1.7956835095310029,0.6681390144019094
87 days,2.065285244540683,1.4371100321620065,0.9953981938669654,1.0058657928982084,1.7949970861631843,0.6685986552987485
88 days,2.064332982815449,1.4367786826144968,0.9947605558691145,1.0059346590021305,1.7943637443831393,0.6689788074835009
89 days,2.0635270188511528,1.4364981792021712,0.9941682936933063,1.0056558989087274,1.793642845475172,0.66936257279153
90 days,2.06279575980267,1.436243628289668,0.993616192733081,1.0061605620316283,1.7930334512636625,0.6693769675193857
91 days,2.0617969485232437,1.4358958696657789,0.9929886462817225,1.0058877644573005,1.792399145637124,0.6695123434838758
92 days,2.0606666750259004,1.4355022379034803,0.9922900409446769,1.0058877644573005,1.7918367303158076,0.6695681183249388
93 days,2.0596128947932875,1.4351351486160764,0.9915732873079396,1.0060043204839213,1.791218255110199,0.6696237499883865
94 days,2.0581635781072407,1.4346301189181971,0.9908012586886042,1.0061804393173124,1.7906441774391892,0.6701489432646737
95 days,2.0566250273942637,1.4340938000682744,0.9900304121614166,1.0064582293844064,1.7902300325553573,0.6706488446780243
96 days,2.055378422585429,1.433659102641011,0.9894105623139332,1.0064610528357016,1.7899342264722506,0.6706978799224934
97 days,2.0543166166365627,1.433288741543923,0.9888954413203864,1.0065469061736403,1.7895701524950969,0.6707411833633528
98 days,2.0532314361375983,1.4329101284231325,0.9883946331162851,1.0067483176137757,1.7892468270355877,0.6706189522543937
99 days,2.0522723406974555,1.4325754223416844,0.9879737768880623,1.0068743779548508,1.7890121028904096,0.670604425063445
100 days,2.0514897330412736,1.4323022491922832,0.9876448761269886,1.0069982467718008,1.788751403250748,0.6704397996884456
101 days,2.0507146383506765,1.432031647119112,0.9873173208344577,1.0068916891668258,1.7885268853840475,0.6706230366546194
102 days,2.0500618575949106,1.4318037077738381,0.987045994159954,1.0071554737888038,1.788301428294868,0.6704506390582756
103 days,2.0493843914037173,1.4315671103387775,0.9867661106931169,1.0070699959149145,1.7880619532208955,0.6704403158489137
104 days,2.048726302028329,1.4313372425911124,0.9864863845115472,1.0071554737888038,1.7878573705372496,0.6703425640005533
105 days,2.0478556294830126,1.431033063728093,0.9861638110341402,1.0071683324464686,1.7876712417920855,0.6704523240603834
106 days,2.046799912666326,1.43066415089857,0.9857337401875724,1.0071683324464686,1.7873741316413734,0.6705106627441899
107 days,2.0459109125040746,1.4303534222366423,0.9853820432427935,1.0073026975520185,1.7870553986050342,0.6705543873123628
108 days,2.0451198119341822,1.430076855254354,0.9850741583868956,1.007230321938697,1.7867272413515545,0.6706178750499386
109 days,2.044259448930419,1.429776013552619,0.9847412821920913,1.0073572401204467,1.786396022966412,0.6706343921849176
110 days,2.0435886000841306,1.429541395022939,0.9845057751306233,1.0076694811692992,1.7861621225930284,0.6705964543905126
111 days,2.043012507416561,1.4293398851975554,0.9843340964525972,1.0073605093799887,1.7859833349699556,0.6708051593104688
112 days,2.042402486404906,1.4291264766999827,0.984199537936083,1.0074058655136078,1.7858373734204176,0.6705144522013637
113 days,2.04193637044708,1.428963390170329,0.9841469036188475,1.0075821288770896,1.7857433235636813,0.6702917976619511
114 days,2.0416763472307995,1.4288724041112977,0.9842168198541482,1.0074058655136078,1.7858679782676021,0.670291661634102
115 days,2.041468380896966,1.4287996293731904,0.9842940368382597,1.0075821288770896,1.7860019360640755,0.6700268713139691
116 days,2.041621489875171,1.4288532079521572,0.9845221558986034,1.0077451281883592,1.7861522230861848,0.6698115895406838
117 days,2.0422273443771024,1.4290651994843,0.9848741282031972,1.0072607325498537,1.7862226500052119,0.6694404254426384
118 days,2.0429836518198083,1.4293297911328262,0.9852937276182682,1.0071617450857708,1.7863038945891674,0.6691299564739083
119 days,2.043611676598112,1.429549466299824,0.9856642530288339,1.0071683324464686,1.7863644535094918,0.6690559490731682
120 days,2.0440737448899395,1.4297110704229508,0.9859618511584846,1.0072343218289537,1.7864670118081705,0.6688668866886688
121 days,2.0446840764136702,1.4299245002494607,0.9863164343184159,1.007178916425305,1.7866244453962141,0.6685491653858526
122 days,2.045425027599968,1.430183564302138,0.9867268506871495,1.007126706403854,1.7867982753112777,0.6683481721268972
123 days,2.0463718270916758,1.43051453228958,0.9871806101948684,1.0071554737888038,1.7869938325383303,0.6682733176786522
124 days,2.047749961177528,1.4309961429638893,0.9877821811251757,1.0070089947984915,1.7872602325504778,0.6679793391362366
125 days,2.0490764116569755,1.4314595389521059,0.9883462669965288,1.0068743779548508,1.7875327538756385,0.6676880117123243
126 days,2.050213703647051,1.4318567329335192,0.9888632776837724,1.0067916089066844,1.7878097438446554,0.6674050013697022
127 days,2.0513669283634783,1.432259378870838,0.9894162560974257,1.006612612953305,1.7881690363568565,0.6669341556083775
128 days,2.0532689519035463,1.432923219123602,0.9901935976499612,1.0064610528357016,1.788500819768108,0.6663757962674308
