horizon,mse,rmse,mae,mdape,smape,coverage
51 days,19.27806777003651,4.390679647849124,2.950589226463331,0.9893877333686703,1.740182359825108,0.4846359302387624
52 days,19.318372094401703,4.395267010592383,2.9556999468920324,0.9894184643237125,1.740563134353933,0.48409796245673853
53 days,19.357712588508246,4.399740059197616,2.960513669901602,0.9894444990902549,1.7407572315826458,0.4838065740336394
54 days,19.39736397636897,4.404243859775361,2.965283168223823,0.9895174876697594,1.7409153599308014,0.48333569034191126
55 days,19.436927511053113,4.40873309591918,2.9700814264517215,0.9895703230358432,1.741098337823473,0.48276061065463827
56 days,19.474859657202146,4.413032931805761,2.9747891226642413,0.9895703230358432,1.7412217087783286,0.48202141953325767
57 days,19.513326683288803,4.417389125183427,2.9796185978831913,0.9896428280142224,1.741435836052765,0.481450980636816
58 days,19.55330139125459,4.421911508754397,2.9846928764754304,0.9897060176696185,1.7415794761963848,0.4806888474124449
59 days,19.593553853625462,4.426460646343245,2.989688453321008,0.989844638403882,1.7416784249146438,0.47993900787033655
60 days,19.633732492171447,4.430996783137114,2.9946104203236397,0.9897423782032533,1.7416514940595227,0.47945387852236804
61 days,19.673252227424033,4.435454004656573,2.9993360974666046,0.989844638403882,1.7415576328409739,0.4788431283875523
62 days,19.711614310150576,4.439776380646955,3.00390645697735,0.9899365432027857,1.7414492182494565,0.47827828624072233
63 days,19.74733039814766,4.443796844832993,3.008159427351,0.9900039929322877,1.7413717862201583,0.47742678615687656
64 days,19.78190281196234,4.447685107104856,3.0123194806307447,0.9899479069094024,1.7413316423292597,0.4767183240063137
65 days,19.816588577710128,4.451582704804004,3.0163412668867324,0.9899365432027857,1.7412837557572565,0.4763731906073985
66 days,19.852799765181288,4.455648074655502,3.020325976356159,0.9899479069094024,1.7411600989740508,0.4757510392891025
67 days,19.88928920182502,4.4597409343845325,3.024423705721347,0.9901015239818862,1.7410696059412507,0.4752124258406447
68 days,19.925751311769254,4.463826980492104,3.0284224805455935,0.9901372796988661,1.7410175116472293,0.4742967571702431
69 days,19.962649073271216,4.4679580429175045,3.0325326048508967,0.9902669589035186,1.7410538940342788,0.4734789912832124
70 days,19.99714918918129,4.47181721330169,3.0364211984080933,0.9903237173193662,1.7411235401913032,0.47273328467062203
71 days,20.029705754285487,4.475455926973864,3.040090866651293,0.9903015822750987,1.7411627755027232,0.47195367001776306
72 days,20.06287091789314,4.479159621836795,3.0437062965919215,0.9903849561643578,1.7412378121182923,0.47122792510718076
73 days,20.09638429388147,4.482899094769084,3.0473014831875034,0.990417336863392,1.7413369398768233,0.4705458190485924
74 days,20.129683092192156,4.486611537919475,3.0508110492818488,0.990469994715574,1.7413761175774973,0.47009263015760444
75 days,20.163857153484265,4.490418371764959,3.054361989408254,0.9906524472343579,1.74131448249082,0.4696275695758503
76 days,20.198488920876933,4.494272902358838,3.0580418668114717,0.990691352122678,1.7413223899663053,0.469092883232759
77 days,20.23050007255479,4.497832819542628,3.061373329525437,0.9909257468767493,1.7413715145493258,0.46876462220891274
78 days,20.25997378573236,4.501108061992332,3.0644044881327384,0.9911743761020717,1.7414182838245011,0.4685189127922367
79 days,20.29165622028338,4.504626091062762,3.06783356656833,0.9912911923786011,1.741639958124772,0.46809250834373395
80 days,20.32381251741425,4.5081939307680905,3.071419311026262,0.9914960253155508,1.7419048028033586,0.46784888060279284
81 days,20.356468934536775,4.511814372792477,3.075185708475914,0.9915246653950993,1.7421600331719784,0.4672496182993338
82 days,20.39050400987598,4.515584570116695,3.0791767159329853,0.9915246653950993,1.7425302414037178,0.46645111805518996
83 days,20.425075916638995,4.519411014351206,3.0832365075205916,0.9917937962607828,1.7429342608699738,0.46586481752868425
84 days,20.45722493202233,4.522966386346723,3.0870880982824027,0.9919387542898727,1.74332143436194,0.4656428780874307
85 days,20.48683642505244,4.526238661963424,3.09057553097814,0.9920367873790155,1.7437017561965757,0.46517455073085395
86 days,20.518443776735314,4.529728885566477,3.0943606610549095,0.9920737386106065,1.7440978868889416,0.464772306132709
