horizon,mse,rmse,mae,mdape,smape,coverage
51 days,7.459908603987506,2.731283325469459,1.9161729106647905,0.9948871051270453,1.7105425424390341,0.5001968490680492
52 days,7.500012797647187,2.7386151240448497,1.9224589271704506,0.994815316698896,1.711012644912163,0.4988670818109907
53 days,7.540270319971551,2.745955265471663,1.9286836132044096,0.9946278636007487,1.711352816083623,0.49751711162326406
54 days,7.579633487175295,2.753113417056278,1.9347256633965875,0.994533982707936,1.7116607657590055,0.4962883590195466
55 days,7.618778532581137,2.760213494022,1.9407253430386915,0.9943400719541422,1.7120978189661349,0.4948732585923999
56 days,7.657115772991648,2.7671493947728316,1.9466876764892602,0.9941035910437902,1.7124969600460074,0.493320549446249
57 days,7.695606555024067,2.7740956283127782,1.952698885379755,0.9942296375803124,1.7128673543689208,0.49179284658144456
58 days,7.734487960382564,2.7810947413532254,1.9587186088112063,0.9942296375803124,1.7130770084761373,0.49027669208609764
59 days,7.772747430673816,2.7879647470285227,1.9644763536372114,0.9944049615231387,1.7131882032718417,0.4889287939938241
60 days,7.811676510965372,2.7949376577958533,1.9704452816504072,0.9942296375803124,1.7136154470013623,0.48754644731464203
61 days,7.84928262980636,2.8016571220986983,1.976234528253573,0.9944109556695245,1.7139944603013872,0.48619984428202667
62 days,7.886217070717804,2.808240921060336,1.9819622557950713,0.9944049615231387,1.7145001568815585,0.4848831055128197
63 days,7.92231746457873,2.814661163369177,1.9875079923636685,0.9943400719541422,1.7149522615058366,0.4833999921731304
64 days,7.957020377014144,2.820819096825272,1.9928404298311688,0.99444703701083,1.715330349356285,0.4820428876536047
65 days,7.991745767422864,2.8269675922130526,1.9982406899595118,0.9945292867007901,1.7156933266794732,0.4804901852608742
66 days,8.027150436282787,2.8332226238477602,2.003764141544247,0.9945626790049391,1.7161415079050293,0.47895717003667837
67 days,8.062342714941554,2.839426476410607,2.009233210744821,0.9946157188977154,1.7166406883006844,0.477524308577245
68 days,8.0983479702822,2.8457596473142632,2.0148284102348666,0.9946322972977719,1.7171128900272044,0.47603725026866156
69 days,8.134894047886295,2.8521735655261753,2.0205124081448114,0.9946680160195939,1.717630905504347,0.4748105716237924
70 days,8.170438263969533,2.858397849140237,2.026042969633095,0.9949063129572482,1.717972877147984,0.47345698653041113
71 days,8.204821220099898,2.864405910498702,2.031328823529919,0.9947955739400731,1.718341609669415,0.4720311145853245
72 days,8.239661876445181,2.870481122816379,2.0367221594436207,0.9948731921806245,1.7187874452108611,0.47068002077029725
73 days,8.274673872670581,2.8765732865113276,2.0421122949112744,0.9949866101906437,1.7191692811260906,0.4691201838357123
74 days,8.30959951755385,2.88263759733232,2.04754293029625,0.9949224968833642,1.7195374947267423,0.467736357620748
75 days,8.344258767022012,2.8886430667394705,2.052920674871775,0.9949224968833642,1.7198769787749,0.4663548541278901
76 days,8.379101875084615,2.894667835017451,2.0583157289291365,0.9950307951545247,1.7202488054549145,0.46504400871730556
77 days,8.41281748725874,2.900485732986587,2.0634744792306665,0.9950325196072692,1.7205653492518869,0.4639474817046922
78 days,8.446852192307347,2.9063468809327193,2.06870806570434,0.9951104404124869,1.7210571240363928,0.4626354567649513
79 days,8.482285000878404,2.912436265547867,2.0741206295879806,0.9950926825553954,1.721560957531974,0.46129828810219153
