horizon,mse,rmse,mae,mdape,smape,coverage
51 days,4.006018037387944,2.001503943885184,1.1441941678516738,1.0033779551362514,1.7404027409177603,0.6431631469535276
52 days,4.007381240868024,2.001844459709101,1.1448352635540175,1.0032786148176807,1.7402226071863207,0.6431478652495606
53 days,4.0082257044294165,2.002055369970925,1.1455001772488482,1.00307352569651,1.7400439735429318,0.6429072431650636
54 days,4.009228339309443,2.0023057557000237,1.1461373144150901,1.0031611064991877,1.7397075806900142,0.6428152939293301
55 days,4.010402802811691,2.0025990119870953,1.1467570367103777,1.0029915086088295,1.7392709294397704,0.6426534903017711
56 days,4.0110954724884555,2.002771947199295,1.1473601281518768,1.0029086001490135,1.738804896382974,0.6423386686494735
57 days,4.012079802150658,2.003017673948649,1.1480327122041096,1.0029915086088295,1.7384567334800813,0.6421954577310283
58 days,4.013657626457622,2.003411497036398,1.1488848982032183,1.002924701266922,1.7381658240561948,0.6416735693346449
59 days,4.015898601145278,2.003970708654515,1.1498687658141293,1.002970322364345,1.7380164663467152,0.6410724026413
60 days,4.018308003405499,2.004571775568413,1.1508108424588217,1.003247248947873,1.7378576838379773,0.6405056845348638
61 days,4.021123538805593,2.0052739311140493,1.1517875563888387,1.00307352569651,1.7378143524121639,0.6404321251462769
62 days,4.023729320155747,2.0059235579043753,1.1526874730369299,1.0029548874123582,1.7377456468697123,0.6402099567234606
63 days,4.0258141594700865,2.0064431612856835,1.1534711547479362,1.0031910520376905,1.7376833047792228,0.6400957487053053
64 days,4.027498922802328,2.0068629556604827,1.1541941415701045,1.0032056651854326,1.7374860154504754,0.6396354663821769
65 days,4.0294024536240185,2.007337154945332,1.1550159258221613,1.0032056651854326,1.7374644179385788,0.6394530600446641
66 days,4.031778981992088,2.007929028126265,1.1559620147251657,1.0031611064991877,1.7373698277283498,0.6391287314530639
67 days,4.034155950623543,2.0085208364922535,1.1569441151352753,1.0030466365817143,1.737155648248125,0.6389044597296764
68 days,4.0368871495555005,2.009200624516004,1.157992916296121,1.0029548874123582,1.737074399690393,0.6384574647643056
69 days,4.039736466712835,2.0099095667996694,1.1591123042623217,1.0029086001490135,1.736959876613351,0.6378624677724405
70 days,4.0422911388969,2.0105449855441933,1.1602954995450707,1.0026737344839733,1.7371020036063376,0.6369605769650689
71 days,4.044736153967277,2.0111529414659834,1.1614727309865358,1.0026997494236718,1.7370589666433867,0.6364088928120563
72 days,4.047314479016061,2.0117938460528357,1.1626543995993157,1.0024436053605132,1.7370806013552627,0.6354232154526056
73 days,4.050093905340771,2.012484510584062,1.1639075417727773,1.0024068022466424,1.7371965087791175,0.6347669174174221
74 days,4.05293698161974,2.0131907464569125,1.1651333870563845,1.0022151569626585,1.7372141578190645,0.633951900038299
75 days,4.056203078073469,2.0140017572170756,1.1664563203736504,1.0020126507247686,1.7371667947413485,0.6333781876780108
76 days,4.059617977973042,2.0148493685566278,1.167799211705622,1.0017490310240782,1.7370143202637147,0.6326112598702971
77 days,4.0626894474403255,2.015611432652714,1.1691182455305733,1.0016313308116653,1.736780745358347,0.6315484100394916
78 days,4.065264371530806,2.0162500766350404,1.170281616082442,1.0012821263046259,1.7363450266285658,0.6309201709685959
79 days,4.067890441977027,2.0169011978718805,1.171398327265893,1.0010629455195288,1.735940601969482,0.6303279373917999
80 days,4.070222083125048,2.0174791406914343,1.1724372781965149,1.0010139630303805,1.735518605945116,0.6297493215070648
81 days,4.072780951031563,2.0181132156129307,1.1735609134550757,1.000902822266339,1.7352801387265029,0.629221805508671
82 days,4.07539354522109,2.0187603981703943,1.1746594643549217,1.0002424669551622,1.7350301560232408,0.6285905412561901
83 days,4.078059864333164,2.019420675424802,1.1757204808330632,0.9997184433053707,1.7347012180174426,0.6278659022706541
84 days,4.080277570413369,2.0199696954195545,1.1766895137615565,0.9992984118327772,1.7343976857720274,0.6273112188345489
85 days,4.082208290128585,2.020447546987693,1.177607740075675,0.9986851160412785,1.7340108747447947,0.6267179613896094
86 days,4.084446899003037,2.0210014594262513,1.1785826817190035,0.998309568945386,1.7337002129634866,0.6260776140172666
87 days,4.086570365109531,2.0215267411314475,1.179499727847482,0.9980741468973402,1.7336238111083868,0.6254827390777864
88 days,4.088907303296701,2.0221046716964732,1.1804312303303874,0.9979393186555262,1.7334866642274973,0.6249064459151576
89 days,4.0914940486820255,2.0227441876525134,1.1813820354196916,0.9978106558726961,1.7333220384593027,0.6245224225268946
90 days,4.094105754285549,2.02338966941258,1.1823763581318985,0.997061147900084,1.7330615657534887,0.6238652039744863
91 days,4.096105042915125,2.023883653502623,1.183246793077419,0.996973570318691,1.7328107921610794,0.6232593722510247
92 days,4.097797737174909,2.024301790043893,1.1840787931359804,0.9966367239937086,1.732651980148526,0.622669086874156
93 days,4.099591145349048,2.024744711154729,1.184849351720919,0.9965436643164922,1.7323413881742713,0.622030657867163
94 days,4.101615886162423,2.0252446484714937,1.1856670771230085,0.9960915501356821,1.73209527574437,0.6217165742223267
95 days,4.103905926989453,2.025809943452113,1.1865178786195494,0.9958661314405383,1.731865581630191,0.62121564048804
96 days,4.10643772742516,2.0264347330780628,1.1873716441916062,0.9956776225055044,1.7317048327323101,0.6208543281603731
97 days,4.109095134940639,2.027090312477626,1.1882720741125465,0.9953747654297467,1.7314371014049619,0.6205739393590906
98 days,4.111220517300492,2.0276144893200216,1.1891009469702307,0.9952313789840901,1.7312163582886952,0.6199473444508913
99 days,4.11278138521906,2.0279993553300404,1.1898435669570064,0.995142201258225,1.7310594455184078,0.6195904710546395
