horizon,mse,rmse,mae,mdape,smape,coverage
51 days,5.0379552505853145,2.2445389839753984,1.384992959866107,0.990749639202412,1.6860491303541343,0.674004474690131
52 days,5.03957504647736,2.244899785397415,1.3853596713851826,0.9906563209374553,1.686931002061648,0.674039441300903
53 days,5.041749108859412,2.245383955776698,1.3858602624884586,0.9908178164489289,1.6876337773670702,0.6742067630087447
54 days,5.044283408579899,2.2459482203692716,1.3864726740557127,0.990749639202412,1.6882933979699102,0.6740632703986141
55 days,5.046577501111442,2.2464588803517955,1.3870195711572422,0.9907639308421112,1.6888693745673846,0.674251498873895
56 days,5.048947961539357,2.246986417746969,1.3876400296229554,0.9904891920780092,1.689432840236698,0.6743649147523448
57 days,5.051742731644159,2.2476082246788827,1.3883034713865194,0.9906643628199912,1.6900790931082867,0.6745442030025309
58 days,5.055362869904312,2.248413411698194,1.38909224195523,0.9907264416383581,1.6905957298734906,0.6746128937175621
59 days,5.058541765512627,2.249120220333414,1.389700203716679,0.9907639308421112,1.6910777685800729,0.6747429177072471
60 days,5.061598808984404,2.2497997264166436,1.3903672226200032,0.9909809917583411,1.6916773792206057,0.6750008935911641
61 days,5.0650961271262815,2.250576843195158,1.39107472328086,0.9908178164489289,1.6923085102736444,0.6751627760484414
62 days,5.068449780960333,2.251321785298657,1.3917563910526742,0.9907846708265715,1.6930005235375154,0.6752980591064777
63 days,5.071171993302535,2.251926285050764,1.392336752456592,0.9907607700883994,1.6936508444573057,0.6753599707796867
64 days,5.073497020742807,2.2524424566995727,1.392852545416715,0.9909172455811508,1.6944119230887162,0.6752871411904896
65 days,5.076165714216622,2.2530347787410254,1.3933763782476478,0.9910577214734257,1.6951366535473513,0.6753912245721512
66 days,5.078980103053722,2.2536592695111923,1.3938412654489503,0.991128468308548,1.6959107328270484,0.6755854033948906
67 days,5.081806170046998,2.2542861774954392,1.3942952334403336,0.9911496723160811,1.6967668896317685,0.6755988235670611
68 days,5.084856335760185,2.254962601854005,1.3947600207009394,0.991208836576509,1.697610425916189,0.6757309606468935
69 days,5.087887601749876,2.255634633922319,1.3951637033798565,0.9912603438765852,1.6984594634941994,0.6759123565786181
70 days,5.090232411133761,2.2561543411597,1.3953723994926939,0.9914266034004195,1.6991031162302432,0.6759936863251542
71 days,5.092029974791194,2.2565526749427307,1.3954328569432837,0.9913667297228279,1.69964469744849,0.676180692939801
72 days,5.0943622602044005,2.2570693964086264,1.3956397667475364,0.991410097327055,1.7002229543259082,0.6763410623201825
73 days,5.096989191830982,2.257651255582,1.3959654024858026,0.9916078399837388,1.7008040270247757,0.676408163181035
74 days,5.099889078027161,2.258293399456138,1.396359022517018,0.9916452488650049,1.7013002420184395,0.6767434094050632
75 days,5.103214217198092,2.2590294856858537,1.396866938942925,0.9920408596005776,1.7017975639722125,0.6767880572855535
76 days,5.106699635411433,2.259800795515267,1.3974152923246137,0.9922578713048176,1.70226814660059,0.6768372881865176
77 days,5.109610844442872,2.2604448333111056,1.3978682723884281,0.9926261182294678,1.7026915512860665,0.6768821967262888
78 days,5.111941694940769,2.260960347936418,1.3981491824173484,0.9926261182294678,1.7031740006158358,0.676970679331314
79 days,5.112982599834375,2.261190527097258,1.3982531826455176,0.9930796634568325,1.7036532694580244,0.6772716996441589
80 days,5.114481014112136,2.2615218358689653,1.3985213125127773,0.9931540412058002,1.7042059016288698,0.6774753249488227
81 days,5.116022408537354,2.261862597183426,1.3987594852046865,0.9938092218967849,1.7047071907933116,0.6773811256633951
82 days,5.11779825849052,2.262255126746433,1.3989976873761527,0.993877852906336,1.7051594264211285,0.6774079660077362
83 days,5.1196583383679055,2.262666201269623,1.3992404261275015,0.9942235058436742,1.7055660662462853,0.677526777948553
84 days,5.120818438863904,2.262922543717284,1.3993403338493537,0.9945052414022418,1.7058588098926144,0.677519595059695
85 days,5.1218622993652,2.2631531762930233,1.3993939163340547,0.9946551055551691,1.7060087008751683,0.6777914881426929
86 days,5.123235708391666,2.2634565841631833,1.3994822539554472,0.9947964006273766,1.706133346429958,0.677650045267273
87 days,5.123547744762366,2.2635255122844025,1.3994277866609974,0.9949902875338805,1.7062695908537011,0.6775597171853563
88 days,5.123215683392321,2.2634521606149134,1.3992115309383695,0.9952189344997254,1.706223413491445,0.6777519869597219
89 days,5.12327240073256,2.2634646895263377,1.3990788431053076,0.9948435505653278,1.7061108081121952,0.6777777949831267
90 days,5.123573947222745,2.263531300252494,1.3990346630805048,0.9953584875900757,1.7060538548677275,0.6778199794551736
91 days,5.123175662483208,2.2634433199183954,1.3989039840949808,0.9951390382638732,1.705891091547333,0.6781460754771129
92 days,5.12260111479079,2.263316397411283,1.3987286166462327,0.9952942906752638,1.7056687264817665,0.6782027990901428
93 days,5.12192617643086,2.2631672886534173,1.3984239340926004,0.9953705541106511,1.7054035857228014,0.6783778315272878
94 days,5.121327784023673,2.2630350823669687,1.3981378953511772,0.9952189344997254,1.705108314796182,0.6785468740805891
95 days,5.1208860671299545,2.2629374863504195,1.3978160685432681,0.9952942906752638,1.7046771698594638,0.6787628872364873
96 days,5.120821419038766,2.2629232021963905,1.3975278584864361,0.9953419975921185,1.7042196977222048,0.6788165679251691
97 days,5.121147433863764,2.2629952350510516,1.3973683062024345,0.9950371665102573,1.7038201939848197,0.6787850579124779
98 days,5.1210656898735865,2.262977173962121,1.3971999872550775,0.9952764339934771,1.7034734948466135,0.6787533195663612
99 days,5.119607403635385,2.2626549457739653,1.3967921226275308,0.9947915354820585,1.7030981823897162,0.6789715465032613
