horizon,mse,rmse,mae,mdape,smape,coverage
51 days,57.15974872408667,7.560406650709118,4.8198193157036,1.0002827660802063,1.7678363055251294,0.6243034521628272
52 days,57.270071081923376,7.56769919340901,4.825261708197717,1.0004991031592194,1.7681845944061372,0.6238584696642636
53 days,57.378389212245885,7.574852421812975,4.830788345631309,1.000193240034417,1.7685209233317234,0.6233002989515716
54 days,57.486829044508504,7.5820069272263595,4.836200354280349,1.0002517541394251,1.7688360845676665,0.6228092123291751
55 days,57.5957881359448,7.5891888984228615,4.84179860458333,1.0001015043842791,1.7691589215644008,0.6222681814495249
56 days,57.699014167187386,7.5959867145215165,4.847147515675024,1.000096644899074,1.7695126762627076,0.6219230618714046
57 days,57.806271853126304,7.603043591426154,4.852647199396663,1.000096644899074,1.7698314422623098,0.6212980466288596
58 days,57.919970457450894,7.610517095273546,4.858860025774579,1.0000653952957097,1.770055081533845,0.6209311168128271
59 days,58.017187962934216,7.616901467324769,4.8641298154162795,1.0001015043842791,1.7702294515956332,0.6209432903736143
60 days,58.117194943294585,7.623463448019843,4.869715979700694,1.000096644899074,1.7705136480824215,0.6203247698808493
61 days,58.22338346918097,7.630424855090375,4.875592079938535,1.000070045586936,1.7707003468789744,0.6195373736086527
62 days,58.328899004581324,7.637335857783218,4.88159750722788,1.000171039311208,1.7708364755662076,0.6185794855477986
63 days,58.4281363543876,7.643829953262147,4.887243176409702,1.0002517541394251,1.7708836784776216,0.6178726568309004
64 days,58.52351393297087,7.650066269841776,4.892437530084771,1.0002391074337944,1.7708393354704184,0.6171962895722465
65 days,58.624312106262025,7.656651494371546,4.897957826162427,1.0002827660802063,1.7709289243564614,0.6165659887288368
66 days,58.72764255680797,7.663396280814921,4.903301706059793,1.0005143623833699,1.7709763140608616,0.6163505699960049
67 days,58.83130027586185,7.67015647010293,4.908853192041935,1.000523272201904,1.7710578151012428,0.6157479526495033
68 days,58.937640717563255,7.677085431175248,4.914420925670344,1.0005288828824848,1.7710801736319126,0.6152472769954506
69 days,59.04457959249704,7.684047084219164,4.920222606864632,1.0005288828824848,1.7711800044281298,0.6148821521612214
70 days,59.14511467541446,7.690586107405239,4.92564653936133,1.0005694488947987,1.7713511318530963,0.6146599537080362
71 days,59.242872294547155,7.6969391510227725,4.931049337204243,1.0006574028608743,1.7715007981403024,0.6143081817206991
72 days,59.34755266113177,7.703736279308357,4.936998366306051,1.0006219648988686,1.7716564704721112,0.6137145384854407
73 days,59.44493994554444,7.710054470984264,4.942224888815582,1.0006219648988686,1.771754137096775,0.6128987468656155
74 days,59.54048396539955,7.7162480497583505,4.947149019424044,1.00060795867972,1.7716398015230674,0.6123312284309445
75 days,59.6389416915777,7.7226253108368335,4.9520610925040565,1.0006968676702157,1.7714428701237477,0.6120419204885769
76 days,59.739140031010116,7.729109911950412,4.957181240833365,1.0007327122071397,1.7712777279537137,0.6114258969453686
77 days,59.832871102937226,7.7351710454867915,4.961986164937635,1.0007232726181345,1.7711186110419408,0.6106393011701926
78 days,59.92083768531305,7.740855100395114,4.966300192700414,1.0007232726181345,1.7710324354372335,0.6100318947292626
79 days,60.01292550273726,7.746800985099415,4.970879240597564,1.0007003300046733,1.770948528594533,0.6093367234752878
80 days,60.10615640308362,7.752816030519725,4.9756994274524144,1.0007003300046733,1.7708454398417062,0.6085005435169728
81 days,60.200531722873194,7.758900161934886,4.980694800438743,1.0007036728429362,1.7707808131700529,0.6076132636723166
82 days,60.29538164072352,7.765010086324648,4.9854958910328575,1.000697839712387,1.7707180147047725,0.6071368475602643
83 days,60.39141729871944,7.77119149800849,4.990462034264859,1.000619006517029,1.770728212208499,0.6066660346775534
84 days,60.479951680302754,7.776885731467497,4.994838342738741,1.000697839712387,1.7705814706573186,0.6063035887709755
85 days,60.56370562244495,7.7822686680970445,4.998854846241256,1.000697933541126,1.7703934989852095,0.6058273540428913
86 days,60.64977442205593,7.787796506204815,5.00271833121078,1.000697839712387,1.7700047248270823,0.6053111879846101
87 days,60.728949278698074,7.792878112655046,5.00628691181966,1.0006532089289313,1.7696154988048425,0.6046117905503405
88 days,60.80531492318039,7.797776280657223,5.009681698789915,1.0006968676702157,1.7691471254594202,0.6044672656192739
89 days,60.88528178366699,7.802902138542235,5.013292532821141,1.0006012769423367,1.7685815666722986,0.6037172844591309
90 days,60.956808160388086,7.807484112080414,5.016462428192261,1.0006318101500185,1.7680274594164518,0.6031053976532483
91 days,61.02110159221044,7.811600450113309,5.019176885344985,1.0006057045660437,1.7673320294540062,0.602737589448926
92 days,61.081350444246084,7.815455869253315,5.021453835976939,1.0005778616651755,1.7668032488625902,0.6020527731630485
93 days,61.14000727869432,7.8192075863666854,5.023409052194698,1.0005288828824848,1.7661907079966668,0.6018193624179434
94 days,61.148767452846464,7.819767736502566,5.024095521073089,1.0005481542610348,1.765746837557231,0.6018846567171575
95 days,61.13581352102059,7.818939411519991,5.024295796725328,1.0005170757815285,1.7653274154225163,0.6018591067739868
96 days,61.12492914307929,7.81824335404567,5.024519161101853,1.0004151073079992,1.7649653072326783,0.6014601147321489
97 days,61.114696559993256,7.817588922423157,5.024722512223107,1.00044740805114,1.7645965993961255,0.6010074010069347
98 days,61.09859843513505,7.8165592452904145,5.024868091942006,1.0003457070329551,1.764240414023747,0.6008524292882974
99 days,61.08052428684717,7.81540301499847,5.024859109932182,1.000378746055063,1.7638653923933751,0.6006916654622612
100 days,61.064768793150556,7.8143949729425985,5.024856701656995,1.000378746055063,1.7635174051946265,0.600619289329621
101 days,61.053090618781724,7.813647715298004,5.02520065696737,1.0003863769589358,1.7631521417741867,0.600451021017022
102 days,61.044507656081784,7.813098467066813,5.0256496834712125,1.0004151073079992,1.7627223847722264,0.6002786234206781
103 days,61.035562456541314,7.812525997175389,5.026098265445005,1.000290893895274,1.7622986599321624,0.6000499643333116
104 days,61.02803378009726,7.8120441486269945,5.026638448099325,1.0001822718312403,1.7617634483335034,0.5999527044212819
105 days,61.011714911567424,7.810999610265476,5.026710773855372,1.0001802189575653,1.7613112505506554,0.5996966898958327
106 days,60.99409548340314,7.809871668817814,5.026888830194656,1.00017042927055,1.7609717299313108,0.5994460770829868
107 days,60.99291666461989,7.809796198661005,5.028152243204863,1.00017042927055,1.760654526907757,0.5991022937138881
108 days,60.99115183523257,7.809683209659184,5.029280758410761,1.0001288926887972,1.7602718845992087,0.5989412516478424
109 days,60.99647639425983,7.810024096906477,5.030544653688951,1.000112515615691,1.7600582453050084,0.5985045798918334
110 days,61.013366051604606,7.811105302811159,5.0322102830752815,0.9999678508292058,1.759766336371569,0.598156171575869
111 days,61.03401199848771,7.812426767559982,5.034101739005678,0.9999161664867612,1.7594376675214116,0.5979445849152487
112 days,61.04916949462696,7.813396796184548,5.035831528574909,0.9998744801776279,1.7592530120528658,0.5976885732051467
113 days,61.06118789590733,7.814165847734954,5.03745206765428,0.9998590135332943,1.758933202632578,0.5976684781961166
114 days,61.07754583295595,7.815212462432224,5.039462747722832,0.9998506505361271,1.7586849366412804,0.5973380572339373
115 days,61.09641484136721,7.816419566615345,5.041750225981342,0.999847915070861,1.7584443965711356,0.5970655245067829
116 days,61.1134238649933,7.817507522541523,5.043834979481023,0.999794403173063,1.7579532097729749,0.5966642889371342
