horizon,mse,rmse,mae,mdape,smape,coverage
51 days,4.8966045181765745,2.2128272680389163,1.4496344599878397,1.0105980265516499,1.7378237029499533,0.6248471182073474
52 days,4.907523292044348,2.2152930487961062,1.4511653300721774,1.0105980265516499,1.737232730371509,0.6246785014398474
53 days,4.9183302397136615,2.2177308763043504,1.452803007694421,1.0103873229479394,1.7366393936090816,0.6242037325691445
54 days,4.929247972404038,2.2201909765612595,1.454455772791684,1.0102921969084018,1.7361233261992222,0.6238045951824818
55 days,4.940140147534661,2.2226426045441183,1.4561002949331545,1.0098261844753722,1.7355934687483543,0.6234691522082264
56 days,4.950444414253904,2.2249594185633823,1.4577137127911934,1.009709110310156,1.735115961384852,0.6232909377894311
57 days,4.9606901465980044,2.227260682227836,1.4593114127184348,1.0100170111528874,1.734570661030188,0.6229622489659173
58 days,4.971870735682388,2.229769211304701,1.4611615316448388,1.009762490513686,1.7339839988710295,0.6225473512662835
59 days,4.983914972402008,2.232468358656402,1.4631860383966846,1.0098261844753722,1.7333151493202288,0.6217855971753194
60 days,4.996111610452326,2.2351983380568994,1.465237472056606,1.009934064381166,1.7327580284543047,0.6211507589308609
61 days,5.008699295039753,2.2380123536387715,1.4673073908748195,1.009762490513686,1.7322425680770317,0.6205933652539638
62 days,5.021263549840123,2.240817607446024,1.4693919212225661,1.0098155761068328,1.7317665831844218,0.619977498695049
63 days,5.033403926908023,2.2435248888541492,1.4714026214055973,1.009762490513686,1.7312805682380648,0.619432812846502
64 days,5.045261011487678,2.24616584683493,1.4734895054688175,1.0100443197128088,1.7309533624700277,0.6187572916081778
65 days,5.057569522886087,2.248904071517077,1.4757192672831743,1.0100427034944148,1.7311083938059129,0.6179667252551656
66 days,5.070607988664699,2.251801054415043,1.4780808164116135,1.010540280615549,1.731112485853959,0.6172288170324696
67 days,5.083707451073976,2.2547078416224964,1.4804616096346823,1.0106633190759435,1.731075291630743,0.6163234715714299
68 days,5.097025488186593,2.2576592940890334,1.4829075495855013,1.0107868342661435,1.7309132565782064,0.6151399156180867
69 days,5.109793143199495,2.260485156597914,1.485229125979335,1.0110509910888847,1.730744271629019,0.6142019868287253
70 days,5.121979198037913,2.263179002650456,1.487444379202777,1.0113264688496126,1.7304151958638834,0.6133154903392041
71 days,5.13381644669906,2.2657926751358035,1.4895649303943952,1.011362966497984,1.7298263541174206,0.6123179340379493
72 days,5.145736038817251,2.2684214861478567,1.4916767858375477,1.0114561044634927,1.7292087088630488,0.611649122372356
73 days,5.157165249879656,2.2709392880215127,1.4936320344962417,1.0114018766909432,1.7285192198756576,0.6112103859744747
74 days,5.16898461955363,2.2735401073114216,1.4956728507969939,1.0113423459526087,1.7278179796872442,0.610223229079242
75 days,5.181341934865783,2.276256122422471,1.4978090266879125,1.0110843443559108,1.7270023606741467,0.6093553052521392
76 days,5.193783590010587,2.2789874045309215,1.4999236076370397,1.0110509910888847,1.725964493767064,0.6084840394257602
77 days,5.205792433860655,2.281620571843762,1.5020015157891558,1.010762961882307,1.7250301800889518,0.6075029998273929
