horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,1.7643142413085844,1.32827491179672,0.9688553116408852,1.0490626947035548,0.9985129991004787,1.7358257356426905,0.7344195257698741
52 days,1.7653009582790589,1.328646287873134,0.9688271056412084,1.0488350157038087,0.9985522381266141,1.735352345147709,0.734285098577351
53 days,1.7663164595412861,1.329028389290946,0.9688356541898415,1.0485847354551399,0.9984592373184767,1.7349119170804463,0.7343350878801582
54 days,1.767428692765124,1.3294467619145658,0.9688855209462957,1.0483330889277338,0.9984592373184767,1.7344994047754918,0.7338621320929769
55 days,1.7685212339748804,1.329857599134163,0.96890598316298,1.0478544295855765,0.9984012430445239,1.733939239133062,0.7339194694516711
56 days,1.7700274371180562,1.3304237810254507,0.9690581025086471,1.0471831455863425,0.998192548248099,1.733152618426607,0.7339323497567148
57 days,1.7715266108517964,1.3309870813992886,0.9692016963333424,1.046668789067685,0.9979786687061005,1.7323607393661724,0.7339953749628271
58 days,1.7731060607176874,1.3315802869965023,0.9694113393384421,1.0463002080783854,0.9978494912743935,1.7315174263261814,0.7338758597253542
59 days,1.774825287806368,1.332225689515995,0.9697011256086624,1.0462056741563273,0.9976747161693835,1.7307879641377069,0.7339134164554425
60 days,1.7763712402689045,1.332805777399282,0.9699014908945477,1.0461686869795794,0.9977446085156546,1.7299562970334312,0.7336450800942597
61 days,1.7780139036868188,1.3334218776091904,0.9701805068621725,1.0463715619609477,0.9978494912743935,1.7292315791941486,0.7332513819581613
62 days,1.7796347440042923,1.334029513917999,0.9704794172397085,1.046605021730536,0.9974830280518308,1.7286257731770884,0.7328162400361019
63 days,1.7815076502652831,1.3347313026468224,0.9708432029942903,1.0468602049375908,0.9978545414982157,1.7281056672727604,0.7322560951747349
64 days,1.7837730241526997,1.3355796584826753,0.9713178428604018,1.0470581909410726,0.9978494912743935,1.7275725921489626,0.7320301500849518
65 days,1.786139006250093,1.3364651159869805,0.9718294752188829,1.0472425353430925,0.9978301617774619,1.726967698531796,0.7316747763302465
66 days,1.7887312558101698,1.3374345800113625,0.9724394648447449,1.0473449455312156,0.9977446085156546,1.726285882513047,0.7312675042918743
67 days,1.791130671814665,1.3383313012160571,0.972958027576359,1.0476010895016812,0.9977286639023476,1.7256644139203539,0.730818186604397
