horizon,mse,rmse,mae,mdape,smape,coverage
51 days,0.0035191698554377414,0.05932259144236487,0.04080620840954156,1.0238794066929893,1.660542152263744,0.7668641012188461
52 days,0.003517022463714935,0.05930448940607224,0.04077331544313083,1.0240610831029149,1.6602278600509104,0.7670651570062922
53 days,0.0035152037116263587,0.05928915340622059,0.04074240110782053,1.0242236549022177,1.660050721139951,0.7674945565625793
54 days,0.0035130433489908414,0.05927093173715798,0.04070870721601533,1.0243126610818762,1.6598951872655416,0.7678475326706663
55 days,0.0035098316740474907,0.05924383237137424,0.04066780664815554,1.024775630288295,1.6597243877172336,0.7682378126759994
56 days,0.0035068702411195207,0.05921883350015872,0.04063065281416383,1.024775630288295,1.6595801394182164,0.7687862305875617
57 days,0.0035042433488430944,0.059196649810974056,0.040596341828137913,1.024775630288295,1.6595216681359528,0.76924114350497
58 days,0.0035013632944421065,0.059172318650210984,0.040560210486201155,1.02488012123598,1.6591881420696177,0.7696019095408565
59 days,0.0034983672504279675,0.05914699696880618,0.04052230051142827,1.0248876140808665,1.6586645576802574,0.7700485571608555
60 days,0.0034959682895380506,0.05912671384017592,0.040488960484126375,1.0247925596412073,1.658222060904727,0.7704596789182837
61 days,0.0034937295009541906,0.05910777868397856,0.040458066513294026,1.024775630288295,1.6577637520256943,0.7709561580986125
62 days,0.0034914576147536966,0.05908855739272788,0.04042876138116832,1.024775630288295,1.657274191430646,0.77123842358503
63 days,0.0034888930970871893,0.05906685277790911,0.040395897669614704,1.0248266290147539,1.6568815660174325,0.7718996366698924
64 days,0.003486181390622914,0.059043893762377446,0.0403610611870901,1.0244028943316628,1.6564187428636077,0.7724582814561657
65 days,0.0034835694581944014,0.05902177105267514,0.040324179286297265,1.0243218144456843,1.6557245185742517,0.7731066131135741
66 days,0.003481134303193344,0.05900113815167758,0.04028848034913716,1.0243922906415859,1.6549845692926595,0.7735397016314361
67 days,0.0034792245053974023,0.0589849515164453,0.04025790511417834,1.0244028943316628,1.6542831072697646,0.7740057822728781
68 days,0.003477351105708821,0.05896906905920104,0.040228965672890554,1.0243653810926998,1.653589462735585,0.7745206969041527
69 days,0.00347574249608403,0.058955428045974104,0.04020168845279208,1.0243922906415859,1.6529721700757785,0.7749277164495426
70 days,0.0034747685489142943,0.058947167437581716,0.04018036870100932,1.0244028943316628,1.652379604505236,0.7751452582223427
71 days,0.0034735544942940525,0.058936868718095746,0.04015750982937428,1.024663940130076,1.6519989336562593,0.7754173387833782
72 days,0.0034723758207386743,0.05892686841109643,0.04013396670428327,1.0248266290147539,1.651452301730254,0.7758683092610505
73 days,0.0034716913443618917,0.05892106027866345,0.04011702119163823,1.0250254250374935,1.6509425590880331,0.7764949658417014
74 days,0.003471475854420233,0.058919231617700456,0.04010312393621182,1.0253337655093988,1.6503084528540692,0.7767658415474596
75 days,0.003470497625767214,0.05891092959517116,0.04008440131756174,1.0254131954412362,1.649664824401956,0.7770530730643425
76 days,0.003469448955735861,0.058902028451793244,0.04006656824668159,1.0256762638907537,1.649008709143004,0.7772870887407664
77 days,0.0034686074607016646,0.05889488484326686,0.04005061905848156,1.0255843059326673,1.6483764452207217,0.7773586553334809
78 days,0.003467949644540202,0.05888929991552117,0.040037056349038876,1.0251854012054689,1.6479229045897694,0.7774348473700822
79 days,0.00346735197982497,0.05888422522055436,0.04002256323420972,1.0253337655093988,1.6473527489329962,0.7775458917569393
80 days,0.003466717762490447,0.05887883968362868,0.04000654350768718,1.0251693659575372,1.6467653914498073,0.7775202406484395
81 days,0.0034661542802160343,0.05887405438914526,0.03999141451490882,1.0249561608944864,1.646199612930518,0.7776610652341035
82 days,0.003464920369134134,0.058863574213040566,0.039971176133357836,1.0251596436372536,1.6456679382538209,0.7779100701404096
83 days,0.0034635281751766154,0.058851747426704466,0.03995017983504653,1.024775630288295,1.645294377507916,0.7782688687130234
84 days,0.0034617862727937244,0.05883694649447509,0.03992592726107084,1.0251596436372536,1.6448516797714678,0.7784613492602158
85 days,0.003459910515243242,0.05882100403124076,0.03990084884028331,1.0248543644662798,1.644622357405217,0.7789230720912428
86 days,0.003458184126746775,0.05880632726796305,0.039877107312989345,1.024775630288295,1.6444358569403728,0.7792647725375128
