horizon,mse,rmse,mae,mdape,smape,coverage
51 days,0.004434303713392747,0.06659056775094163,0.045792019748364624,1.0164293298961151,1.7130033652290602,0.7262158211597186
52 days,0.004433040312985564,0.06658108074359835,0.045774953720538386,1.0164409424644298,1.7134622876042007,0.7264091539335625
53 days,0.0044324181949902276,0.06657640869700188,0.04576089952026367,1.016510269276265,1.7139167948464553,0.7265322072836257
54 days,0.004431360544163453,0.06656846508793374,0.045742626489612324,1.0168230427000595,1.7143553448883464,0.726823856529909
55 days,0.004429936299093255,0.06655776663240177,0.04572064562689814,1.0170275384668288,1.7148428880331323,0.7273683615502775
56 days,0.0044287594124985145,0.06654892495373997,0.04570219451451377,1.0174152129575023,1.7153447483437958,0.7277077842671736
57 days,0.004427927088900382,0.06654267118849665,0.04568492148015598,1.01741812595208,1.715742915713441,0.7281502929450584
58 days,0.004426944725422471,0.06653528932395553,0.045666747988704834,1.01741812595208,1.7158861358053512,0.7286050641344793
59 days,0.004425841645835644,0.06652699937495786,0.045647985789174436,1.0175363051867374,1.7158230431790746,0.7288048327529918
60 days,0.004425718410381327,0.06652607316219203,0.045636867330127506,1.01741812595208,1.715758223823678,0.7290545435261323
61 days,0.004425745534177654,0.06652627702026963,0.045628062946990726,1.017609870353531,1.715674649041555,0.7290328614674871
62 days,0.004425694222519089,0.06652589136959451,0.04561995077063262,1.0176636177968794,1.715528789484741,0.7291360045304764
63 days,0.004425348386559454,0.06652329206044642,0.04560822190528074,1.0177202665133576,1.7153752234253334,0.7294087873403883
64 days,0.004424664462442653,0.06651815137571589,0.045593210158493554,1.017609870353531,1.7152221584327636,0.7294330659877573
65 days,0.0044240919204112245,0.06651384758387703,0.04557756941474288,1.017609870353531,1.714940153344938,0.7297104848147533
66 days,0.004423752448521838,0.06651129564609186,0.04556354388082136,1.017784453857745,1.7146158037338046,0.7298725370767536
67 days,0.004423995485828956,0.06651312265883294,0.045555449385159846,1.0179372672528832,1.7143043780245446,0.7299938668199577
68 days,0.0044242398212979255,0.06651495937981114,0.04554845785687415,1.0181260882849565,1.7139805241102135,0.7301280424168501
69 days,0.004424578601474436,0.06651750597755779,0.04554172496282304,1.0181260882849565,1.7136326318260342,0.7302830807532112
70 days,0.004425717488465247,0.06652606623320852,0.0455422845149093,1.0181732224890976,1.7133010578565326,0.7303546473459257
71 days,0.004426594814602392,0.06653265975896644,0.04554221789582499,1.0181780557575848,1.7131036118014702,0.7303226623596278
72 days,0.004427563950712269,0.06653994252110734,0.045541479218748085,1.0186603920512085,1.7128434309732137,0.7306469440423633
73 days,0.004429261658514291,0.06655269835637238,0.045548685401032345,1.0190127593240712,1.7125639029204545,0.7304689253493745
74 days,0.004431167566437193,0.06656701560410526,0.045557119249110274,1.0190206656339642,1.7122331266590671,0.7304820074147095
75 days,0.004432464853067788,0.06657675910607085,0.04556129930440568,1.0193281558271428,1.7118811595677124,0.7304570427963075
76 days,0.004433623527634459,0.06658546033207595,0.04556590036530184,1.0196283027095479,1.7115084314321587,0.730646597706097
77 days,0.0044350302802853665,0.06659602300652319,0.04557324177228564,1.0195345596283314,1.7111242403935794,0.7309124533880581
78 days,0.004436603251724945,0.06660783175967332,0.045581939561725425,1.0195116719663007,1.7108206499970502,0.7308156480612404
79 days,0.004438291899328656,0.06662050659765847,0.04559054903497112,1.0197224853903784,1.7105220789182844,0.7309244890363314
80 days,0.004440095326682919,0.06663404029985665,0.04559805684260926,1.019928438676705,1.7101645622000945,0.7306395052208984
81 days,0.00444210047213245,0.06664908455584706,0.04560668999386377,1.0199688488257517,1.7098243211257782,0.7308157283362922
82 days,0.004443485978657125,0.0666594777856617,0.045610779995242635,1.0207377656243997,1.7094761012192483,0.7309641873561911
83 days,0.004444689002994024,0.06666850083055734,0.04561415570372547,1.0203524418969196,1.7092106257756134,0.7313186002607918
84 days,0.004445496957469139,0.06667456004706097,0.04561418507082886,1.0204579075081435,1.7089436553196637,0.7314617334462208
85 days,0.004446169483404096,0.06667960320370912,0.04561146120984323,1.021084314925974,1.7086482773572147,0.7316381490098839
86 days,0.004447141898493733,0.06668689450329603,0.04561094464938069,1.0211824358626354,1.7084180450468982,0.7320539073435788
87 days,0.004448067288936107,0.06669383246549944,0.04560982857384852,1.0213478326680845,1.7081384253026497,0.7325087014972809
88 days,0.004449438852372069,0.0667041142087358,0.04561181868083117,1.0211824358626354,1.707861759739982,0.7327310966079743
89 days,0.004451090129112628,0.06671649068343319,0.04561597123840381,1.021084314925974,1.707670936883794,0.7327353318089821
90 days,0.00445267225470975,0.06672834671044796,0.0456216644539322,1.0213478326680845,1.707605085611863,0.7328289912391639
91 days,0.004453847063653532,0.06673714905248448,0.04562503578938178,1.0211824358626354,1.7073756921974281,0.7329721244245929
92 days,0.004455011570186972,0.0667458730573432,0.045628594079831386,1.0211824358626354,1.7070674302014495,0.7329549228290737
93 days,0.00445574117188324,0.06675133835274945,0.045629361003455625,1.0209574930211387,1.7067960812907685,0.7329906858259926
94 days,0.004456431835534577,0.0667565115590575,0.045629601805958674,1.0211824358626354,1.706565852711114,0.7330481443090322
