changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.726647284604519
0.01,2.0,1.7253853639641983
0.01,3.0,1.7276193812978593
0.01,4.0,1.7259107920375125
0.01,5.0,1.7261311837352256
0.05,1.0,1.7649777112260725
0.05,2.0,1.762102054911264
0.05,3.0,1.7673870333794528
0.05,4.0,1.7638075657195527
0.05,5.0,1.765110592109034
0.1,1.0,1.7864017216790111
0.1,2.0,1.786890631525544
0.1,3.0,1.7835510131175218
0.1,4.0,1.7872941408815008
0.1,5.0,1.786508434988266
0.5,1.0,3.136178874198475
0.5,2.0,3.1395574141954823
0.5,3.0,3.1327769426515415
0.5,4.0,3.1266242892335394
0.5,5.0,3.140260914187076
