changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,9.6343657733806
0.01,2.0,9.628158703976563
0.01,3.0,9.621660543935517
0.01,4.0,9.63004265012708
0.01,5.0,9.618603680788455
0.05,1.0,9.552852946059684
0.05,2.0,9.56297212958453
0.05,3.0,9.560442847920765
0.05,4.0,9.551814969245827
0.05,5.0,9.549262829806523
0.1,1.0,9.750056261779777
0.1,2.0,9.742835265929598
0.1,3.0,9.748590259069719
0.1,4.0,9.75234924484017
0.1,5.0,9.75414501344224
0.5,1.0,12.63825742985834
0.5,2.0,12.66135890916969
0.5,3.0,12.659235935631237
0.5,4.0,12.653064191296592
0.5,5.0,12.705545972244993
