changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,2.0924204159544
0.01,2.0,2.100261200772569
0.01,3.0,2.104502083557007
0.01,4.0,2.0910674638581948
0.01,5.0,2.095990388978733
0.05,1.0,2.192184583097902
0.05,2.0,2.195379832062791
0.05,3.0,2.192854994616438
0.05,4.0,2.19326890617847
0.05,5.0,2.1901410546882887
0.1,1.0,2.280030859032003
0.1,2.0,2.277405532389651
0.1,3.0,2.2798773016243508
0.1,4.0,2.2779682403780117
0.1,5.0,2.2766481467329784
0.5,1.0,2.508872088958952
0.5,2.0,2.5235012341655336
0.5,3.0,2.4954462679974623
0.5,4.0,2.497116143989091
0.5,5.0,2.5162350657639982
