changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,22.040335373385105
0.01,2.0,22.04366551260062
0.01,3.0,22.00717363460748
0.01,4.0,22.0021692498739
0.01,5.0,22.037797263523245
0.05,1.0,22.931288299128155
0.05,2.0,22.91949476670411
0.05,3.0,22.93846902774502
0.05,4.0,22.951233875389512
0.05,5.0,22.94305019649363
0.1,1.0,24.613171283780144
0.1,2.0,24.55417274235354
0.1,3.0,24.570494539061173
0.1,4.0,24.56980902348673
0.1,5.0,24.537077432784027
0.5,1.0,32.14721486277103
0.5,2.0,31.963182951743935
0.5,3.0,32.09439077448092
0.5,4.0,32.09433138804546
0.5,5.0,32.09678325765315
