changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,3.620985175404869
0.01,2.0,3.6111070365895865
0.01,3.0,3.6090731022147278
0.01,4.0,3.5912604230801475
0.01,5.0,3.6115376424478627
0.05,1.0,3.965982963102485
0.05,2.0,3.961553248371646
0.05,3.0,3.9770984120723583
0.05,4.0,3.9581962819474583
0.05,5.0,3.9550857842426854
0.1,1.0,4.072098674663481
0.1,2.0,4.086396007951156
0.1,3.0,4.088489401740569
0.1,4.0,4.069877014710527
0.1,5.0,4.07100118695649
0.5,1.0,4.12506180888035
0.5,2.0,4.131446222321607
0.5,3.0,4.128897841082426
0.5,4.0,4.140951510945531
0.5,5.0,4.128802279804404
