changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,6.037616701012498
0.01,2.0,6.043258833569248
0.01,3.0,6.033203666804258
0.01,4.0,6.035053119122106
0.01,5.0,6.0247666630737555
0.05,1.0,6.8010308016165535
0.05,2.0,6.822452532181515
0.05,3.0,6.806469930203154
0.05,4.0,6.806661169165617
0.05,5.0,6.810662002944915
0.1,1.0,6.819396705688764
0.1,2.0,6.809532942975987
0.1,3.0,6.8238526538303885
0.1,4.0,6.828958378050923
0.1,5.0,6.836098544915236
0.5,1.0,7.523731334274897
0.5,2.0,7.5348927574932185
0.5,3.0,7.5437571224383975
0.5,4.0,7.540540871416056
0.5,5.0,7.570649331605454
