changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,3.137610110023068
0.01,2.0,3.130952309202086
0.01,3.0,3.1365761076759346
0.01,4.0,3.1441588547664185
0.01,5.0,3.1383223495585466
0.05,1.0,3.194481677418447
0.05,2.0,3.192150110434426
0.05,3.0,3.2065302488825003
0.05,4.0,3.202937906947118
0.05,5.0,3.2090677714657425
0.1,1.0,3.4982096237422162
0.1,2.0,3.4975854333300904
0.1,3.0,3.4971023101483465
0.1,4.0,3.501674790223943
0.1,5.0,3.497914289172364
0.5,1.0,4.131528808683016
0.5,2.0,4.143974347786203
0.5,3.0,4.150744347728399
0.5,4.0,4.145770791834209
0.5,5.0,4.128963206357855
