changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,2.4075582514163454
0.01,2.0,2.4055496590329937
0.01,3.0,2.4085949033550462
0.01,4.0,2.4053295364714518
0.01,5.0,2.4091831804503414
0.05,1.0,2.1970676489770247
0.05,2.0,2.196295250036086
0.05,3.0,2.1938701520426735
0.05,4.0,2.1954278572457193
0.05,5.0,2.194736262458027
0.1,1.0,2.2553197809448884
0.1,2.0,2.2579182824973025
0.1,3.0,2.2556865256352734
0.1,4.0,2.2557115086868014
0.1,5.0,2.2555618613211785
0.5,1.0,2.260804310279402
0.5,2.0,2.268987537352307
0.5,3.0,2.277127728637269
0.5,4.0,2.262951878068147
0.5,5.0,2.2654257870591805
