changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,3.1904760239346923
0.01,2.0,3.1929059385917284
0.01,3.0,3.1812645584625168
0.01,4.0,3.186581393018209
0.01,5.0,3.1800096834940694
0.05,1.0,3.5721249238155903
0.05,2.0,3.5677861846584076
0.05,3.0,3.565616570464577
0.05,4.0,3.564067845270551
0.05,5.0,3.5709807221949537
0.1,1.0,3.6379045912583425
0.1,2.0,3.6381533134314687
0.1,3.0,3.6325417441662493
0.1,4.0,3.641243168927967
0.1,5.0,3.636037606869128
0.5,1.0,5.761227577000821
0.5,2.0,5.809352662651355
0.5,3.0,5.777188797993576
0.5,4.0,5.804733580114187
0.5,5.0,5.779345604572289
