changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.9774730275236763
0.01,2.0,1.9827257974306625
0.01,3.0,1.982528635478405
0.01,4.0,1.9761425706586517
0.01,5.0,1.9842165096306752
0.05,1.0,2.348974130864342
0.05,2.0,2.3552905307069008
0.05,3.0,2.345277774091867
0.05,4.0,2.3441863582237437
0.05,5.0,2.355513284809555
0.1,1.0,2.5648359204569857
0.1,2.0,2.5648110138650035
0.1,3.0,2.5714690757541003
0.1,4.0,2.5682795289822256
0.1,5.0,2.5652603148135893
0.5,1.0,4.965703210771001
0.5,2.0,4.979023219534151
0.5,3.0,4.959627038058703
0.5,4.0,4.961139654826208
0.5,5.0,4.947380907754748
