changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.575829865107039
0.01,2.0,1.5785912649713472
0.01,3.0,1.5791255012229324
0.01,4.0,1.5758332048751806
0.01,5.0,1.573262980999534
0.05,1.0,1.692608648592128
0.05,2.0,1.6940605318755533
0.05,3.0,1.6934321118030629
0.05,4.0,1.6943859730438708
0.05,5.0,1.6936645909189139
0.1,1.0,1.709670491655329
0.1,2.0,1.707718184464682
0.1,3.0,1.710592335696219
0.1,4.0,1.7096834335940614
0.1,5.0,1.706011978679592
0.5,1.0,3.068233674974666
0.5,2.0,3.062711062395182
0.5,3.0,3.0781877321947326
0.5,4.0,3.083825803320264
0.5,5.0,3.1334658929124126
