changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,8.071731553893825
0.01,2.0,8.1379932720299
0.01,3.0,8.116613869705905
0.01,4.0,8.112283752904064
0.01,5.0,8.100067705807247
0.05,1.0,10.840865624180726
0.05,2.0,10.821596087679163
0.05,3.0,10.843821753139249
0.05,4.0,10.824892318813957
0.05,5.0,10.819354778086362
0.1,1.0,12.234609698497563
0.1,2.0,12.244815185227743
0.1,3.0,12.231141161131088
0.1,4.0,12.24054522418956
0.1,5.0,12.264530164063466
0.5,1.0,18.03991646531635
0.5,2.0,17.974196953698733
0.5,3.0,18.042711671878894
0.5,4.0,17.953939352958248
0.5,5.0,17.874631890682767
