changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,4.343737557232185
0.01,2.0,4.324888306256221
0.01,3.0,4.3275154377226155
0.01,4.0,4.310518973821238
0.01,5.0,4.322789674738247
0.05,1.0,5.162610296265214
0.05,2.0,5.170278224423233
0.05,3.0,5.166422719301504
0.05,4.0,5.170711977387873
0.05,5.0,5.153050748756052
0.1,1.0,5.380415396157119
0.1,2.0,5.372931900050846
0.1,3.0,5.375225621375688
0.1,4.0,5.375936738221709
0.1,5.0,5.37667424556643
0.5,1.0,6.8242053344006255
0.5,2.0,6.824507260703098
0.5,3.0,6.81196244592799
0.5,4.0,6.783670844095245
0.5,5.0,6.853087342272058
