changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,5.031507143789025
0.01,2.0,5.039119031245742
0.01,3.0,5.003183092879272
0.01,4.0,5.052384541473454
0.01,5.0,5.039631237955662
0.05,1.0,5.166335711226599
0.05,2.0,5.163539950698529
0.05,3.0,5.166075015831485
0.05,4.0,5.171551400567428
0.05,5.0,5.169053891727733
0.1,1.0,5.237274741136077
0.1,2.0,5.235139833002124
0.1,3.0,5.237539017639963
0.1,4.0,5.236381706781061
0.1,5.0,5.234609074581996
0.5,1.0,5.499752758936443
0.5,2.0,5.49104456233227
0.5,3.0,5.4882465633557524
0.5,4.0,5.484898247197957
0.5,5.0,5.503533570533412
