changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.0131603893663959
0.01,2.0,1.0128296848546698
0.01,3.0,1.0123181372949035
0.01,4.0,1.0141628429606027
0.01,5.0,1.0129505954428102
0.05,1.0,1.3326759588199386
0.05,2.0,1.3336408899611643
0.05,3.0,1.3339156372600436
0.05,4.0,1.3389882883439006
0.05,5.0,1.3304238214754163
0.1,1.0,1.5724693475977827
0.1,2.0,1.5744557770436707
0.1,3.0,1.5700849067555431
0.1,4.0,1.5722893840589696
0.1,5.0,1.5722987931404282
0.5,1.0,2.448797421200124
0.5,2.0,2.440395102443865
0.5,3.0,2.4515669326984626
0.5,4.0,2.448791810468131
0.5,5.0,2.4507638832533987
