changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,3.627751510135273
0.01,2.0,3.635740721678412
0.01,3.0,3.6406184074594035
0.01,4.0,3.6496448326167594
0.01,5.0,3.649545940590867
0.05,1.0,3.539700169453869
0.05,2.0,3.5392153786233345
0.05,3.0,3.5424414606548
0.05,4.0,3.539758962916325
0.05,5.0,3.5368613820355574
0.1,1.0,3.508256558098158
0.1,2.0,3.5102228678062475
0.1,3.0,3.5073544711509275
0.1,4.0,3.50917965284509
0.1,5.0,3.5149107555226675
0.5,1.0,3.891897450506624
0.5,2.0,3.896285617566066
0.5,3.0,3.895691618945453
0.5,4.0,3.89468828582957
0.5,5.0,3.914287903140955
