changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,13.386819945786941
0.01,2.0,13.387510761492832
0.01,3.0,13.416771491247113
0.01,4.0,13.404504532838173
0.01,5.0,13.367638890287322
0.05,1.0,14.873161625428022
0.05,2.0,14.864538400663571
0.05,3.0,14.85441752920399
0.05,4.0,14.86105048117726
0.05,5.0,14.855258657879062
0.1,1.0,15.129165178510043
0.1,2.0,15.158634731126595
0.1,3.0,15.163452971046175
0.1,4.0,15.146926451035942
0.1,5.0,15.158228671878755
0.5,1.0,18.295296477767575
0.5,2.0,18.368366046511564
0.5,3.0,18.298368394991883
0.5,4.0,18.329425712223514
0.5,5.0,18.294185037731218
