changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.3364685378896786
0.01,2.0,1.3290907738647466
0.01,3.0,1.3281657189857958
0.01,4.0,1.3407630374723192
0.01,5.0,1.3310515261338167
0.05,1.0,1.7316428291171786
0.05,2.0,1.7394123320945527
0.05,3.0,1.7407543729229318
0.05,4.0,1.7336293738446475
0.05,5.0,1.745250212619356
0.1,1.0,1.6489119187644607
0.1,2.0,1.658053408271137
0.1,3.0,1.660415224887237
0.1,4.0,1.6538085723084284
0.1,5.0,1.6599385680766143
0.5,1.0,1.5886891735477342
0.5,2.0,1.607572311874063
0.5,3.0,1.5951371387268922
0.5,4.0,1.6022828419366697
0.5,5.0,1.6040751550948624
