changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,7.183314942664152
0.01,2.0,7.184370044085008
0.01,3.0,7.164204672125738
0.01,4.0,7.190473527278075
0.01,5.0,7.164145366483203
0.05,1.0,7.62603084519811
0.05,2.0,7.6311677740677135
0.05,3.0,7.63532019373513
0.05,4.0,7.620798617247379
0.05,5.0,7.6121179630922695
0.1,1.0,8.12775983645102
0.1,2.0,8.11813773994668
0.1,3.0,8.104513485436273
0.1,4.0,8.113902585544741
0.1,5.0,8.112910802092753
0.5,1.0,11.125482564223116
0.5,2.0,11.141799264192544
0.5,3.0,11.105261216750904
0.5,4.0,11.106406238305436
0.5,5.0,11.137018189314224
