changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,6.047280904932299
0.01,2.0,6.045466713526566
0.01,3.0,6.049465996549291
0.01,4.0,6.048062240959094
0.01,5.0,6.0488651053267635
0.05,1.0,6.295520538367638
0.05,2.0,6.291999565137157
0.05,3.0,6.29525360726121
0.05,4.0,6.282076850861271
0.05,5.0,6.296528335187969
0.1,1.0,6.8288724101410265
0.1,2.0,6.828560033088862
0.1,3.0,6.841844752402334
0.1,4.0,6.831490375163179
0.1,5.0,6.842095876661146
0.5,1.0,8.205700518516169
0.5,2.0,8.185888423877934
0.5,3.0,8.152102456332049
0.5,4.0,8.212552359171426
0.5,5.0,8.178619426835475
