changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.9377454327700243
0.01,2.0,1.9366948400304373
0.01,3.0,1.93681575480563
0.01,4.0,1.9364432138568048
0.01,5.0,1.9368730584624732
0.05,1.0,1.9694442550435425
0.05,2.0,1.968864974709387
0.05,3.0,1.974143563708714
0.05,4.0,1.9663762188205145
0.05,5.0,1.966853826790477
0.1,1.0,2.1242010009342027
0.1,2.0,2.130501364262156
0.1,3.0,2.1317348127015925
0.1,4.0,2.1354317190161565
0.1,5.0,2.1303198781059405
0.5,1.0,2.0305523721763428
0.5,2.0,2.0349121851453
0.5,3.0,2.0306536163059627
0.5,4.0,2.025280483848793
0.5,5.0,2.033096381549598
