changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,1.78894192740208
0.01,2.0,1.7927151446773937
0.01,3.0,1.7857312842917823
0.01,4.0,1.793418942402927
0.01,5.0,1.7988317513166205
0.05,1.0,1.551165164336253
0.05,2.0,1.5498019743277642
0.05,3.0,1.5487085124739535
0.05,4.0,1.5488212604414227
0.05,5.0,1.5494341562196823
0.1,1.0,1.5638108240223352
0.1,2.0,1.5619938456555127
0.1,3.0,1.5641180138587125
0.1,4.0,1.5617551820663704
0.1,5.0,1.5619269309148507
0.5,1.0,1.8300451484513078
0.5,2.0,1.8270849818785022
0.5,3.0,1.8292747246974117
0.5,4.0,1.830092754634015
0.5,5.0,1.8282671690304064
