changepoint_prior_scale,seasonality_prior_scale,rmse
0.001,0.01,4.697170802947436
0.001,0.05,4.68449725233191
0.001,0.1,4.986422505386761
0.001,0.5,5.426675562630883
0.001,1.0,5.180632418687967
0.001,2.0,5.1898334645114055
0.001,5.0,5.190139535919859
0.001,10.0,5.249501538188297
0.005,0.01,2.1581998269860803
0.005,0.05,2.1661268991898313
0.005,0.1,2.169725792343439
0.005,0.5,2.155134875740244
0.005,1.0,2.1496901439778835
0.005,2.0,2.141784231157255
0.005,5.0,2.1493207137725765
0.005,10.0,2.1541571432352264
0.01,0.01,2.1841769982668953
0.01,0.05,2.1872895128419056
0.01,0.1,2.178792282655993
0.01,0.5,2.1820687986167027
0.01,1.0,2.1738547288528998
0.01,2.0,2.173864629107956
0.01,5.0,2.1763204159828957
0.01,10.0,2.177873724633445
0.015,0.01,2.190170176395811
0.015,0.05,2.1872338092952885
0.015,0.1,2.1949659171684788
0.015,0.5,2.1875180948882766
0.015,1.0,2.1917173020999257
0.015,2.0,2.1950667150061274
0.015,5.0,2.192454935987271
0.015,10.0,2.191466548214132
0.02,0.01,2.1906308659978913
0.02,0.05,2.1829881074394946
0.02,0.1,2.1798954341014816
0.02,0.5,2.1804654709900237
0.02,1.0,2.1847231661602176
0.02,2.0,2.1810050797810865
0.02,5.0,2.182702509634007
0.02,10.0,2.186742459230896
0.03,0.01,2.132038111228656
0.03,0.05,2.129707431088715
0.03,0.1,2.1231314413082973
0.03,0.5,2.128689256762198
0.03,1.0,2.1206324306803492
0.03,2.0,2.130990330241192
0.03,5.0,2.1302968126635347
0.03,10.0,2.120078554927863
0.05,0.01,2.115986924059082
0.05,0.05,2.118032241398101
0.05,0.1,2.1196674135407307
0.05,0.5,2.115165099042748
0.05,1.0,2.1148774724314032
0.05,2.0,2.1101291638318376
0.05,5.0,2.1195956042627375
0.05,10.0,2.117840493926683
0.1,0.01,2.306408773421239
0.1,0.05,2.3074886336858174
0.1,0.1,2.308748711278954
0.1,0.5,2.303879640870446
0.1,1.0,2.308810520735905
0.1,2.0,2.3094902270375965
0.1,5.0,2.306112124492865
0.1,10.0,2.314007764801366
0.2,0.01,2.4933072713281383
0.2,0.05,2.4879637441609423
0.2,0.1,2.4890297067317833
0.2,0.5,2.488047299723853
0.2,1.0,2.498369477043452
0.2,2.0,2.4916227308071432
0.2,5.0,2.4886984671891264
0.2,10.0,2.481639899391596
0.5,0.01,2.5343782102191885
0.5,0.05,2.5342604043944568
0.5,0.1,2.5304634589723
0.5,0.5,2.52946260385984
0.5,1.0,2.5320453474601554
0.5,2.0,2.531833342583164
0.5,5.0,2.5324886160885183
0.5,10.0,2.531555439212888
