changepoint_prior_scale,seasonality_prior_scale,rmse
0.04,1.5,2.0943085816101514
0.04,1.75,2.1020219841357743
0.04,2.0,2.100486613274699
0.04,2.25,2.1035060928435296
0.04,2.5,2.093659435756438
0.045,1.5,2.10250539297714
0.045,1.75,2.103237122631411
0.045,2.0,2.1038852150626335
0.045,2.25,2.10320284327997
0.045,2.5,2.1015347117765
0.05,1.5,2.1190455519899003
0.05,1.75,2.11259135134688
0.05,2.0,2.1101291638318376
0.05,2.25,2.109934098684607
0.05,2.5,2.1065052483300812
0.055,1.5,2.136113916281428
0.055,1.75,2.1346356249156706
0.055,2.0,2.1327759252833185
0.055,2.25,2.133063897751501
0.055,2.5,2.1265217271002808
0.06,1.5,2.1502225995943203
0.06,1.75,2.1468519957312155
0.06,2.0,2.1485889726461753
0.06,2.25,2.1510898728998575
0.06,2.5,2.144970541866308
