changepoint_prior_scale,seasonality_prior_scale,rmse
0.01,1.0,2.1738547288528998
0.01,2.0,2.173864629107956
0.01,3.0,2.183745995793893
0.01,4.0,2.176516494114393
0.01,5.0,2.1763204159828957
0.05,1.0,2.1148774724314032
0.05,2.0,2.1101291638318376
0.05,3.0,2.1120479934913767
0.05,4.0,2.1165829029594585
0.05,5.0,2.1195956042627375
0.1,1.0,2.308810520735905
0.1,2.0,2.3094902270375965
0.1,3.0,2.3061379278116245
0.1,4.0,2.307109080893966
0.1,5.0,2.306112124492865
0.5,1.0,2.5320453474601554
0.5,2.0,2.531833342583164
0.5,3.0,2.5346268194339583
0.5,4.0,2.532744502513619
0.5,5.0,2.5324886160885183
