changepoint_prior_scale,seasonality_prior_scale,rmse
0.03,2.0,2.130990330241192
0.03,2.25,2.1200571744490073
0.03,2.5,2.121285906438288
0.03,2.75,2.125614065755917
0.03,3.0,2.127110201542365
0.035,2.0,2.113030622986278
0.035,2.25,2.1091297705746137
0.035,2.5,2.1121142723590847
0.035,2.75,2.1126303011102605
0.035,3.0,2.1079462360253913
0.04,2.0,2.100486613274699
0.04,2.25,2.1035060928435296
0.04,2.5,2.093659435756438
0.04,2.75,2.0977908661589324
0.04,3.0,2.1026809634671553
0.045,2.0,2.1038852150626335
0.045,2.25,2.10320284327997
0.045,2.5,2.1015347117765
0.045,2.75,2.0976719134434028
0.045,3.0,2.0976957365033724
0.05,2.0,2.1101291638318376
0.05,2.25,2.109934098684607
0.05,2.5,2.1065052483300812
0.05,2.75,2.1179905213444337
0.05,3.0,2.1120479934913767
