changepoint_prior_scale,seasonality_prior_scale,rmse
0.001,0.01,4.697170802947436
0.001,2.75,5.147847019838867
0.001,5.0,5.190139535919859
0.001,7.5,5.21320716888801
0.001,10.0,5.249501538188297
0.1,0.01,2.306408773421239
0.1,2.75,2.312022340453814
0.1,5.0,2.306112124492865
0.1,7.5,2.3015939420251628
0.1,10.0,2.314007764801366
0.2,0.01,2.4933072713281383
0.2,2.75,2.49020112879999
0.2,5.0,2.4886984671891264
0.2,7.5,2.482941306144426
0.2,10.0,2.481639899391596
0.3,0.01,2.549318782106364
0.3,2.75,2.5581984917174747
0.3,5.0,2.552988489404956
0.3,7.5,2.5538320265092502
0.3,10.0,2.5509404810045573
0.5,0.01,2.5343782102191885
0.5,2.75,2.5303952993752152
0.5,5.0,2.5324886160885183
0.5,7.5,2.5330850289607536
0.5,10.0,2.531555439212888

param_grid = {
    'changepoint_prior_scale': [0.001, 0.1, 0.2, 0.3, 0.5],
    'seasonality_prior_scale': [0.01, 2.75, 5.0, 7.5, 10]
}
