params,mae,rmse,r2,mape
"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 1.0}",1.7553822530891185,2.1943790732523567,0.9508038071447992,0.9827497211173202
"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 2.0}",1.754174276000699,2.1940888647785464,0.9508168187599181,0.9821173925087844
"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 3.0}",1.7627130433531903,2.2046628633338434,0.950341618262459,0.987021407725488
"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 4.0}",1.7575003558234137,2.1974724969502617,0.9506650052957423,0.9839914517354011
"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 5.0}",1.7558924451291416,2.197030317733465,0.9506848578440972,0.9831000537993899
"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 1.0}",1.6786729358430938,2.140204642244655,0.9532029159413334,0.9399506496728642
"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 2.0}",1.675285050899704,2.134466023373284,0.9534535373879722,0.9380640913659998
"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 3.0}",1.6768978626802598,2.1360956308771417,0.9533824363073461,0.9389383586482114
"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 4.0}",1.6811647500591702,2.1416083044282357,0.9531415116844297,0.9413269803243609
"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}",1.6832735752113974,2.1451985257097013,0.952984271581174,0.9424945782473927
"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 1.0}",1.8569483047630793,2.3521146043057763,0.9434770075423435,1.0401275353607708
"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 2.0}",1.8578564424275141,2.353787263848041,0.9433965885534363,1.040800867915861
"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 3.0}",1.85548398253742,2.3492822896450507,0.9436130506693617,1.0393571445542311
"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 4.0}",1.8557894896620089,2.350723732176231,0.9435438350776452,1.039540467210034
"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 5.0}",1.8554236313370442,2.3494175120598193,0.9436065593260939,1.0393936096422307
"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 1.0}",1.9990241122611088,2.607206431332364,0.9305521145412238,1.1219765054803297
"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 2.0}",1.9966819359293253,2.6069527587259707,0.9305656279852395,1.1207604085106782
"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 3.0}",2.0005199490311187,2.609688606818775,0.9304198166960267,1.1228498933907356
"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 4.0}",1.9987195335786327,2.6072286913880727,0.9305509286586024,1.1218300318723573
"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 5.0}",1.9999357649514407,2.6075029320613092,0.9305363179251406,1.1224429316267306
