Risk Tolerance Score,Risk Capacity Score,Asset,Weight
0.72,0.73,COST,0.1
0.72,0.73,LLY,0.2
0.72,0.73,META,0.02
0.72,0.73,MRK,0.2
0.72,0.73,NVDA,0.2
0.72,0.73,^TNX,0.08
0.72,0.73,^TYX,0.17
0.72,0.73,WELL,0.01
0.72,0.73,O,0.01
0.72,0.73,CCI,0.01
0.74,0.67,COST,0.11
0.74,0.67,JPM,0.01
0.74,0.67,LLY,0.19
0.74,0.67,META,0.02
0.74,0.67,MRK,0.2
0.74,0.67,NVDA,0.19
0.74,0.67,^TNX,0.07
0.74,0.67,^TYX,0.18
0.74,0.67,WELL,0.01
0.74,0.67,O,0.01
0.74,0.67,CCI,0.01
0.7,0.55,COST,0.12
0.7,0.55,JPM,0.04
0.7,0.55,LLY,0.2
0.7,0.55,META,0.02
0.7,0.55,MRK,0.2
0.7,0.55,NVDA,0.14
0.7,0.55,^TNX,0.05
0.7,0.55,^TYX,0.2
0.7,0.55,WELL,0.01
0.7,0.55,O,0.01
0.7,0.55,CCI,0.01
0.72,0.56,COST,0.12
0.72,0.56,JPM,0.03
0.72,0.56,LLY,0.2
0.72,0.56,META,0.02
0.72,0.56,MRK,0.2
0.72,0.56,NVDA,0.15
0.72,0.56,^TNX,0.05
0.72,0.56,^TYX,0.2
0.72,0.56,WELL,0.01
0.72,0.56,O,0.01
0.72,0.56,CCI,0.01
0.7,0.46,COST,0.12
0.7,0.46,JPM,0.04
0.7,0.46,LLY,0.2
0.7,0.46,META,0.01
0.7,0.46,MRK,0.19
0.7,0.46,NVDA,0.12
0.7,0.46,PG,0.04
0.7,0.46,^TNX,0.05
0.7,0.46,^TYX,0.2
0.7,0.46,WELL,0.01
0.7,0.46,O,0.01
0.7,0.46,CCI,0.01
0.72,0.47,COST,0.12
0.72,0.47,JPM,0.04
0.72,0.47,LLY,0.21
0.72,0.47,META,0.01
0.72,0.47,MRK,0.19
0.72,0.47,NVDA,0.13
0.72,0.47,PG,0.02
0.72,0.47,^TNX,0.05
