Risk Tolerance Score,Risk Capacity Score,Portfolio
0.72,0.73,"{'Stocks': [('COST', 0.1), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.2)], 'Bonds': [('^TNX', 0.08), ('^TYX', 0.17)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.74,0.67,"{'Stocks': [('COST', 0.11), ('JPM', 0.01), ('LLY', 0.19), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.19)], 'Bonds': [('^TNX', 0.07), ('^TYX', 0.18)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.7,0.55,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.14)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.72,0.56,"{'Stocks': [('COST', 0.12), ('JPM', 0.03), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.15)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.7,0.46,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.2), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.12), ('PG', 0.04)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.72,0.47,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.21000000000000002), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.13), ('PG', 0.02)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.64,0.71,"{'Stocks': [('COST', 0.11), ('JPM', 0.02), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.17)], 'Bonds': [('^TNX', 0.06), ('^TYX', 0.19)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.66,0.7,"{'Stocks': [('COST', 0.11), ('JPM', 0.01), ('LLY', 0.21000000000000002), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.17)], 'Bonds': [('^TNX', 0.06), ('^TYX', 0.19)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.62,0.54,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.2), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.12), ('PG', 0.04)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.64,0.55,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.21000000000000002), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.13), ('PG', 0.02)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
